ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
BG1,-0.196274947,0.095882468,0.53125,5,2,3,BG542,BG319,BG966,BG88,BG630,BG530,BG274,BG25,BG873,BG169,BG889,BG17,BG76,BG816,3,4,6,4,5,3,3,2,3,0,0,4,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG2,0.027580144,-0.08625886,0.553191489,5,2,3,BG570,BG452,BG807,BG962,BG214,BG794,BG477,BG934,BG168,BG354,BG393,BG847,BG295,BG157,7,2,3,5,7,6,3,2,3,3,3,3,2,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3
BG3,0.161697254,-0.281443636,0.537634409,6,3,3,BG391,BG604,BG91,BG908,BG572,BG22,BG802,BG688,BG521,BG62,BG520,BG866,BG718,BG194,7,2,0,3,7,1,5,1,3,1,5,2,6,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3
BG4,0.026761637,-0.30477368,0.527472527,5,2,3,BG599,BG403,BG265,BG497,BG12,BG184,BG796,BG857,BG853,BG571,BG825,BG382,BG493,BG987,1,5,2,4,7,1,5,2,6,4,1,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3
BG5,-0.25510835,-0.258905358,0.510869565,3,0,3,BG526,BG114,BG177,BG246,BG198,BG162,BG277,BG450,BG785,BG527,BG304,BG353,BG986,BG197,2,1,5,6,1,6,5,1,4,5,1,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG6,-0.066087451,-0.240121145,0.595959596,4,1,3,BG244,BG408,BG469,BG774,BG850,BG296,BG929,BG313,BG568,BG995,BG298,BG56,BG931,BG24,4,7,3,5,7,1,1,6,4,4,7,0,4,5,3,2,3,3,0,3,3,3,3,3,2,3,3,3
BG7,0.072861173,-0.201850993,0.516853933,4,1,3,BG562,BG745,BG656,BG953,BG905,BG384,BG904,BG757,BG680,BG29,BG485,BG186,BG624,BG564,2,2,3,2,2,2,7,7,2,2,4,0,5,5,3,3,3,3,3,3,2,2,3,3,3,3,3,3
BG8,0.003421743,-0.018942362,0.554347826,8,5,3,BG399,BG792,BG294,BG822,BG696,BG505,BG358,BG668,BG765,BG356,BG157,BG569,BG817,BG706,2,3,7,7,5,2,2,2,4,1,1,0,3,7,3,3,2,2,3,3,3,3,3,3,3,3,3,1
BG9,0.008893792,0.342724965,0.375,5,2,3,BG684,BG818,BG139,BG363,BG833,BG440,BG529,BG42,BG885,BG43,BG89,BG751,BG907,BG643,2,1,2,2,2,2,1,3,0,2,0,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG10,-0.146335684,0.37624422,0.527472527,7,4,3,BG951,BG498,BG892,BG767,BG180,BG125,BG337,BG882,BG949,BG82,BG406,BG429,BG555,BG46,5,5,5,2,2,7,3,1,2,3,4,0,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
