ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
BR1,-0.14952676,0.304604772,0.5,4,1,3,BR162,BR650,BR830,BR788,BR683,BR579,BR474,BR807,BR462,BR587,BR576,BR496,BR937,BR563,1,2,3,1,3,3,1,7,2,0,3,3,6,7,3,3,3,3,3,3,3,2,3,3,3,3,3,2
BR2,0.316086969,-0.109914264,0.597938144,5,2,3,BR875,BR849,BR986,BR126,BR356,BR999,BR485,BR651,BR219,BR649,BR823,BR859,BR349,BR291,2,2,1,7,0,7,7,6,6,1,5,3,2,7,3,3,3,2,3,2,0,3,3,3,3,3,3,2
BR3,0.079591429,-0.1042566,0.63,9,7,2,BR905,BR511,BR994,BR353,BR357,BR227,BR305,BR365,BR959,BR141,BR551,BR440,BR718,BR741,5,7,5,0,3,4,7,3,7,0,2,7,5,1,3,2,3,3,3,3,0,3,1,3,3,2,3,3
BR4,-0.516143937,0.063457911,0.445945946,5,2,3,BR858,BR367,BR778,BR278,BR457,BR540,BR707,BR229,BR275,BR5,BR567,BR450,BR348,BR774,7,4,7,0,2,0,0,2,2,2,1,3,1,0,2,3,0,3,3,3,3,3,3,3,3,3,3,3
BR5,-0.410437948,0.073191957,0.45,5,2,3,BR774,BR797,BR229,BR218,BR348,BR754,BR916,BR515,BR858,BR546,BR292,BR890,BR707,BR475,0,2,2,2,1,1,3,3,7,2,4,3,0,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3
BR6,0.362060565,0.057833457,0.522727273,4,1,3,BR52,BR538,BR81,BR65,BR545,BR897,BR784,BR12,BR347,BR194,BR978,BR536,BR645,BR566,3,7,3,3,4,1,2,6,2,3,2,7,0,2,3,2,3,3,3,3,3,3,3,3,3,1,3,3
BR7,-0.031405175,0.004511529,0.543478261,3,0,3,BR260,BR302,BR27,BR416,BR542,BR964,BR668,BR24,BR957,BR863,BR703,BR901,BR906,BR97,7,4,3,2,3,6,2,1,3,6,1,7,2,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3
BR8,-0.222118973,0.309967051,0.366197183,6,3,3,BR576,BR31,BR222,BR587,BR579,BR683,BR35,BR673,BR921,BR830,BR642,BR558,BR788,BR1,3,1,0,0,3,3,1,1,1,3,2,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BR9,-0.138798516,0.071962302,0.52173913,4,1,3,BR261,BR995,BR794,BR629,BR33,BR492,BR541,BR550,BR164,BR825,BR311,BR684,BR687,BR523,2,6,4,2,4,3,2,2,3,7,6,2,0,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3
BR10,0.059362808,0.379902601,0.488095238,6,3,3,BR562,BR139,BR455,BR102,BR955,BR140,BR755,BR647,BR738,BR329,BR412,BR606,BR85,BR20,7,1,6,0,0,7,1,2,0,1,1,6,0,6,2,3,3,3,3,2,3,3,3,3,3,3,3,3
