ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
MonoR1,-0.665729556,0.081332597,0.5,3,0,3,MonoR174,MonoR203,MonoR251,MonoR870,MonoR668,MonoR317,MonoR102,MonoR718,MonoR289,MonoR929,MonoR767,MonoR257,MonoR269,MonoR513,1,2,3,7,2,5,3,1,5,4,7,0,2,1,3,3,3,2,3,3,3,3,3,3,2,3,3,3
MonoR2,0.020111811,-0.116237577,0.648148148,5,2,3,MonoR198,MonoR738,MonoR128,MonoR406,MonoR35,MonoR859,MonoR993,MonoR173,MonoR863,MonoR430,MonoR505,MonoR518,MonoR904,MonoR725,5,6,1,4,7,6,7,5,2,7,7,4,3,4,3,3,3,3,1,3,2,3,3,0,2,3,3,3
MonoR3,-0.419891647,-0.186059176,0.5,3,0,3,MonoR976,MonoR421,MonoR694,MonoR831,MonoR315,MonoR523,MonoR608,MonoR28,MonoR843,MonoR848,MonoR592,MonoR622,MonoR425,MonoR933,2,2,3,2,2,5,3,0,7,2,7,1,3,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3
MonoR4,-0.129303167,0.462806241,0.475,3,0,3,MonoR865,MonoR559,MonoR971,MonoR396,MonoR414,MonoR235,MonoR341,MonoR58,MonoR953,MonoR168,MonoR178,MonoR340,MonoR375,MonoR350,7,0,4,3,2,3,1,3,0,7,2,1,4,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3
MonoR5,0.079796895,-0.361717748,0.62244898,6,3,3,MonoR412,MonoR69,MonoR393,MonoR890,MonoR915,MonoR575,MonoR484,MonoR667,MonoR618,MonoR243,MonoR938,MonoR370,MonoR86,MonoR308,4,1,2,7,5,4,7,1,2,7,7,7,2,2,3,3,3,2,3,3,2,3,3,0,2,1,3,3
MonoR6,0.457839586,0.014421836,0.575757576,4,1,3,MonoR227,MonoR675,MonoR698,MonoR992,MonoR248,MonoR73,MonoR988,MonoR8,MonoR357,MonoR900,MonoR919,MonoR322,MonoR480,MonoR688,2,7,3,3,4,4,5,4,6,5,7,1,3,2,3,2,3,3,3,3,3,3,3,3,1,3,3,3
MonoR7,-0.37016127,0.19843101,0.533333333,9,7,2,MonoR298,MonoR696,MonoR786,MonoR337,MonoR799,MonoR428,MonoR787,MonoR678,MonoR201,MonoR653,MonoR620,MonoR522,MonoR282,MonoR284,3,0,5,1,1,4,2,2,2,5,6,1,7,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3
MonoR8,0.468975247,-0.038272939,0.542553191,7,4,3,MonoR992,MonoR900,MonoR227,MonoR561,MonoR698,MonoR6,MonoR675,MonoR788,MonoR731,MonoR148,MonoR332,MonoR248,MonoR410,MonoR461,3,5,2,6,3,1,7,0,1,2,1,4,7,5,3,3,3,3,3,3,2,3,3,3,3,3,2,3
MonoR9,0.217123911,0.299973695,0.540229885,3,0,3,MonoR291,MonoR219,MonoR338,MonoR23,MonoR998,MonoR855,MonoR833,MonoR192,MonoR400,MonoR207,MonoR517,MonoR263,MonoR532,MonoR265,2,7,2,7,4,1,2,4,2,1,4,3,1,7,3,2,3,0,3,3,3,3,3,3,3,3,3,2
MonoR10,-0.062619389,0.094866097,0.613861386,7,4,3,MonoR812,MonoR71,MonoR649,MonoR132,MonoR66,MonoR552,MonoR92,MonoR149,MonoR360,MonoR671,MonoR391,MonoR171,MonoR473,MonoR822,7,2,0,7,4,7,5,0,6,7,2,5,2,4,2,3,3,0,3,2,3,3,3,2,3,3,3,3
MonoR11,-0.003414173,-0.420537116,0.545454545,8,7,1,MonoR142,MonoR62,MonoR370,MonoR109,MonoR314,MonoR86,MonoR25,MonoR20,MonoR346,MonoR676,MonoR408,MonoR483,MonoR575,MonoR426,2,7,7,2,2,2,6,1,3,0,1,1,4,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3
MonoR12,0.131274324,-0.080100872,0.577319588,9,6,3,MonoR379,MonoR840,MonoR221,MonoR382,MonoR553,MonoR665,MonoR528,MonoR52,MonoR295,MonoR742,MonoR989,MonoR454,MonoR253,MonoR151,2,2,7,5,2,7,3,3,6,1,4,2,2,4,3,3,1,3,3,1,3,3,3,3,3,3,3,3
MonoR13,-0.096331681,0.253385037,0.521276596,9,6,3,MonoR526,MonoR297,MonoR654,MonoR384,MonoR703,MonoR170,MonoR422,MonoR331,MonoR61,MonoR800,MonoR946,MonoR246,MonoR557,MonoR549,5,3,5,2,2,2,3,3,3,3,5,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
