ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
Multi1,-0.106416828,0.278506765,0.522222222,5,2,3,Multi676,Multi75,Multi195,Multi720,Multi399,Multi564,Multi654,Multi655,Multi223,Multi435,Multi880,Multi360,Multi366,Multi430,6,7,1,3,7,5,2,1,2,4,1,3,3,0,3,2,3,3,2,3,3,3,3,3,3,3,3,3
Multi2,0.316869555,-0.166311792,0.523255814,5,2,3,Multi524,Multi225,Multi384,Multi60,Multi104,Multi36,Multi665,Multi229,Multi135,Multi534,Multi416,Multi890,Multi114,Multi304,7,3,3,4,4,2,2,7,2,0,7,1,1,0,2,3,3,3,3,3,3,1,3,3,2,3,3,3
Multi3,0.142048261,0.316748831,0.476190476,7,4,3,Multi532,Multi190,Multi781,Multi673,Multi940,Multi6,Multi678,Multi515,Multi820,Multi66,Multi695,Multi815,Multi999,Multi848,2,3,6,2,2,0,3,1,0,5,1,1,7,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
Multi4,0.114704358,0.014595901,0.616161616,5,2,3,Multi760,Multi860,Multi777,Multi446,Multi714,Multi176,Multi151,Multi340,Multi694,Multi294,Multi967,Multi975,Multi205,Multi581,7,5,2,7,0,4,3,7,1,3,4,2,7,7,1,3,3,2,3,3,3,2,3,3,3,3,1,2
Multi5,0.137908101,-0.265402059,0.494117647,4,1,3,Multi840,Multi143,Multi414,Multi668,Multi983,Multi895,Multi702,Multi382,Multi670,Multi776,Multi456,Multi795,Multi468,Multi278,1,1,4,2,1,2,1,1,1,6,5,7,5,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3
Multi6,0.11212656,0.328050975,0.476744186,3,0,3,Multi781,Multi66,Multi3,Multi981,Multi673,Multi695,Multi532,Multi515,Multi891,Multi301,Multi629,Multi868,Multi190,Multi678,6,5,4,2,2,1,2,1,4,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Multi7,-0.067792561,0.19229402,0.410958904,4,1,3,Multi210,Multi796,Multi38,Multi150,Multi942,Multi630,Multi659,Multi309,Multi990,Multi655,Multi970,Multi288,Multi360,Multi94,7,2,3,0,4,2,1,1,0,1,2,0,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
Multi8,-0.020396248,0.119033765,0.612244898,4,1,3,Multi931,Multi971,Multi83,Multi369,Multi838,Multi267,Multi207,Multi717,Multi505,Multi494,Multi540,Multi285,Multi866,Multi357,7,0,5,5,3,2,5,3,1,5,7,7,7,2,1,3,3,3,3,3,3,3,3,3,1,2,1,3
Multi9,-0.280370577,0.226378869,0.481927711,5,2,3,Multi64,Multi806,Multi767,Multi186,Multi692,Multi719,Multi642,Multi633,Multi995,Multi161,Multi832,Multi631,Multi18,Multi775,3,3,3,3,3,5,0,0,3,3,1,1,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
Multi10,0.180993912,0.0950996,0.488095238,4,1,3,Multi664,Multi904,Multi933,Multi681,Multi345,Multi576,Multi281,Multi122,Multi528,Multi148,Multi530,Multi634,Multi779,Multi117,0,3,0,5,6,4,2,1,2,1,7,7,0,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3
Multi11,-0.166207668,-0.234372505,0.544444444,4,1,3,Multi123,Multi753,Multi365,Multi426,Multi14,Multi804,Multi331,Multi444,Multi364,Multi736,Multi830,Multi87,Multi625,Multi103,1,6,7,0,2,5,2,3,3,2,2,5,7,3,3,3,0,3,3,3,3,3,3,3,3,3,2,3
Multi12,0.059463621,-0.088270021,0.584158416,4,1,3,Multi882,Multi794,Multi447,Multi395,Multi661,Multi740,Multi582,Multi53,Multi52,Multi937,Multi713,Multi268,Multi242,Multi845,4,4,5,4,2,1,5,7,2,5,5,5,7,2,3,3,3,3,3,3,3,2,3,3,3,3,1,3
Multi13,-0.261224141,-0.211212083,0.476190476,9,6,3,Multi881,Multi934,Multi503,Multi282,Multi461,Multi624,Multi963,Multi125,Multi377,Multi128,Multi262,Multi42,Multi652,Multi519,2,4,5,1,2,1,3,1,3,1,1,7,2,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Multi14,-0.150561258,-0.245398444,0.598039216,5,2,3,Multi753,Multi804,Multi87,Multi170,Multi424,Multi11,Multi748,Multi123,Multi622,Multi365,Multi538,Multi364,Multi388,Multi103,6,5,5,4,5,1,5,1,7,7,3,3,4,3,3,3,3,3,3,3,3,3,2,0,3,3,3,3
Multi15,0.276750526,-0.07411103,0.522727273,4,1,3,Multi954,Multi828,Multi536,Multi869,Multi646,Multi175,Multi449,Multi249,Multi393,Multi986,Multi202,Multi391,Multi728,Multi922,2,7,0,5,7,2,1,6,2,2,3,2,1,5,3,2,3,3,1,3,3,3,3,3,3,3,3,3
Multi16,0.08286304,-0.263204168,0.482352941,5,2,3,Multi171,Multi433,Multi833,Multi278,Multi836,Multi988,Multi590,Multi850,Multi895,Multi679,Multi776,Multi573,Multi19,Multi468,2,5,0,4,1,1,1,0,2,7,6,3,2,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3
