ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
RG1,-0.079696718,-0.187239668,0.58,6,3,3,RG267,RG740,RG985,RG839,RG505,RG53,RG104,RG554,RG351,RG324,RG252,RG173,RG157,RG167,1,3,4,2,3,3,1,7,6,5,2,6,7,5,3,3,3,3,3,3,3,1,3,3,3,3,2,3
RG2,0.177147355,-0.291368878,0.516853933,7,4,3,RG973,RG752,RG960,RG851,RG946,RG974,RG43,RG784,RG990,RG832,RG257,RG259,RG122,RG184,7,2,2,1,5,6,2,4,3,0,3,1,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3
RG3,-0.171887629,-0.22637599,0.552083333,5,2,3,RG386,RG557,RG620,RG530,RG975,RG17,RG888,RG418,RG303,RG445,RG147,RG852,RG73,RG360,2,3,3,5,4,3,6,5,0,1,3,7,5,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3
RG4,0.362898632,-0.225407037,0.362318841,5,2,3,RG722,RG181,RG286,RG458,RG497,RG472,RG446,RG71,RG309,RG47,RG628,RG986,RG102,RG491,1,0,0,2,7,1,1,1,4,1,1,1,1,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3
RG5,0.105300788,0.163006166,0.494382022,3,0,3,RG773,RG471,RG799,RG605,RG800,RG61,RG867,RG211,RG868,RG447,RG580,RG726,RG576,RG836,1,4,1,5,5,1,2,6,2,4,4,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG6,0.109131642,0.340606694,0.527472527,5,2,3,RG918,RG897,RG560,RG400,RG18,RG411,RG483,RG971,RG616,RG500,RG811,RG375,RG572,RG344,1,7,2,3,1,7,4,3,6,3,2,1,1,5,3,2,3,3,3,2,3,3,3,3,3,3,3,3
RG7,-0.213012314,-0.322879074,0.457831325,6,3,3,RG508,RG742,RG933,RG54,RG226,RG858,RG245,RG631,RG303,RG374,RG367,RG607,RG360,RG530,5,2,5,4,0,5,1,0,0,2,0,2,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG8,0.176229478,-0.160025393,0.568181818,8,5,3,RG21,RG683,RG148,RG678,RG685,RG248,RG778,RG258,RG732,RG528,RG388,RG639,RG477,RG348,4,2,4,7,3,0,1,2,1,4,0,3,7,7,3,3,3,1,3,3,3,3,3,3,3,3,1,0
RG9,-0.000960281,-0.031629217,0.597938144,6,3,3,RG103,RG808,RG13,RG41,RG334,RG288,RG301,RG768,RG870,RG156,RG724,RG794,RG813,RG928,5,0,7,5,1,7,7,4,3,2,2,4,7,1,3,3,2,3,3,2,2,3,3,3,3,3,0,3
RG10,-0.074787233,0.338487821,0.633663366,7,4,3,RG429,RG265,RG755,RG544,RG153,RG924,RG316,RG205,RG893,RG465,RG456,RG964,RG260,RG796,6,3,7,7,1,4,7,0,1,4,2,7,4,7,3,3,2,2,3,3,2,3,3,3,3,0,3,1
RG11,-0.319554044,0.129226235,0.574257426,4,1,3,RG143,RG930,RG963,RG165,RG625,RG106,RG753,RG325,RG33,RG397,RG904,RG254,RG656,RG705,7,3,4,7,2,2,4,1,6,6,3,5,4,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3
RG12,-0.420798094,-0.334452965,0.448717949,4,1,3,RG688,RG780,RG647,RG884,RG214,RG574,RG384,RG79,RG227,RG787,RG951,RG765,RG177,RG762,1,7,0,0,2,1,3,1,1,5,4,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
RG13,-0.002697606,-0.050911212,0.597938144,9,7,2,RG103,RG288,RG768,RG870,RG9,RG414,RG41,RG78,RG808,RG334,RG794,RG301,RG318,RG538,5,7,4,3,3,1,5,3,0,1,4,7,7,1,3,2,3,3,3,3,3,3,3,3,3,2,0,3
RG14,-0.131429479,0.091043147,0.551020408,4,1,3,RG136,RG708,RG162,RG989,RG228,RG840,RG81,RG600,RG810,RG900,RG958,RG220,RG383,RG932,6,0,5,7,5,2,2,6,4,4,2,4,1,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3
RG15,0.0478225,-0.0353616,0.548387097,6,3,3,RG928,RG847,RG212,RG690,RG724,RG41,RG19,RG794,RG156,RG459,RG128,RG768,RG134,RG199,1,1,2,6,2,5,2,4,2,4,2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,0
RG16,0.155650275,-0.082367375,0.493975904,4,1,3,RG633,RG833,RG744,RG619,RG743,RG424,RG998,RG527,RG639,RG659,RG180,RG827,RG792,RG674,2,7,2,0,7,1,3,2,3,1,4,4,1,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3
