ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
UB1,-0.112218677,-0.119592636,0.511627907,5,2,3,UB575,UB273,UB563,UB776,UB779,UB566,UB863,UB836,UB85,UB649,UB54,UB364,UB166,UB448,2,7,3,1,4,0,3,7,4,3,2,1,1,4,3,1,3,3,3,3,3,2,3,3,3,3,3,3
UB2,0.150902328,-0.237377876,0.476744186,5,2,3,UB252,UB662,UB774,UB950,UB976,UB498,UB808,UB414,UB913,UB86,UB430,UB531,UB503,UB173,0,2,0,6,3,0,2,2,6,2,1,6,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB3,-0.305767657,0.17491071,0.601941748,7,4,3,UB717,UB762,UB437,UB275,UB214,UB947,UB178,UB98,UB522,UB889,UB870,UB789,UB303,UB927,6,4,3,1,4,3,2,5,7,2,7,2,7,5,3,3,3,3,3,3,3,3,2,3,2,3,1,3
UB4,0.179818863,0.012653302,0.549450549,6,3,3,UB827,UB686,UB770,UB113,UB345,UB17,UB969,UB924,UB284,UB804,UB127,UB299,UB9,UB918,5,2,2,3,3,7,7,2,4,4,4,0,1,3,3,3,3,3,3,2,0,3,3,3,3,3,3,3
UB5,0.302802966,0.01420112,0.522222222,8,5,3,UB449,UB139,UB43,UB713,UB613,UB795,UB505,UB751,UB740,UB146,UB504,UB412,UB963,UB706,6,0,6,2,5,0,2,2,7,0,2,7,1,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3
UB6,-0.146937712,-0.065160672,0.552083333,5,2,3,UB783,UB731,UB170,UB793,UB85,UB597,UB863,UB364,UB578,UB179,UB506,UB776,UB813,UB625,4,3,2,2,4,3,3,1,7,6,4,1,5,6,3,3,3,3,3,3,3,3,1,3,3,3,3,3
UB7,-0.30997382,-0.199704741,0.475,5,2,3,UB588,UB667,UB210,UB622,UB869,UB112,UB101,UB259,UB710,UB602,UB745,UB961,UB814,UB205,2,0,2,4,2,3,2,2,0,3,7,0,7,2,3,3,3,3,3,3,3,3,3,3,2,3,1,3
UB8,0.259387322,0.160523239,0.547368421,5,2,3,UB99,UB979,UB29,UB837,UB572,UB668,UB972,UB443,UB511,UB27,UB607,UB436,UB417,UB872,2,5,1,5,7,2,5,4,3,0,6,3,5,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3
UB9,0.140609245,0.010502273,0.516853933,4,1,3,UB127,UB827,UB169,UB586,UB113,UB162,UB199,UB881,UB686,UB126,UB605,UB74,UB48,UB4,4,5,3,1,3,7,7,1,2,1,5,3,0,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
UB10,-0.054464147,0.002902011,0.602040816,8,5,3,UB693,UB365,UB746,UB857,UB523,UB444,UB300,UB549,UB755,UB97,UB288,UB223,UB866,UB887,2,7,4,3,3,4,2,2,3,2,3,5,7,7,3,0,3,3,3,3,3,3,3,3,3,3,2,1
