ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
UG1,-0.324028355,0.035617409,0.391891892,3,0,3,UG764,UG875,UG411,UG993,UG400,UG656,UG106,UG680,UG583,UG42,UG882,UG359,UG992,UG881,1,3,2,0,4,3,0,2,3,2,1,1,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG2,-0.091482578,-0.044512038,0.567010309,9,7,2,UG932,UG720,UG628,UG184,UG710,UG302,UG592,UG339,UG892,UG870,UG402,UG625,UG866,UG850,5,1,4,1,3,4,3,7,0,6,1,6,0,7,3,3,3,3,3,3,3,2,3,3,3,3,3,2
UG3,0.199133144,0.054713597,0.516483516,8,5,3,UG594,UG949,UG195,UG502,UG30,UG739,UG191,UG819,UG382,UG76,UG296,UG26,UG562,UG788,5,3,7,6,4,5,2,4,0,1,1,1,0,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
UG4,0.152138976,0.137986415,0.488372093,4,1,3,UG854,UG91,UG88,UG900,UG48,UG749,UG283,UG998,UG320,UG792,UG32,UG528,UG296,UG510,4,1,4,0,1,3,4,6,1,2,7,3,1,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3
UG5,0.066180355,0.360780382,0.544444444,8,7,1,UG691,UG765,UG440,UG907,UG964,UG179,UG335,UG289,UG974,UG162,UG372,UG90,UG262,UG414,3,6,2,2,3,2,1,5,3,7,3,2,1,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3
UG6,0.1277973,-0.258655165,0.488095238,5,2,3,UG679,UG711,UG164,UG301,UG565,UG577,UG431,UG951,UG409,UG193,UG495,UG824,UG490,UG856,0,6,4,1,2,7,4,2,4,2,1,1,5,0,3,3,3,3,3,1,3,3,3,3,3,3,3,3
UG7,0.248457921,0.630328504,0.528089888,3,0,3,UG946,UG662,UG842,UG597,UG152,UG880,UG352,UG982,UG229,UG907,UG127,UG335,UG307,UG671,3,0,4,4,1,3,7,5,4,2,5,1,6,2,3,3,3,3,3,3,0,3,3,3,3,3,3,3
UG8,-0.018627578,-0.003281652,0.6,8,7,1,UG96,UG845,UG983,UG104,UG828,UG500,UG855,UG967,UG930,UG702,UG130,UG64,UG240,UG957,1,5,5,7,7,6,4,4,1,0,3,7,3,0,3,3,3,2,2,3,3,3,3,3,3,2,3,3
UG9,0.080999979,0.273012908,0.505882353,9,7,2,UG581,UG922,UG782,UG268,UG162,UG571,UG464,UG157,UG27,UG751,UG179,UG552,UG49,UG521,0,6,3,2,7,0,3,1,2,3,2,0,6,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3
UG10,0.117180832,0.027805765,0.534883721,8,5,3,UG423,UG794,UG12,UG31,UG361,UG566,UG903,UG562,UG257,UG467,UG89,UG733,UG659,UG886,2,7,0,0,1,2,2,0,2,7,7,4,3,4,3,2,3,3,3,3,3,3,3,0,2,3,3,3
UG11,-0.258350089,0.168119821,0.444444444,3,0,3,UG728,UG63,UG687,UG975,UG887,UG259,UG999,UG857,UG686,UG515,UG410,UG199,UG493,UG125,1,2,4,2,6,3,2,4,3,2,5,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG12,0.095502106,0.022377499,0.539325843,3,0,3,UG423,UG467,UG566,UG10,UG794,UG766,UG361,UG733,UG947,UG644,UG117,UG903,UG692,UG551,2,7,2,5,7,5,1,4,4,3,2,2,1,3,3,0,3,3,2,3,3,3,3,3,3,3,3,3
UG13,-0.095599772,0.192012862,0.506024096,7,4,3,UG136,UG862,UG758,UG282,UG822,UG458,UG557,UG955,UG74,UG369,UG589,UG747,UG639,UG316,2,0,1,6,2,3,7,1,1,1,3,7,1,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3
