ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
UR1,-0.024965256,0.092179606,0.505747126,6,3,3,UR237,UR68,UR483,UR397,UR285,UR346,UR249,UR283,UR161,UR901,UR585,UR202,UR20,UR923,3,4,3,3,7,0,7,4,1,0,5,4,0,0,3,3,3,3,2,3,2,3,3,3,3,3,3,3
UR2,0.109263125,-0.408075273,0.521276596,7,4,3,UR564,UR451,UR626,UR941,UR303,UR583,UR162,UR912,UR97,UR936,UR676,UR527,UR802,UR772,2,1,5,1,5,6,5,1,2,2,2,5,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR3,-0.111414404,0.181527976,0.454545455,9,7,2,UR192,UR577,UR348,UR12,UR686,UR913,UR789,UR95,UR542,UR498,UR212,UR531,UR221,UR332,1,0,1,7,4,1,1,1,3,3,3,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3
UR4,0.226235874,0.080243013,0.604166667,6,3,3,UR224,UR361,UR899,UR998,UR172,UR983,UR171,UR841,UR380,UR948,UR619,UR186,UR965,UR98,3,7,7,5,2,3,3,7,2,3,2,1,7,3,3,2,1,3,3,3,3,1,3,3,3,3,1,3
UR5,0.100941703,-0.063384949,0.595959596,6,3,3,UR786,UR776,UR766,UR711,UR506,UR556,UR259,UR466,UR562,UR643,UR137,UR600,UR319,UR231,2,7,3,3,5,7,1,5,5,6,3,1,1,7,3,2,3,3,3,0,3,3,3,3,3,3,3,2
UR6,-0.075770088,0.021678541,0.505617978,6,3,3,UR355,UR46,UR539,UR40,UR84,UR883,UR809,UR894,UR75,UR338,UR696,UR856,UR205,UR118,1,2,6,3,4,7,0,2,2,2,3,2,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3
UR7,-0.303564551,-0.114606674,0.488095238,6,3,3,UR842,UR382,UR253,UR930,UR665,UR326,UR379,UR356,UR981,UR504,UR185,UR73,UR344,UR78,3,2,2,3,7,3,3,4,1,0,2,4,4,0,3,3,3,3,1,3,3,3,3,3,3,3,3,3
UR8,0.101925029,0.080933847,0.612244898,8,7,1,UR713,UR314,UR291,UR732,UR793,UR584,UR208,UR612,UR768,UR791,UR640,UR264,UR557,UR188,0,2,0,2,4,7,2,5,3,6,5,7,7,3,3,3,3,3,3,1,3,3,3,3,3,2,1,3
UR9,-0.024945208,0.345523836,0.544444444,3,0,3,UR718,UR862,UR822,UR304,UR627,UR532,UR588,UR801,UR674,UR581,UR268,UR423,UR143,UR510,3,2,3,2,0,0,6,1,6,5,7,5,2,7,3,3,3,3,3,3,3,3,3,3,2,3,3,0
UR10,-0.082994032,-0.10061835,0.616161616,4,1,3,UR367,UR599,UR592,UR58,UR694,UR100,UR594,UR191,UR72,UR641,UR858,UR130,UR630,UR992,6,3,5,2,7,1,1,7,7,7,1,6,7,0,3,3,3,3,1,3,3,2,2,1,3,3,2,3
