ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
WB1,-0.068400055,-0.044080963,0.59,6,3,3,WB726,WB147,WB638,WB981,WB148,WB956,WB820,WB809,WB82,WB168,WB376,WB373,WB14,WB891,1,3,7,4,7,7,6,6,1,5,2,2,3,2,3,3,1,3,2,2,3,3,3,3,3,3,3,3
WB2,-0.242066986,-0.407114945,0.516853933,5,2,3,WB149,WB702,WB621,WB426,WB528,WB634,WB861,WB457,WB387,WB301,WB504,WB836,WB393,WB683,5,6,6,2,1,0,5,2,3,7,1,1,1,4,3,3,3,3,3,3,3,3,3,1,3,3,3,3
WB3,0.152140883,0.067819946,0.59375,9,7,2,WB613,WB793,WB774,WB896,WB188,WB167,WB557,WB566,WB559,WB790,WB779,WB28,WB391,WB313,3,5,0,1,7,5,3,5,1,0,1,5,7,7,3,3,3,3,0,3,3,3,3,3,3,3,2,2
WB4,-0.231263711,-0.251298542,0.443037975,9,6,3,WB93,WB332,WB843,WB120,WB245,WB5,WB818,WB350,WB878,WB915,WB326,WB750,WB822,WB56,1,2,0,3,0,7,1,5,3,4,0,2,1,0,3,3,3,3,3,2,3,3,3,3,3,3,3,3
WB5,-0.222984155,-0.204589012,0.481481481,9,7,2,WB120,WB245,WB332,WB56,WB486,WB546,WB843,WB663,WB4,WB642,WB841,WB818,WB326,WB499,3,0,2,0,3,7,0,5,6,4,0,1,0,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3
WB6,0.067405646,0.228335122,0.589473684,7,7,0,WB898,WB172,WB68,WB525,WB124,WB953,WB158,WB298,WB695,WB827,WB835,WB448,WB284,WB44,7,0,1,6,4,3,5,7,3,4,0,2,2,5,1,3,3,3,3,3,3,2,3,3,3,3,3,3
WB7,0.176785643,-0.054317393,0.607843137,7,7,0,WB939,WB79,WB446,WB863,WB449,WB408,WB502,WB660,WB979,WB591,WB874,WB498,WB782,WB47,4,6,2,3,4,4,5,7,0,2,3,2,7,6,3,3,3,3,3,3,3,2,3,3,3,3,2,3
WB8,-0.208579358,0.395509246,0.505747126,6,3,3,WB848,WB728,WB645,WB517,WB175,WB617,WB224,WB183,WB481,WB51,WB620,WB42,WB604,WB460,1,3,2,3,7,4,5,4,2,1,3,3,2,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3
WB9,0.408868754,0.237637389,0.487804878,5,2,3,WB585,WB541,WB828,WB844,WB89,WB991,WB864,WB472,WB799,WB396,WB850,WB191,WB587,WB483,2,0,7,5,5,2,0,1,0,6,2,2,4,2,3,3,0,3,3,3,3,3,3,3,3,3,3,3
WB10,0.149884946,-0.25900303,0.5,4,1,3,WB511,WB785,WB226,WB771,WB501,WB549,WB787,WB579,WB470,WB875,WB610,WB530,WB39,WB909,0,3,6,2,0,3,1,2,2,7,5,1,1,7,3,3,3,3,3,3,3,3,3,0,3,3,3,2
