ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
WG1,-0.429318742,-0.107003235,0.505747126,4,1,3,WG603,WG311,WG250,WG345,WG403,WG423,WG407,WG226,WG801,WG580,WG362,WG979,WG369,WG347,2,2,2,4,2,1,2,6,2,2,5,2,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1
WG2,0.018691488,-0.361094753,0.574257426,4,1,3,WG383,WG126,WG343,WG440,WG214,WG339,WG667,WG733,WG847,WG978,WG57,WG96,WG682,WG817,3,3,5,4,6,7,1,2,5,4,7,3,2,5,3,3,3,3,3,2,3,3,3,3,2,3,3,3
WG3,0.028056045,-0.212368074,0.607843137,7,4,3,WG824,WG21,WG809,WG263,WG145,WG855,WG517,WG414,WG89,WG290,WG674,WG940,WG142,WG562,5,5,2,2,1,7,4,7,5,7,3,6,2,2,3,3,3,3,3,2,3,1,3,1,3,3,3,3
WG4,-0.209576742,-0.186174454,0.532608696,5,2,3,WG772,WG887,WG657,WG264,WG751,WG1000,WG915,WG537,WG312,WG166,WG836,WG547,WG702,WG998,2,3,3,3,7,2,2,5,5,5,3,5,2,0,3,3,3,3,1,3,3,3,3,3,3,3,3,3
WG5,0.354614494,-0.168712631,0.423076923,5,2,3,WG210,WG858,WG529,WG220,WG165,WG843,WG934,WG944,WG879,WG578,WG483,WG698,WG42,WG897,2,3,2,1,4,2,1,3,1,4,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG6,-0.301618573,-0.16219035,0.553191489,6,3,3,WG461,WG937,WG668,WG332,WG781,WG775,WG801,WG22,WG574,WG399,WG985,WG173,WG345,WG655,2,5,7,3,0,3,2,1,7,4,5,5,4,1,3,3,2,3,3,3,3,3,1,3,3,3,3,3
WG7,0.347612064,-0.059568143,0.511627907,9,7,2,WG771,WG373,WG768,WG882,WG182,WG372,WG542,WG664,WG338,WG951,WG498,WG223,WG829,WG944,6,2,0,1,2,0,3,3,5,1,7,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
WG8,-0.018342442,-0.144472397,0.601941748,9,6,3,WG761,WG581,WG80,WG325,WG877,WG729,WG54,WG738,WG350,WG260,WG572,WG473,WG233,WG674,3,6,5,1,5,7,3,5,1,2,6,2,7,3,3,3,3,3,3,0,3,3,3,3,3,3,2,3
WG9,-0.256538186,0.121000826,0.548387097,5,2,3,WG348,WG100,WG997,WG396,WG428,WG308,WG898,WG381,WG317,WG53,WG914,WG908,WG106,WG861,7,0,4,1,3,5,3,4,6,7,1,6,0,2,2,3,3,3,3,3,3,3,3,1,3,3,3,3
WG10,-0.049239521,-0.023382824,0.556701031,5,2,3,WG309,WG621,WG727,WG405,WG186,WG75,WG388,WG605,WG390,WG259,WG830,WG567,WG687,WG910,1,1,3,1,2,7,2,4,7,4,6,4,5,5,3,3,3,3,3,2,3,3,2,3,3,3,3,3
WG11,0.118794073,-0.293840874,0.623762376,6,3,3,WG594,WG416,WG154,WG494,WG540,WG952,WG716,WG289,WG682,WG462,WG448,WG465,WG777,WG257,5,3,7,3,6,7,1,4,2,4,3,7,7,1,3,3,2,3,3,2,3,3,3,3,3,0,1,3
WG12,-0.062453034,-0.227606139,0.455696203,4,1,3,WG167,WG502,WG620,WG720,WG228,WG822,WG615,WG550,WG410,WG72,WG116,WG247,WG470,WG207,2,5,7,1,3,0,0,0,3,1,7,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3
WG13,0.305173792,0.061942711,0.575757576,5,2,3,WG196,WG341,WG409,WG114,WG50,WG318,WG675,WG541,WG862,WG543,WG151,WG622,WG180,WG377,7,3,5,6,7,5,3,0,3,0,5,1,5,5,2,3,3,3,1,3,3,3,3,3,3,3,3,3
WG14,-0.099632079,0.180725993,0.585106383,6,3,3,WG764,WG261,WG736,WG291,WG795,WG236,WG681,WG506,WG696,WG584,WG750,WG221,WG138,WG907,7,2,7,2,7,2,7,0,0,3,3,7,0,5,2,3,1,3,2,3,2,3,3,3,3,2,3,3
WG15,0.439892806,-0.22178502,0.463414634,6,3,3,WG148,WG619,WG734,WG526,WG593,WG858,WG578,WG483,WG529,WG63,WG879,WG5,WG442,WG579,7,2,2,0,3,3,4,2,2,2,1,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
WG16,0.074453603,-0.180620867,0.541666667,6,3,3,WG875,WG587,WG616,WG644,WG145,WG688,WG248,WG783,WG190,WG834,WG562,WG342,WG713,WG273,3,1,5,3,1,5,4,5,7,0,2,5,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
WG17,-0.290843608,0.183898615,0.581632653,3,0,3,WG585,WG300,WG629,WG846,WG441,WG900,WG971,WG793,WG728,WG232,WG317,WG348,WG701,WG393,2,6,1,6,1,7,4,7,2,4,6,7,2,2,3,3,3,3,3,1,3,2,3,3,3,2,3,3
WG18,-0.134934643,-0.073960342,0.511627907,6,3,3,WG60,WG970,WG270,WG707,WG252,WG744,WG988,WG756,WG816,WG510,WG549,WG93,WG201,WG930,2,4,5,1,1,4,4,3,4,7,0,2,1,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3
WG19,0.173264366,-0.246721241,0.444444444,5,2,3,WG257,WG534,WG646,WG959,WG462,WG790,WG443,WG853,WG494,WG397,WG540,WG240,WG747,WG225,1,5,3,1,4,1,1,2,3,1,6,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG20,-0.21431603,-0.010036243,0.589473684,3,0,3,WG983,WG528,WG828,WG802,WG430,WG833,WG823,WG327,WG660,WG902,WG741,WG235,WG765,WG640,7,6,7,1,2,4,2,2,7,5,2,4,3,4,2,3,0,3,3,3,3,3,1,3,3,3,3,3
WG21,0.033082275,-0.2291974,0.588235294,8,5,3,WG414,WG3,WG89,WG855,WG824,WG632,WG940,WG145,WG562,WG245,WG517,WG243,WG263,WG809,7,4,5,7,5,3,6,1,2,6,4,1,2,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3
WG22,-0.282722858,-0.125814389,0.584158416,4,1,3,WG399,WG302,WG775,WG332,WG781,WG484,WG668,WG996,WG6,WG645,WG461,WG986,WG90,WG937,4,4,3,3,0,6,7,7,3,7,2,1,6,5,3,3,3,3,3,3,2,2,3,2,3,3,3,3
WG23,-0.073575802,-0.364265663,0.521276596,4,1,3,WG490,WG746,WG665,WG35,WG440,WG421,WG285,WG316,WG284,WG625,WG978,WG383,WG343,WG349,4,0,3,6,4,6,4,1,2,4,4,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG24,0.131884157,-0.126294836,0.5625,9,6,3,WG509,WG417,WG184,WG523,WG274,WG571,WG280,WG821,WG773,WG101,WG439,WG932,WG64,WG713,2,4,5,7,1,3,3,6,0,7,0,5,0,5,3,3,3,1,3,3,3,3,3,2,3,3,3,3
WG25,-0.0717966,0.228572269,0.595744681,5,2,3,WG512,WG896,WG236,WG681,WG354,WG938,WG736,WG291,WG413,WG286,WG125,WG28,WG884,WG14,1,1,2,7,2,5,7,2,2,6,2,7,7,3,3,3,3,2,3,3,1,3,3,3,3,1,1,3
WG26,0.055443767,-0.089967924,0.457831325,5,2,3,WG533,WG583,WG638,WG869,WG596,WG710,WG714,WG808,WG296,WG189,WG449,WG160,WG324,WG266,5,2,1,3,1,0,4,3,1,4,0,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG27,0.078845992,0.18250117,0.451219512,3,0,3,WG767,WG916,WG872,WG29,WG684,WG745,WG283,WG780,WG913,WG66,WG176,WG435,WG503,WG870,1,2,4,2,6,2,3,5,1,0,2,3,6,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG28,-0.037778027,0.189855903,0.62,8,7,1,WG277,WG366,WG884,WG40,WG573,WG750,WG213,WG957,WG512,WG291,WG612,WG896,WG25,WG651,3,7,7,6,6,3,7,2,1,2,6,1,2,2,3,2,1,3,3,3,1,3,3,3,3,3,3,3
WG29,0.112075408,0.182056077,0.488636364,5,2,3,WG870,WG916,WG684,WG27,WG767,WG560,WG503,WG885,WG780,WG435,WG958,WG745,WG789,WG539,0,2,6,0,1,4,6,4,5,3,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG30,-0.011050839,0.310641332,0.464285714,5,2,3,WG762,WG76,WG953,WG778,WG556,WG123,WG400,WG463,WG652,WG125,WG712,WG732,WG44,WG413,0,0,0,5,5,3,4,4,3,2,1,2,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG31,-0.278364414,0.300885764,0.569892473,7,7,0,WG776,WG972,WG47,WG152,WG711,WG415,WG739,WG670,WG195,WG527,WG797,WG334,WG793,WG876,2,1,3,6,7,3,2,4,0,3,3,3,7,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3
WG32,9.60E-05,-0.001899858,0.6,8,5,3,WG724,WG51,WG844,WG75,WG687,WG422,WG532,WG301,WG813,WG405,WG203,WG804,WG254,WG216,4,0,6,7,5,3,0,5,2,1,1,7,7,7,3,3,3,2,3,3,3,3,3,3,3,2,1,2
WG33,-0.377503751,0.044895236,0.568627451,7,4,3,WG905,WG825,WG799,WG197,WG130,WG362,WG402,WG357,WG119,WG548,WG606,WG697,WG979,WG807,3,3,2,4,6,5,7,6,4,0,4,2,2,6,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WG34,-0.108226339,-0.013889234,0.591836735,6,3,3,WG466,WG378,WG575,WG275,WG122,WG812,WG976,WG356,WG830,WG201,WG510,WG725,WG992,WG756,0,3,5,6,3,0,5,7,6,1,7,7,2,3,3,3,3,3,3,3,3,2,3,3,0,2,3,3
WG35,-0.09254597,-0.325760826,0.482758621,9,6,3,WG665,WG284,WG625,WG450,WG316,WG23,WG746,WG490,WG349,WG62,WG285,WG337,WG58,WG489,3,2,4,1,1,1,0,4,2,5,4,1,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG36,-0.13309247,0.348872963,0.506024096,7,4,3,WG159,WG784,WG627,WG485,WG753,WG358,WG977,WG446,WG164,WG508,WG863,WG113,WG499,WG535,7,2,1,7,3,0,1,1,2,1,2,7,2,2,1,3,3,2,3,3,3,3,3,3,3,2,3,3
WG37,-0.22962695,-0.230392756,0.434210526,4,1,3,WG719,WG432,WG998,WG555,WG264,WG715,WG78,WG700,WG751,WG591,WG702,WG61,WG655,WG772,1,6,0,0,3,1,1,2,7,4,2,2,1,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3
WG38,-0.215652756,-0.336555148,0.494117647,3,0,3,WG328,WG504,WG917,WG49,WG135,WG58,WG752,WG395,WG450,WG662,WG719,WG715,WG557,WG137,5,2,1,2,5,6,1,7,1,3,1,1,4,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
WG39,0.126874268,0.031562624,0.614583333,7,4,3,WG162,WG158,WG635,WG279,WG467,WG721,WG307,WG370,WG759,WG474,WG353,WG779,WG453,WG127,7,3,4,1,5,2,4,7,5,7,1,1,1,7,0,3,3,3,3,3,3,1,3,2,3,3,3,1
WG40,-0.012082411,0.193818945,0.651376147,9,6,3,WG366,WG957,WG884,WG612,WG28,WG651,WG573,WG277,WG244,WG454,WG213,WG718,WG617,WG750,7,2,7,6,7,2,6,3,4,3,7,4,4,3,2,3,1,3,1,3,3,3,3,3,1,3,3,3
WG41,-0.247946045,-0.079571686,0.636363636,7,7,0,WG995,WG964,WG82,WG986,WG613,WG996,WG460,WG262,WG371,WG387,WG90,WG484,WG800,WG355,3,7,2,1,3,7,1,7,7,0,6,6,6,0,3,2,3,3,3,2,3,2,0,3,3,3,3,3
WG42,0.29447112,-0.18114179,0.423076923,4,1,3,WG212,WG897,WG691,WG934,WG672,WG303,WG220,WG843,WG457,WG941,WG633,WG165,WG5,WG529,3,3,5,1,2,2,1,2,1,4,0,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG43,0.208533569,0.1496977,0.397260274,6,3,3,WG782,WG901,WG695,WG306,WG144,WG365,WG161,WG592,WG478,WG647,WG654,WG108,WG576,WG911,4,0,0,0,0,3,0,2,0,4,2,4,0,7,3,3,3,3,3,3,3,3,3,3,3,3,3,2
WG44,0.038386937,0.345703357,0.494382022,9,6,3,WG648,WG246,WG778,WG103,WG76,WG618,WG105,WG131,WG953,WG659,WG420,WG30,WG556,WG652,6,2,5,2,0,1,3,4,0,1,4,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG45,-0.162791433,-0.248475078,0.482758621,4,1,3,WG434,WG708,WG476,WG557,WG700,WG218,WG238,WG866,WG135,WG88,WG78,WG662,WG507,WG805,3,0,5,4,2,4,5,2,5,0,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG46,0.247619132,-0.27523378,0.457831325,6,3,3,WG491,WG563,WG360,WG600,WG146,WG607,WG769,WG397,WG518,WG959,WG941,WG329,WG443,WG304,3,0,4,5,0,1,6,1,3,1,4,4,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG47,-0.266272373,0.268671756,0.583333333,6,3,3,WG711,WG31,WG527,WG393,WG972,WG793,WG776,WG152,WG876,WG232,WG846,WG739,WG334,WG441,7,7,3,2,1,7,2,6,2,4,6,2,3,1,2,0,3,3,3,2,3,3,3,3,3,3,3,3
WG48,-0.054775284,0.118032761,0.673076923,8,5,3,WG495,WG336,WG604,WG204,WG973,WG841,WG788,WG389,WG889,WG221,WG565,WG628,WG363,WG213,3,7,7,6,1,4,7,7,1,7,2,1,5,7,3,1,0,3,3,3,1,2,3,2,3,3,3,1
WG49,-0.153359021,-0.327402547,0.556701031,5,2,3,WG58,WG450,WG917,WG625,WG328,WG662,WG285,WG489,WG135,WG284,WG504,WG395,WG35,WG557,6,1,1,4,5,3,4,2,5,2,2,7,6,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3
WG50,0.290721941,0.023516686,0.533333333,8,7,1,WG196,WG862,WG541,WG13,WG318,WG496,WG689,WG377,WG114,WG223,WG409,WG622,WG237,WG737,7,3,0,2,5,1,1,5,6,1,5,1,0,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3
WG51,0.002008629,0.013632531,0.597938144,3,0,3,WG32,WG724,WG687,WG844,WG254,WG532,WG804,WG168,WG832,WG75,WG92,WG424,WG686,WG422,5,4,5,6,7,0,7,4,7,7,0,0,3,3,3,3,3,3,1,3,2,3,1,2,3,3,3,3
WG52,-0.162233209,0.215032573,0.542553191,5,2,3,WG653,WG840,WG477,WG368,WG94,WG179,WG134,WG138,WG286,WG202,WG947,WG696,WG854,WG968,6,4,1,5,4,7,1,0,6,3,2,0,3,7,3,3,3,3,3,2,3,3,3,3,3,3,3,2
WG53,-0.231552073,0.150833905,0.538461538,8,7,1,WG428,WG317,WG851,WG997,WG898,WG701,WG348,WG760,WG9,WG308,WG117,WG322,WG298,WG100,3,6,3,4,3,2,7,1,2,5,3,3,0,0,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WG54,-0.044757981,-0.159623894,0.553191489,6,3,3,WG991,WG260,WG346,WG153,WG207,WG588,WG761,WG936,WG8,WG325,WG80,WG299,WG581,WG729,3,2,1,0,2,1,3,6,6,1,5,6,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,0
WG55,0.166534123,0.27274686,0.543478261,4,1,3,WG278,WG242,WG949,WG706,WG375,WG999,WG398,WG133,WG893,WG559,WG340,WG891,WG631,WG958,7,1,1,2,7,1,6,4,3,5,2,3,3,4,1,3,3,3,2,3,3,3,3,3,3,3,3,3
WG56,-0.182247737,0.448741798,0.529411765,7,4,3,WG743,WG446,WG784,WG485,WG977,WG139,WG627,WG256,WG925,WG863,WG36,WG159,WG195,WG797,3,1,2,7,1,1,1,7,2,2,4,7,0,3,3,3,3,2,3,3,3,1,3,3,3,1,3,3
WG57,0.053577742,-0.306497398,0.591836735,9,7,2,WG96,WG214,WG406,WG211,WG847,WG269,WG126,WG416,WG682,WG465,WG632,WG183,WG614,WG243,3,6,2,3,5,1,3,3,2,7,3,7,5,1,3,3,3,3,3,3,3,3,3,0,3,2,3,3
WG58,-0.146427229,-0.343403137,0.547368421,9,6,3,WG49,WG450,WG625,WG285,WG395,WG917,WG328,WG284,WG35,WG662,WG421,WG665,WG489,WG38,2,1,4,4,7,1,5,2,6,3,6,3,2,0,3,3,3,3,1,3,3,3,3,3,3,3,3,3
WG59,-0.072214484,-0.096049668,0.588235294,5,2,3,WG641,WG426,WG84,WG455,WG595,WG282,WG599,WG910,WG626,WG392,WG988,WG91,WG738,WG259,7,7,1,1,2,5,5,5,2,6,4,4,5,4,1,2,3,3,3,3,3,3,3,3,3,3,3,3
WG60,-0.125093181,-0.084755644,0.517241379,5,2,3,WG252,WG18,WG988,WG270,WG93,WG970,WG707,WG744,WG84,WG756,WG599,WG200,WG510,WG928,1,3,4,5,2,4,1,4,1,3,5,1,7,2,3,3,3,3,3,3,3,3,3,3,3,3,0,3
WG61,-0.274494873,-0.225217526,0.5,5,2,3,WG591,WG655,WG555,WG173,WG715,WG998,WG985,WG719,WG37,WG702,WG264,WG751,WG574,WG845,4,1,0,5,1,0,5,1,1,2,3,7,7,2,3,3,3,3,3,3,3,3,3,3,3,1,1,3
WG62,-0.093702754,-0.275711805,0.407894737,8,5,3,WG337,WG72,WG838,WG489,WG470,WG284,WG822,WG218,WG926,WG167,WG552,WG349,WG35,WG224,1,1,0,2,2,2,0,4,2,2,1,2,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG63,0.412886596,-0.133501639,0.5,5,2,3,WG483,WG129,WG858,WG944,WG619,WG442,WG210,WG542,WG102,WG5,WG182,WG703,WG373,WG165,2,3,3,3,2,3,2,3,7,2,2,4,2,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3
WG64,0.117082227,-0.083441459,0.4375,3,0,3,WG850,WG344,WG449,WG85,WG417,WG439,WG821,WG638,WG160,WG538,WG24,WG808,WG596,WG961,1,0,0,3,4,0,6,1,6,3,6,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG65,0.117937861,0.31673862,0.488095238,4,1,3,WG514,WG891,WG105,WG521,WG133,WG706,WG618,WG893,WG659,WG278,WG993,WG888,WG205,WG55,4,3,3,2,4,2,1,3,1,7,3,4,2,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3
WG66,0.053144506,0.13841615,0.568421053,3,0,3,WG176,WG913,WG924,WG894,WG677,WG852,WG425,WG718,WG906,WG74,WG244,WG229,WG435,WG27,2,1,7,3,7,5,4,4,7,3,4,4,3,0,3,3,2,3,2,3,3,3,1,3,3,3,3,3
WG67,0.453853525,0.017000598,0.482758621,7,4,3,WG208,WG281,WG989,WG859,WG418,WG927,WG582,WG663,WG187,WG293,WG703,WG427,WG685,WG338,4,3,2,1,0,3,4,3,2,3,4,4,0,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG68,0.104527741,-0.226603732,0.444444444,4,1,3,WG673,WG437,WG448,WG401,WG921,WG225,WG493,WG562,WG616,WG243,WG875,WG783,WG630,WG494,1,1,3,6,1,1,1,2,5,1,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG69,0.236090161,-0.364821017,0.528735632,6,3,3,WG304,WG683,WG488,WG178,WG607,WG276,WG513,WG361,WG963,WG329,WG491,WG360,WG777,WG46,2,2,1,3,1,1,7,3,2,4,3,4,7,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3
WG70,0.551052233,0.186495503,0.469135802,6,3,3,WG826,WG564,WG975,WG582,WG685,WG602,WG330,WG193,WG459,WG856,WG859,WG185,WG331,WG669,1,7,3,4,0,2,3,0,6,0,1,1,5,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3
WG71,-0.127354699,0.259426652,0.633928571,5,2,3,WG968,WG938,WG535,WG962,WG179,WG265,WG113,WG286,WG840,WG753,WG854,WG52,WG681,WG653,7,5,2,6,7,4,7,6,4,3,3,2,7,6,2,3,3,3,2,3,2,3,3,3,3,3,2,3
WG72,-0.079261532,-0.261128191,0.397260274,4,1,3,WG62,WG822,WG167,WG470,WG337,WG552,WG838,WG720,WG12,WG926,WG228,WG224,WG620,WG349,5,0,2,2,1,1,0,1,1,2,3,1,7,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WG73,-0.139185227,0.081493871,0.672727273,9,7,2,WG623,WG194,WG95,WG487,WG912,WG895,WG679,WG128,WG464,WG868,WG468,WG849,WG404,WG755,7,6,4,6,3,3,2,7,7,7,0,7,6,2,2,3,3,3,3,3,3,2,1,2,3,0,3,3
WG74,0.044170305,0.093444812,0.631067961,6,3,3,WG155,WG451,WG677,WG924,WG852,WG229,WG642,WG948,WG906,WG656,WG136,WG66,WG176,WG492,5,6,7,7,5,4,2,6,7,1,7,0,2,3,3,3,2,2,3,3,3,3,1,3,0,3,3,3
WG75,-0.024437917,-0.012334879,0.52173913,9,7,2,WG405,WG724,WG309,WG687,WG32,WG10,WG301,WG567,WG422,WG727,WG51,WG844,WG621,WG203,1,4,1,5,5,2,5,4,3,3,0,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG76,0.011149258,0.314025638,0.516129032,3,0,3,WG30,WG778,WG556,WG652,WG762,WG953,WG44,WG400,WG246,WG420,WG648,WG463,WG123,WG969,2,5,5,3,0,0,6,4,2,4,6,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG77,0.230648933,0.301843216,0.4,4,1,3,WG878,WG631,WG949,WG340,WG954,WG904,WG522,WG722,WG999,WG79,WG98,WG815,WG55,WG888,4,3,1,2,1,0,2,6,1,1,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG78,-0.190471755,-0.222859924,0.430379747,4,1,3,WG866,WG700,WG537,WG432,WG434,WG312,WG887,WG177,WG88,WG45,WG708,WG836,WG37,WG4,2,2,5,6,3,5,3,0,0,1,0,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG79,0.284068433,0.268013818,0.443037975,4,1,3,WG954,WG81,WG815,WG717,WG878,WG522,WG150,WG199,WG444,WG566,WG923,WG255,WG98,WG77,1,3,2,1,4,2,3,2,6,7,1,0,1,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3
WG80,-0.01381202,-0.161376694,0.527472527,8,5,3,WG8,WG761,WG260,WG364,WG674,WG54,WG572,WG142,WG581,WG350,WG325,WG207,WG290,WG346,6,3,2,0,3,3,6,2,6,1,1,2,7,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3
