ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
WR1,-0.501955281,0.054712965,0.527472527,4,1,3,WR48,WR102,WR708,WR978,WR566,WR741,WR562,WR414,WR81,WR630,WR971,WR218,WR895,WR361,6,3,3,0,4,1,7,5,5,4,2,7,0,0,3,3,3,3,3,3,2,3,3,3,3,2,3,3
WR2,-0.369328632,-0.346329455,0.549450549,4,1,3,WR472,WR535,WR91,WR810,WR217,WR678,WR219,WR832,WR115,WR422,WR788,WR715,WR187,WR120,3,3,2,3,1,7,1,5,2,4,7,3,7,1,3,3,3,3,3,2,3,3,3,3,1,3,2,3
WR3,-0.373273271,0.166912909,0.5,4,1,3,WR410,WR309,WR188,WR666,WR550,WR169,WR924,WR134,WR565,WR45,WR303,WR518,WR905,WR586,3,1,2,3,5,2,3,1,6,2,6,5,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR4,0.118321493,-0.674610565,0.526315789,6,3,3,WR95,WR949,WR664,WR420,WR364,WR458,WR428,WR250,WR409,WR672,WR540,WR943,WR883,WR827,2,4,0,6,6,4,2,4,1,4,2,6,0,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR5,0.156484013,-0.120021487,0.6,4,1,3,WR264,WR839,WR262,WR671,WR99,WR247,WR244,WR260,WR585,WR993,WR669,WR356,WR421,WR384,6,6,3,4,3,1,7,7,6,3,4,3,4,2,3,3,3,3,3,3,0,1,3,3,3,3,3,3
WR6,-0.154519359,0.549279139,0.366197183,4,1,3,WR869,WR503,WR928,WR627,WR269,WR22,WR899,WR640,WR104,WR938,WR118,WR860,WR600,WR367,5,1,0,5,1,1,0,1,0,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR7,0.166041277,0.112433635,0.564356436,9,6,3,WR360,WR155,WR333,WR307,WR433,WR71,WR88,WR852,WR642,WR496,WR29,WR531,WR885,WR806,3,1,6,2,3,3,2,3,5,7,1,4,5,6,3,3,3,3,3,3,3,3,3,2,3,3,3,3
WR8,-0.160508883,0.289118779,0.5625,4,1,3,WR545,WR707,WR590,WR798,WR843,WR881,WR195,WR742,WR34,WR486,WR823,WR639,WR513,WR474,3,5,3,7,1,2,4,2,6,1,4,4,4,7,3,3,3,1,3,3,3,3,3,3,3,3,3,2
WR9,-0.232653436,-0.316344511,0.635514019,9,7,2,WR340,WR286,WR517,WR132,WR804,WR187,WR532,WR18,WR787,WR196,WR422,WR168,WR368,WR483,4,7,0,7,3,7,1,4,1,6,4,7,6,4,3,2,3,1,3,2,3,3,3,3,3,2,3,3
WR10,-0.247247956,0.265251959,0.505747126,8,7,1,WR697,WR431,WR424,WR33,WR742,WR621,WR100,WR486,WR111,WR207,WR64,WR482,WR694,WR586,3,4,3,1,2,1,1,1,4,0,2,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR11,-0.211172563,-0.009126417,0.571428571,5,2,3,WR840,WR312,WR57,WR412,WR926,WR69,WR797,WR300,WR991,WR626,WR645,WR385,WR539,WR460,2,7,5,0,6,7,2,2,0,7,1,7,2,2,3,2,3,3,3,2,3,3,3,1,3,1,3,3
WR12,-0.00508606,-0.260124698,0.59375,7,4,3,WR198,WR527,WR203,WR849,WR528,WR32,WR418,WR322,WR326,WR52,WR534,WR863,WR853,WR700,4,7,1,7,4,1,4,7,2,7,1,7,0,1,3,2,3,1,3,3,3,2,3,2,3,2,3,3
WR13,0.003715973,0.188040622,0.564705882,5,2,3,WR955,WR493,WR691,WR833,WR967,WR92,WR462,WR711,WR429,WR721,WR213,WR227,WR946,WR301,2,2,7,7,1,5,1,1,7,3,3,3,2,2,3,3,0,1,3,3,3,3,0,3,3,3,3,3
WR14,-0.090031919,-0.21318694,0.641509434,9,7,2,WR543,WR170,WR208,WR887,WR341,WR78,WR277,WR297,WR835,WR197,WR834,WR637,WR661,WR443,7,6,1,2,3,3,7,7,5,5,4,2,5,4,1,3,3,3,3,3,2,0,3,3,3,3,3,3
WR15,0.072736225,0.025663876,0.598039216,4,1,3,WR507,WR945,WR37,WR131,WR310,WR380,WR563,WR999,WR718,WR337,WR714,WR239,WR84,WR549,2,2,7,6,3,7,2,4,5,2,6,7,5,2,3,3,2,3,3,1,3,3,3,3,3,2,3,3
WR16,-0.07114821,0.118732624,0.632653061,5,2,3,WR425,WR735,WR655,WR704,WR552,WR521,WR211,WR736,WR523,WR593,WR325,WR137,WR856,WR820,2,3,7,3,1,7,7,5,2,7,5,2,6,3,3,3,0,3,3,2,1,3,3,0,3,3,3,3
WR17,0.029362997,-0.194120257,0.591836735,8,5,3,WR534,WR807,WR354,WR863,WR316,WR397,WR418,WR700,WR108,WR183,WR739,WR103,WR758,WR528,1,7,5,7,2,4,4,1,1,1,2,7,7,4,3,2,3,2,3,3,3,3,3,3,3,1,2,3
WR18,-0.219007054,-0.269266981,0.648148148,7,4,3,WR804,WR286,WR483,WR829,WR196,WR285,WR9,WR168,WR475,WR190,WR982,WR517,WR187,WR787,3,7,4,3,6,7,7,7,6,1,7,0,7,1,3,2,3,3,3,1,2,2,3,3,2,3,2,3
WR19,0.246036254,-0.073449664,0.549450549,3,0,3,WR712,WR581,WR242,WR212,WR261,WR101,WR554,WR544,WR304,WR781,WR730,WR369,WR724,WR260,5,3,2,0,7,1,2,6,1,5,0,7,4,7,3,3,3,3,2,3,3,3,3,3,3,2,3,1
WR20,0.161271947,-0.030081716,0.5,3,0,3,WR419,WR299,WR919,WR556,WR255,WR119,WR669,WR817,WR276,WR384,WR730,WR687,WR261,WR781,2,1,3,3,1,7,4,0,4,2,0,4,7,5,3,3,3,3,3,2,3,3,3,3,3,3,2,3
WR21,0.118460993,0.048402356,0.594059406,7,4,3,WR925,WR423,WR123,WR363,WR83,WR84,WR958,WR714,WR563,WR964,WR983,WR310,WR507,WR496,3,2,4,4,7,5,7,6,2,1,3,3,2,7,3,3,3,3,2,3,1,3,3,3,3,3,3,2
WR22,-0.078491171,0.449763977,0.415584416,4,1,3,WR860,WR627,WR283,WR503,WR803,WR377,WR269,WR612,WR880,WR104,WR332,WR600,WR140,WR392,3,5,3,1,2,2,1,1,2,0,2,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR23,-0.077365557,-0.083939269,0.62037037,9,6,3,WR465,WR292,WR602,WR466,WR771,WR569,WR541,WR514,WR683,WR576,WR25,WR371,WR904,WR314,7,6,7,2,2,6,3,4,3,7,6,5,2,1,1,3,2,3,3,3,3,3,3,2,3,3,3,3
WR24,-0.356904868,-0.089993203,0.59223301,9,7,2,WR489,WR457,WR408,WR413,WR67,WR956,WR339,WR136,WR864,WR650,WR628,WR271,WR520,WR795,7,1,4,5,6,4,4,0,4,4,5,2,4,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3
WR25,-0.061792165,-0.048639334,0.607843137,9,6,3,WR976,WR831,WR514,WR602,WR683,WR771,WR398,WR975,WR466,WR491,WR465,WR501,WR23,WR624,7,0,4,7,3,2,2,7,2,1,7,4,6,4,2,3,3,2,3,3,3,2,3,3,1,3,3,3
WR26,0.320357452,0.42486905,0.430379747,5,2,3,WR305,WR889,WR201,WR192,WR894,WR320,WR604,WR138,WR231,WR461,WR50,WR633,WR448,WR851,0,2,3,4,4,1,2,1,0,3,3,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR27,0.189949741,0.032076754,0.63,7,4,3,WR886,WR974,WR478,WR152,WR779,WR994,WR193,WR937,WR233,WR119,WR276,WR981,WR932,WR885,2,2,7,0,4,3,5,5,1,7,4,7,7,5,3,3,2,3,3,3,3,3,3,2,3,0,0,3
