ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14
WU1,-0.108605557,-0.046888383,0.5,3,0,3,WU471,WU626,WU955,WU287,WU180,WU870,WU303,WU491,WU467,WU783,WU688,WU351,WU619,WU873,0,7,2,4,4,0,2,7,1,4,2,3,2,4,3,1,3,3,3,3,3,2,3,3,3,3,3,3
WU2,0.537868633,-0.01533998,0.542553191,9,7,2,WU576,WU995,WU819,WU553,WU307,WU532,WU528,WU547,WU865,WU680,WU981,WU134,WU621,WU786,2,5,0,4,1,1,7,3,5,4,2,5,1,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WU3,-0.137854525,0.42466675,0.528089888,7,7,0,WU585,WU122,WU406,WU262,WU653,WU172,WU373,WU143,WU455,WU352,WU23,WU112,WU867,WU326,4,4,2,2,3,3,5,1,1,0,0,5,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU4,0.115960595,-0.262416767,0.6,4,1,3,WU233,WU736,WU213,WU169,WU827,WU110,WU418,WU750,WU280,WU174,WU478,WU438,WU672,WU355,7,4,1,6,6,2,5,5,7,2,2,5,2,5,0,3,3,3,3,3,3,3,1,3,3,3,3,3
WU5,-0.238345945,-0.002642606,0.56122449,4,1,3,WU521,WU440,WU728,WU746,WU953,WU116,WU271,WU370,WU127,WU823,WU705,WU444,WU751,WU683,4,3,1,1,1,7,6,4,3,3,6,6,3,6,3,3,3,3,3,1,3,3,3,3,3,3,3,3
WU6,0.352076356,0.021873977,0.511627907,4,1,3,WU384,WU246,WU769,WU165,WU994,WU92,WU959,WU731,WU857,WU500,WU68,WU217,WU411,WU256,1,7,4,4,1,3,2,1,5,3,7,1,2,2,3,1,3,3,3,3,3,3,3,3,2,3,3,3
WU7,-0.42781925,-0.121377237,0.59,9,6,3,WU516,WU612,WU898,WU740,WU376,WU642,WU948,WU315,WU691,WU199,WU493,WU747,WU999,WU281,3,3,4,6,4,1,7,1,4,4,0,7,6,3,3,3,3,3,3,3,0,3,3,3,3,2,3,3
WU8,-0.316886831,0.247463198,0.552083333,7,4,3,WU273,WU409,WU53,WU166,WU954,WU431,WU666,WU14,WU780,WU540,WU389,WU452,WU154,WU283,6,5,1,2,1,3,7,3,3,1,1,6,4,6,3,3,3,3,3,3,1,3,3,3,3,3,3,3
WU9,0.21490151,-0.024829283,0.56,6,3,3,WU900,WU872,WU397,WU230,WU893,WU943,WU815,WU848,WU515,WU108,WU818,WU272,WU186,WU807,1,4,4,3,3,6,3,7,4,3,5,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3
WU10,0.25825269,0.04704491,0.589473684,4,1,3,WU244,WU875,WU190,WU80,WU560,WU908,WU308,WU100,WU851,WU713,WU596,WU973,WU883,WU71,7,4,5,0,0,3,5,7,7,7,3,4,2,1,2,3,3,3,3,3,3,1,2,1,3,3,3,3
WU11,-0.153022888,0.283603579,0.574257426,6,3,3,WU319,WU936,WU377,WU914,WU969,WU408,WU354,WU104,WU724,WU703,WU726,WU867,WU310,WU380,7,4,0,3,6,5,6,3,2,3,1,6,5,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3
WU12,0.281067911,-0.305225842,0.481927711,8,7,1,WU855,WU660,WU202,WU414,WU78,WU574,WU924,WU33,WU450,WU913,WU811,WU339,WU753,WU420,2,3,0,1,4,6,0,2,3,3,1,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU13,-0.041243371,0.365239237,0.505617978,4,1,3,WU525,WU295,WU938,WU760,WU828,WU978,WU940,WU804,WU833,WU326,WU23,WU603,WU373,WU380,4,3,2,3,3,0,7,3,1,4,0,5,5,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WU14,-0.270111075,0.184228103,0.618556701,6,3,3,WU431,WU540,WU53,WU422,WU313,WU401,WU327,WU74,WU356,WU365,WU273,WU263,WU822,WU441,3,1,1,7,7,7,1,7,2,3,6,3,7,2,3,3,3,2,2,0,3,2,3,3,3,3,1,3
WU15,-0.285382946,-0.215091533,0.645454545,9,6,3,WU773,WU205,WU529,WU381,WU275,WU149,WU43,WU382,WU167,WU633,WU403,WU226,WU509,WU297,4,7,7,4,4,1,3,7,6,5,1,7,7,2,3,2,2,3,3,3,3,2,3,3,3,2,1,3
WU16,0.022228657,-0.078916584,0.555555556,4,1,3,WU277,WU265,WU963,WU141,WU434,WU892,WU695,WU885,WU578,WU305,WU600,WU487,WU325,WU942,7,3,3,2,4,3,6,0,0,6,2,4,2,7,1,3,3,3,3,3,3,3,3,3,3,3,3,0
WU17,-0.115740225,0.212195494,0.618181818,6,3,3,WU354,WU187,WU957,WU505,WU665,WU724,WU104,WU44,WU566,WU687,WU876,WU372,WU310,WU798,6,6,2,5,7,2,3,2,1,6,7,7,5,6,3,3,3,3,2,3,3,3,3,3,2,2,3,3
WU18,0.129301159,-0.073499974,0.611650485,5,2,3,WU716,WU507,WU712,WU537,WU347,WU592,WU598,WU530,WU201,WU820,WU609,WU801,WU720,WU685,1,5,5,2,6,2,7,7,2,7,5,7,1,4,3,3,3,3,3,3,2,2,3,2,3,1,3,3
WU19,-0.447183937,0.295513902,0.441558442,5,2,3,WU668,WU194,WU766,WU655,WU918,WU243,WU785,WU859,WU91,WU835,WU36,WU289,WU954,WU613,1,3,6,0,7,4,0,3,1,1,1,3,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3
WU20,0.1087609,-0.132748059,0.568421053,9,7,2,WU697,WU763,WU685,WU658,WU693,WU820,WU349,WU97,WU333,WU801,WU884,WU83,WU484,WU771,3,0,4,2,2,7,2,2,5,7,3,2,2,6,3,3,3,3,3,2,3,3,3,1,3,3,3,3
WU21,0.049408088,0.065282963,0.745614035,7,7,0,WU261,WU220,WU232,WU494,WU629,WU472,WU649,WU195,WU255,WU214,WU330,WU240,WU939,WU432,6,7,3,7,7,3,6,5,7,7,5,3,5,7,3,2,3,0,1,3,3,3,2,0,3,3,3,0
WU22,0.190069125,-0.103087653,0.61,9,6,3,WU777,WU24,WU55,WU514,WU285,WU956,WU890,WU690,WU537,WU583,WU186,WU83,WU967,WU37,7,7,6,2,7,3,4,4,2,3,3,2,1,4,1,2,3,3,0,3,3,3,3,3,3,3,3,3
WU23,-0.093245848,0.356112636,0.494382022,3,0,3,WU828,WU867,WU380,WU969,WU978,WU406,WU525,WU914,WU603,WU13,WU373,WU726,WU295,WU143,3,6,4,6,0,2,4,3,5,1,5,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU24,0.189384294,-0.085682822,0.625,9,7,2,WU22,WU55,WU777,WU690,WU186,WU583,WU956,WU514,WU101,WU537,WU285,WU350,WU609,WU890,6,6,7,4,3,3,3,2,6,2,7,0,5,4,3,3,1,3,3,3,3,3,3,3,0,3,3,3
WU25,0.092484488,-0.356057803,0.476744186,6,3,3,WU734,WU762,WU245,WU87,WU367,WU485,WU750,WU348,WU424,WU30,WU827,WU681,WU590,WU38,3,2,2,0,3,4,5,4,1,5,6,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU26,0.191146067,-0.316545977,0.534090909,7,7,0,WU924,WU634,WU905,WU438,WU38,WU420,WU30,WU450,WU110,WU33,WU490,WU941,WU630,WU367,0,3,7,5,2,1,5,3,2,2,5,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
WU27,0.470814849,0.138814567,0.543478261,8,7,1,WU64,WU137,WU864,WU704,WU772,WU581,WU547,WU159,WU657,WU93,WU670,WU865,WU866,WU1000,2,3,2,2,5,6,3,4,0,0,1,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WU28,-0.063344232,-0.374197188,0.453333333,7,4,3,WU447,WU124,WU722,WU965,WU252,WU371,WU427,WU117,WU968,WU984,WU385,WU860,WU321,WU810,1,2,2,0,1,0,2,7,3,1,3,7,1,0,3,3,3,3,3,3,3,1,3,3,3,1,3,3
WU29,0.266048602,0.122298354,0.6,4,1,3,WU266,WU58,WU317,WU470,WU398,WU160,WU809,WU861,WU181,WU878,WU459,WU964,WU49,WU133,6,1,3,7,5,5,7,1,0,2,3,7,2,7,3,3,3,1,3,3,2,3,3,3,3,2,3,0
WU30,0.136167679,-0.321807194,0.616161616,8,5,3,WU38,WU905,WU367,WU762,WU245,WU827,WU736,WU750,WU681,WU233,WU26,WU25,WU438,WU734,2,7,3,2,2,6,4,5,0,7,7,3,5,3,3,2,3,3,3,3,3,3,3,0,0,3,3,3
WU31,0.064266426,0.109584282,0.676190476,4,1,3,WU293,WU649,WU582,WU565,WU255,WU789,WU195,WU52,WU136,WU330,WU261,WU353,WU395,WU21,5,6,5,7,7,1,5,7,2,5,6,7,0,7,3,3,3,0,2,3,3,2,3,3,3,0,3,0
WU32,-0.329313143,0.130826799,0.582417582,5,2,3,WU365,WU647,WU74,WU784,WU105,WU891,WU391,WU389,WU597,WU449,WU313,WU666,WU53,WU441,3,3,7,7,1,1,5,1,2,4,7,7,1,2,3,3,2,0,3,3,3,3,3,3,2,1,3,3
WU33,0.237811772,-0.358247406,0.56043956,5,2,3,WU490,WU924,WU752,WU457,WU660,WU756,WU26,WU12,WU753,WU855,WU45,WU945,WU634,WU450,5,0,3,5,3,4,7,7,4,2,0,3,3,3,3,3,3,3,3,3,0,1,3,3,3,3,3,3
WU34,-0.211793196,-0.267762382,0.6,5,2,3,WU797,WU236,WU951,WU486,WU481,WU382,WU916,WU529,WU226,WU519,WU322,WU375,WU148,WU509,5,0,4,0,6,7,5,7,7,5,2,1,2,7,3,3,3,3,3,2,3,2,2,3,3,3,3,1
WU35,-0.217684349,0.101811003,0.613861386,6,3,3,WU849,WU410,WU826,WU625,WU357,WU441,WU327,WU823,WU573,WU401,WU313,WU422,WU324,WU155,3,6,3,3,1,2,1,3,7,7,7,7,5,4,3,3,3,3,3,3,3,3,2,0,2,2,3,3
WU36,-0.536076268,0.275173576,0.544444444,4,1,3,WU289,WU433,WU158,WU655,WU19,WU48,WU766,WU991,WU668,WU379,WU663,WU564,WU454,WU243,3,5,7,0,2,1,6,1,1,7,7,1,3,4,3,3,1,3,3,3,3,3,3,2,2,3,3,3
WU37,0.181845619,-0.15333237,0.62,7,4,3,WU890,WU813,WU967,WU482,WU982,WU83,WU601,WU359,WU514,WU611,WU22,WU466,WU285,WU777,4,6,1,6,7,2,6,2,2,1,6,1,7,7,3,3,3,3,1,3,3,3,3,3,3,3,0,1
WU38,0.148216379,-0.330441097,0.572916667,5,2,3,WU30,WU905,WU367,WU762,WU245,WU681,WU26,WU438,WU736,WU734,WU424,WU827,WU25,WU750,5,7,3,2,2,0,7,5,4,3,1,6,3,5,3,2,3,3,3,3,0,3,3,3,3,3,3,3
WU39,-0.04450519,-0.183929075,0.443037975,9,7,2,WU94,WU962,WU270,WU778,WU593,WU925,WU426,WU61,WU504,WU627,WU643,WU298,WU150,WU144,1,3,2,2,5,2,1,2,0,0,2,0,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU40,0.277014492,-0.150662523,0.523255814,4,1,3,WU895,WU279,WU824,WU886,WU360,WU652,WU96,WU708,WU673,WU258,WU570,WU543,WU877,WU359,0,7,7,2,5,4,1,3,3,2,2,4,2,2,3,0,2,3,3,3,3,3,3,3,3,3,3,3
WU41,-0.477241907,-0.468567619,0.538461538,5,2,3,WU614,WU770,WU930,WU282,WU448,WU669,WU976,WU933,WU98,WU346,WU476,WU903,WU638,WU702,6,3,2,1,3,3,4,5,7,2,5,5,1,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3
WU42,0.335605918,0.11508259,0.69,8,5,3,WU492,WU133,WU847,WU1000,WU550,WU806,WU648,WU411,WU587,WU470,WU461,WU623,WU531,WU264,5,7,0,3,7,1,7,2,5,7,7,7,0,6,3,0,3,3,1,3,0,3,3,1,1,1,3,3
WU43,-0.258474379,-0.164783022,0.631067961,6,3,3,WU149,WU275,WU403,WU852,WU205,WU775,WU644,WU15,WU297,WU509,WU382,WU742,WU226,WU773,1,4,1,5,7,2,7,6,2,7,7,2,7,4,3,3,3,3,2,3,1,3,3,1,2,3,2,3
WU44,-0.108475732,0.162933124,0.611111111,5,2,3,WU687,WU178,WU120,WU187,WU957,WU665,WU798,WU814,WU17,WU59,WU935,WU392,WU549,WU755,6,2,5,6,2,7,6,2,3,4,2,7,7,5,3,3,3,3,3,2,3,3,3,3,3,2,2,3
WU45,0.219881864,-0.433382155,0.464285714,3,0,3,WU457,WU756,WU752,WU490,WU33,WU296,WU945,WU568,WU986,WU681,WU424,WU753,WU727,WU646,5,4,3,5,2,1,3,5,5,0,1,4,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU46,8.59E-05,0.093478677,0.730769231,8,5,3,WU952,WU151,WU494,WU52,WU57,WU161,WU950,WU730,WU86,WU577,WU195,WU932,WU555,WU255,7,7,7,7,1,2,7,1,7,4,5,7,2,7,1,0,0,2,3,3,1,3,0,3,3,1,3,2
WU47,0.090366761,-0.19059022,0.56043956,6,3,3,WU771,WU207,WU975,WU672,WU884,WU693,WU97,WU990,WU169,WU213,WU174,WU763,WU349,WU184,6,7,5,2,3,2,2,3,6,1,2,0,2,7,3,0,3,3,3,3,3,3,3,3,3,3,3,1
WU48,-0.578451927,0.192715847,0.517647059,4,1,3,WU991,WU663,WU761,WU379,WU158,WU439,WU36,WU433,WU564,WU421,WU289,WU176,WU966,WU655,1,7,0,7,7,5,1,5,1,1,3,4,1,0,3,2,3,2,1,3,3,3,3,3,3,3,3,3
WU49,0.24657496,0.158937523,0.60952381,5,2,3,WU964,WU459,WU552,WU81,WU266,WU809,WU113,WU896,WU934,WU29,WU160,WU221,WU58,WU483,7,3,5,7,6,7,4,5,2,1,5,3,1,6,2,3,3,1,3,2,3,3,3,3,3,3,3,3
WU50,0.378476574,-0.102925193,0.52688172,6,3,3,WU923,WU332,WU717,WU254,WU684,WU524,WU508,WU768,WU63,WU837,WU130,WU546,WU114,WU502,1,5,6,7,1,6,3,1,0,3,2,2,6,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
WU51,0.182885683,0.414269596,0.536585366,3,0,3,WU70,WU971,WU390,WU759,WU825,WU620,WU79,WU135,WU291,WU383,WU694,WU405,WU102,WU366,7,7,0,0,2,7,0,0,4,7,3,4,1,2,2,0,3,3,3,2,3,3,3,1,3,3,3,3
WU52,0.026207303,0.107668169,0.706422018,9,7,2,WU195,WU565,WU952,WU255,WU46,WU577,WU494,WU151,WU293,WU649,WU555,WU31,WU261,WU730,5,7,7,7,5,4,7,7,5,6,2,1,6,1,3,0,1,2,3,3,0,0,3,3,3,3,3,3
WU53,-0.302362478,0.201576934,0.591836735,4,1,3,WU273,WU431,WU14,WU8,WU365,WU389,WU540,WU666,WU74,WU409,WU954,WU32,WU422,WU313,6,3,3,4,3,1,1,7,7,5,1,2,7,7,3,3,3,3,3,3,3,1,2,3,3,3,2,2
