ID,"Andúril, Flame of the West","Aragorn, Company Leader","Aragorn, the Uniter",Arwen Undómiel,Arwen's Gift,"Arwen, Mortal Queen",Bag End Porter,Banish from Edoras,Barad-dûr,Barrow-Blade,Battle-Scarred Goblin,Bewitching Leechcraft,"Bilbo, Retired Burglar","Bill Ferny, Bree Swindler",Bill the Pony,Birthday Escape,Bitter Downfall,Bombadil's Song,Book of Mazarbul,Borne Upon a Wind,"Boromir, Warden of the Tower",Brandywine Farmer,Breaking of the Fellowship,"Butterbur, Bree Innkeeper",Call of the Ring,Captain of Umbar,Cast into the Fire,Celeborn the Wise,Chance-Met Elves,Cirith Ungol Patrol,Claim the Precious,Council's Deliberation,Deceive the Messenger,Delighted Halfling,"Denethor, Ruling Steward",Display of Power,Doors of Durin,Dreadful as the Storm,Dunland Crebain,Dúnedain Blade,Dúnedain Rangers,Eagles of the North,East-Mark Cavalier,Easterling Vanguard,Eastfarthing Farmer,"Elrond, Lord of Rivendell","Elrond, Master of Healing",Elven Chorus,Elven Farsight,Enraged Huorn,Ent's Fury,Ent-Draught Basin,Entish Restoration,Erebor Flamesmith,"Erkenbrand, Lord of Westfold",Errand-Rider of Gondor,Escape from Orthanc,Esquire of the King,Fall of Cair Andros,Fall of Gil-galad,"Fangorn, Tree Shepherd","Faramir, Field Commander","Faramir, Prince of Ithilien","Fear, Fire, Foes!",Fiery Inscription,Fire of Orthanc,Flame of Anor,Flowering of the White Tree,Fog on the Barrow-Downs,Foray of Orcs,Forest,Forge Anew,Friendly Rivalry,Frodo Baggins,"Frodo, Sauron's Bane",Galadhrim Bow,Galadhrim Guide,Galadriel of Lothlórien,Gandalf the Grey,Gandalf the White,Gandalf's Sanction,"Gandalf, Friend of the Shire",Generous Ent,Gift of Strands,Gimli's Axe,Gimli's Fury,"Gimli, Counter of Kills","Gimli, Mournful Avenger",Glamdring,"Glorfindel, Dauntless Rescuer",Glorious Gale,"Glóin, Dwarf Emissary",Goblin Fireleaper,"Goldberry, River-Daughter",Gollum's Bite,"Gollum, Patient Plotter",Gorbag of Minas Morgul,"Gothmog, Morgul Lieutenant",Great Hall of the Citadel,Grey Havens Navigator,"Grishnákh, Brash Instigator","Grond, the Gatebreaker",Gríma Wormtongue,Gwaihir the Windlord,Haradrim Spearmaster,Haunt of the Dead Marshes,Hew the Entwood,Hithlain Knots,Hobbit's Sting,Horn of Gondor,Horn of the Mark,Horses of the Bruinen,Improvised Club,Inherited Envelope,Ioreth of the Healing House,Isildur's Fateful Strike,Island,Isolation at Orthanc,Ithilien Kingfisher,King of the Oathbreakers,Knights of Dol Amroth,"Landroval, Horizon Witness",Lash of the Balrog,Last March of the Ents,"Legolas, Counter of Kills","Legolas, Master Archer",Lembas,Lobelia Sackville-Baggins,Long List of the Ents,Lost Isle Calling,Lost to Legend,Lothlórien Lookout,"Lotho, Corrupt Shirriff",Lórien Revealed,Many Partings,March from the Black Gate,"Mauhúr, Uruk-hai Captain","Meneldor, Swift Savior",Meriadoc Brandybuck,"Merry, Esquire of Rohan",Minas Tirith,Mines of Moria,Mirkwood Bats,Mirkwood Spider,Mirror of Galadriel,Mirrormere Guardian,Mithril Coat,Mordor Muster,Mordor Trebuchet,Morgul-Knife Wound,Moria Marauder,Mount Doom,Mountain,Mushroom Watchdogs,Nasty End,Nazgûl,Nimble Hobbit,Nimrodel Watcher,"Now for Wrath, Now for Ruin!",Oath of the Grey Host,Old Man Willow,Oliphaunt,Olog-hai Crusher,One Ring to Rule Them All,Orcish Bowmasters,Orcish Medicine,Palantír of Orthanc,Pelargir Survivor,Peregrin Took,Phial of Galadriel,Pippin's Bravery,"Pippin, Guard of the Citadel",Plains,Press the Enemy,Prince Imrahil the Fair,Protector of Gondor,Quarrel's End,"Quickbeam, Upstart Ent",Radagast the Brown,Rally at the Hornburg,Ranger's Firebrand,Rangers of Ithilien,Relentless Rohirrim,Reprieve,Revive the Shire,Ringsight,Rise of the Witch-king,Rising of the Day,Rivendell,Rohirrim Lancer,Rosie Cotton of South Lane,Rush the Room,Sam's Desperate Rescue,Samwise Gamgee,Samwise the Stouthearted,Saruman of Many Colors,Saruman the White,Saruman's Trickery,Sauron's Ransom,"Sauron, the Dark Lord","Sauron, the Necromancer",Scroll of Isildur,Second Breakfast,Shadow Summoning,Shadow of the Enemy,"Shadowfax, Lord of Horses","Shagrat, Loot Bearer","Sharkey, Tyrant of the Shire",Shelob's Ambush,"Shelob, Child of Ungoliant",Shire Scarecrow,Shire Shirriff,Shire Terrace,Shortcut to Mushrooms,Shower of Arrows,Slip On the Ring,Smite the Deathless,"Sméagol, Helpful Guide",Snarling Warg,Soldier of the Grey Host,Soothing of Sméagol,Spiteful Banditry,Stalwarts of Osgiliath,Stern Scolding,Stew the Coneys,"Sting, the Glinting Dagger",Stone of Erech,Storm of Saruman,"Strider, Ranger of the North",Surrounded by Orcs,Swamp,Swarming of Moria,Tale of Tinúviel,"The Balrog, Durin's Bane",The Bath Song,The Battle of Bywater,The Black Breath,The Grey Havens,The Mouth of Sauron,The One Ring,The Ring Goes South,The Shire,The Torment of Gollum,The Watcher in the Water,There and Back Again,"Théoden, King of Rohan",Tom Bombadil,Took Reaper,Treason of Isengard,Troll of Khazad-dûm,Uglúk of the White Hand,Uruk-hai Berserker,Voracious Fell Beast,War of the Last Alliance,Warbeast of Gorgoroth,Westfold Rider,Willow-Wind,Witch-king of Angmar,Wizard's Rockets,Wose Pathfinder,You Cannot Pass!,Éomer of the Riddermark,"Éomer, Marshal of Rohan","Éowyn, Fearless Knight","Éowyn, Lady of Rohan",Dawn of a New Age
0050385ef87e4a9b99c0dce507c223de/0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005ba41069ee4d06ae8887b9178d9134/0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00607291e92f483bbab790e919c0f028/2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0072c3ad78ca4b51b1344134c13281d2/0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
00dbdae4e99a490ab108637d62c8a51c/0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
00f1f0b4f4ec48d889a4de915e3271d6/0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
00faff6258d7491b87d2c1687e03acdd/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0
01176ff778f542daa3c45be6f0ec4f97/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
014e82e1d9db4f91b0c75079cbea6750/0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01a8e92570364b5f9f5b04fcb8902e6c/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
