ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh0,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9
0050385ef87e4a9b99c0dce507c223de/0,0.038496045,0.12832117,0.560606061,8,7,1,19dc46ee4d944ae7b36c309905e07886/0,fce562b2bb9f4bb998e5af1b0a989257/0,ef335ed4e1a141149851024f8ddac7b4/0,4f52db0ca6ad47dbba0506e6860af16e/0,31028e6f0d1346cf807ffb97c47bb6de/0,9d2d3a0a9b994d1e87880bff39529f15/0,41c89d620a5f4fe3b034db82fa3b4a56/0,8f2924b0feff40fa8ce60e9a659f64fd/0,45f8f9aa2bf74716a7f3730ee02df7a5/0,527794aadd1d49898dcf624abb5a5797/0
005ba41069ee4d06ae8887b9178d9134/0,0.056054064,-0.017227594,0.615384615,9,7,2,9715d0ebba8048c5a0aad79d86001aaa/0,8608a65b85824de7b1d70e6408d92348/0,0ce720fb8c5e4f6b86b4d92c7a1e5e49/0,2ec9a60936b241a3b012cc8b760357c1/0,58f55cbcafea4ccd80b04e4c6f16792b/0,8b32e7748743440cb9ba67ca75d49817/0,3bc42be072fa404bb3a5477e6ad87c7e/0,c79dd09737f640e89fef7c2539df029e/0,608cf9a1a8794047aa15b59c3678c546/0,f94636ca3411472fba639f054529fffc/0
00607291e92f483bbab790e919c0f028/2,-0.110009457,0.129475222,0.5625,6,3,3,2d1a66b5f8d44e09bdd3aaa032dc8ac0/0,f7bba2c29bdd47a8850429e954416198/0,ff9edb551fd1487c8448c429cc216d1d/0,7e132748c33f4903bd45c964c4c8a551/0,6de5d40a4bc54f69b864990f5b04c42e/0,1fe24e2f59c74e7a8de342bafb503d9d/0,b87bf332f2a24f408ed9fc24f22cc89c/0,e7e67ffde17b4f37a74ff8e00c0378cb/0,ffd2237c4c684d7a8eba7f8b5d95dcd1/0,c0b08ac6483b4771a77bfec1fa9c279d/0
0072c3ad78ca4b51b1344134c13281d2/0,0.067680934,0.169146911,0.657894737,6,3,3,3f7f1d9a49cc4755b1bafa869e31912d/0,8f2924b0feff40fa8ce60e9a659f64fd/0,31028e6f0d1346cf807ffb97c47bb6de/0,1db60d2aa5a9466fb04940530c041da2/0,23f81d88c5e54399a12bc674cba3352c/0,8e430c9b0c494aafbdb3f6a3c27ccfe2/1,83cd8820ee1a49239487303d14416a77/0,45f8f9aa2bf74716a7f3730ee02df7a5/0,ebfd953cab684555a2c908af8168721b/0,21378f0cb4084ce98e289b82d26567a1/0
00dbdae4e99a490ab108637d62c8a51c/0,-0.062630191,-0.202445229,0.553846154,8,7,1,8ffdfe3758af4e708f617aabd13fb97f/0,1d07d89a7bd0424a96ffec37469d99d2/0,c85b4322138743feb38cb7e0dc82e0d7/0,d5d2b8a8fb5c4adbb1fab0e04dacb9a3/0,dd4a35bfa664452c999a40a8903b7f78/0,51ebafc5e1c344d28b52ef25e8353c04/0,4da0bc2eca374e47a2dd8ec32371a1c0/0,963f91c833274e31ac73d4d4ce222603/0,3ea2c45522ed4b78b6e7cda02aab24df/0,e9dadaa6936844b68bee25f074ab7bdf/0
00f1f0b4f4ec48d889a4de915e3271d6/0,-0.27119294,0.178531292,0.524590164,9,7,2,a189185d4436432ab86741e27df64b4b/0,02aee2d4d24240e7a125dac96a8c3891/0,2fd3790c98ef4a73ab99c186b5822845/0,5d608147c6e0488ebabd29417e078cbd/0,10a254434a0748f68f031837308e4428/0,df70287e7f6a459784e60106823053ac/0,726afef259964747bda6234dc3ec8040/0,a817543d4e1942b2ade7a1b8ec276f5e/0,542bfa58972d439c9d4bca08c33b64e7/0,2fe84e51dc2e4feeaaa74bfa8970432f/0
00faff6258d7491b87d2c1687e03acdd/0,0.193778206,0.026988545,0.59375,6,3,3,79e6e493932a4d8eb4aac8b7f3e67c84/0,4acbb49f1e824bf3a7217cb3996813b1/0,a7632d5f6389457f98af099b4d39af60/0,1b6435b1a44b4c44a9c58aac589f0440/0,9a74d6cc017b41968a3a4663065530f3/0,e6ce1bc87377454d8f8aba0c518efa12/1,957bff6ce3a04c168111d4937d3f031d/0,bd9edb637066466991c7abf2122989f8/0,1cb49a1569494116ba3218361d64b4e8/0,8bf00ae1e2dc4b2f90e1f3a4c51471e6/0
01176ff778f542daa3c45be6f0ec4f97/0,-0.093978375,-0.076117946,0.611111111,4,1,3,a7f67204f01247c4975c7f3ad0099cb5/0,448243b6f0aa44d6a1dee1cc7e6dff6e/0,1e7ccb6ad9c94a5394abf7017c6bf4ba/0,a84a9829baf741a387180cd75481f374/0,5bb8a5b33a2146c6b85a1f409fe6aad1/0,2d3e9b2f7e394ba7911c536880e340c3/0,35258659c85e40fba340d04cf4412263/0,2370ca667fec4f49915264ea4d8eaa5f/0,d3e174c5e0994de9bbcb20b3278048da/0,7db27e2cde244bc7b3a9d2d3cf3d4fd8/0
014e82e1d9db4f91b0c75079cbea6750/0,-0.062347277,0.008885785,0.597014925,8,5,3,6eb223d428394c11ae387a8e6a58d38b/0,16bee54adbcb453f8280422014041f04/0,73527fc705334b41b7f0e57a6bf491ba/0,be084ef5cb78469da44692030dc4e5e0/0,043dc5144a064e1b8c4ce01297369891/0,27c9f70c24c8478082b90d8c099cecde/0,19bdd422cda5403cae68af7b87eac100/0,9d1f161926e944818b467eec4ec7868e/0,6462ff6ae2cf4cfb8ae86975f0aa73f2/0,506047a1095042ad893c74fb0157a924/0
01a8e92570364b5f9f5b04fcb8902e6c/0,0.192537856,-0.394633598,0.545454545,5,2,3,15b43c15c30f417c8f2607cb45e4992b/0,ecbe8645d6524a0097e14f0b5cebcf10/0,9d8fe10f0cd049cfa06ecfe5b193f247/0,f53f71dca68c4c27970234c473f1f70d/0,3de658610e6643e6aae323020acf8dd3/0,5e56f868ebd24a169f1a4a9265987c9e/0,b474c06e493b4d88b29fd09917d6f8db/0,4f5d51dc474545b084d7bbe0bc64449e/0,986df31a795b4c65b56f5a72c09523c7/0,43213d7768734b7d89d4305eda41f022/0
01b593c1eae84ba8a5d3dccb83dadeaf/0,0.160541209,0.310064284,0.606060606,5,2,3,564f0eacee4547d6ab98a4bf450b8e2c/0,66d9266b745042ec859ba96a57f48f38/0,2a3a3a33aa8440f48061c118dee281a7/0,90d6399b898a4204abf228adde80b64d/0,cb99194d4f374614bea2faa4becec3e0/0,cd50fb7a17d04da5b65478f109c804a2/0,2989e120a1ea4bd798badb2ac3ef0972/0,6e127a48274b4a70be63dbc6ac6ca7b9/0,1cfa68ff9f73446eb00f298c8ea42210/0,07a3af10d2e447d7b09f005b1796cd26/0
01c04d17a4184778b5ade58832e3a9ab/0,-0.005147483,0.041491477,0.569230769,9,6,3,85d0da217d97432f8fb68614a2931c8b/0,971bf6f5c1404ef2967d37f1e0a242ce/0,24a953fb06f24e58b5afbf74d41ba1d1/0,c72c9583c57e4e049b79a9d94de09e5b/0,b80a6d48b5994559b75ca42da401e392/0,e498947f873748439420b5675146a501/0,87da512f16b048f5ac4a8df2d380b32a/0,b72eb8b85f7a4dac87e2fab973d2f110/0,4a342c172b3c404ca6c0104cac934124/1,f7bccfa05d60428ca53eb9e714452074/1
01ef80a565634fddb82fbdda8291d469/0,-0.133491332,0.32276818,0.625,9,6,3,54a08f36c9734e32956f14cbfe2b44c8/0,c405e3bf855e40f3a7eb76a32e7d5ee0/0,b6743750aeb9473dadc25217ecd9ea77/0,b7c36164b7a34b8b976f4c01dcdc422c/0,e2e3ccda6bea41eda5b3074ab39ba63c/0,fb71f0499a174a84883b107578567dc0/0,38b5334c773e4a71802ea5cc1dcd5ef4/0,b193416a4d0d48a4a4508750aeed1932/0,9afb63b23bac433c9d3289a68569ad5b/1,979230b43cf34415bfc8712ad7bb734a/0
020f915eadf44a76baf444782c24a69a/0,0.201936225,0.262740981,0.538461538,7,4,3,6e127a48274b4a70be63dbc6ac6ca7b9/0,8d10be0bb62c4066817d5de779f8167a/0,2989e120a1ea4bd798badb2ac3ef0972/0,66b9ede3ced848b99ffee04d4d1fc713/0,90d6399b898a4204abf228adde80b64d/0,c1bd67d5cca149e19fdc7d23cd6ee9ca/0,30a04b22e546418596ec9ab547c2023c/0,603eadec93564c2385e74bf35aab60b6/0,66d9266b745042ec859ba96a57f48f38/0,79ebed7147de4448a835d91cdff89d8b/1
02139e1e15444476abc6dc240faa47fb/0,0.022243448,-0.192361482,0.482758621,6,3,3,e3e0524eaef14487ac41332348fe88f9/0,b67376bc16824f3b805987b11cdc82f7/0,0dce105d13b5423094cd9cf5d39b061f/0,05ff04f9ab2142eaba80502ac8a4ce4a/0,5babdcdfa77f4cabafb987b6bbaef832/0,adbe5a00571b40b89b083cde8b6c69c0/0,b1403ab3a7a34445a3cf78f409c0457d/0,058a8386189046c084808628785a0058/0,b5535660ba3b4438b361dd23e3def3f7/0,c5ef7c07ffd04735bb864fa2db34f5da/0
025b1f7ba32040bf8b496d327c3cdb48/0,0.193659651,-0.05926555,0.6,3,0,3,e35480fc30f442758a37212be008fd11/0,92a88e2ca7e342c08ee96e0ce6fea1a7/0,0b523c5a8c044e6a93b924f271cea3f4/0,453efcdb035b428da2eec9a3c4a5b9c8/0,a66d6973216548d98ebd34e0407abbd1/0,64979f22bd344b73867f2ac20d74d5e2/0,1b5ddbd9f8314bb7b02889e95b6b1a4f/0,06d9fbce97e0465f82983fcc99e0bf92/0,a737c07342d744bda476b55e06343177/0,9d36d59937954c3f868a5dbea6765aad/0
02aee2d4d24240e7a125dac96a8c3891/0,-0.288796418,0.183298489,0.569230769,6,3,3,00f1f0b4f4ec48d889a4de915e3271d6/0,726afef259964747bda6234dc3ec8040/0,2fe84e51dc2e4feeaaa74bfa8970432f/0,a189185d4436432ab86741e27df64b4b/0,5d608147c6e0488ebabd29417e078cbd/0,1599d83c4bbc479f96b2757febb62ef7/1,2fd3790c98ef4a73ab99c186b5822845/0,a817543d4e1942b2ade7a1b8ec276f5e/0,df70287e7f6a459784e60106823053ac/0,ddd2417e2fe34bf7ba3183852431089d/0
02f3aa43b69a40788176fe2d1b5982e5/0,0.319443514,-0.056297072,0.548387097,7,4,3,9dd7b30966a04929a1ec1c23f4104bd2/0,2088f820700442daa95e90a968043a70/0,56e72988e1f744eaba8e0b71a3a1021a/0,b8a10b91863b45acb0d89ccf119a6bad/0,41e38237dc5644fe9e1c7d6884de18c2/0,a99fa9a03da4409fa406cf0bf93dd1fc/0,736b0369061e45aeb7bcac9a992a6878/0,31103a3049144fb6a014e672b8b4c23e/0,54baa51a621a4757afff189e70381b06/0,69d8ba7d8c27422ca8884507d43c0815/0
033281bab97c456b860c40d462db5f60/0,-0.235995119,0.087616931,0.681818182,7,7,0,96f11c8819454a96bb29cd1a6d788e1c/0,80620b2938c244a9b05010d3162e69ab/0,71e7ec78e78b4461b3373e5ac7096ea8/0,34baf5c31f75438ea4a9a722b8d535ac/0,18658c8ece94430eb33d7041bc80a5ce/0,344a68c70c744615b297c10b08dce607/0,3d396ecbc3194924ae69a0f0dd013a05/0,dae837161f5149f3bba6afb4da6a763c/0,20b0787fff864bd4b555f9c7f216dc1c/0,1181d259f5f443cf9258f2f01f545943/1
