ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
X4C1,-0.206111302,0.18162814,0.535087719,4,1,3,X4C1743,X4C1747,X4C1004,X4C842,X4C1006,X4C1756,X4C1268,X4C774,X4C326,X4C1488,X4C1623,X4C830,X4C1878,X4C1339,X4C1753,X4C298,X4C1354,X4C1592,X4C1040,1,1,1,2,1,3,6,7,6,2,4,2,4,3,0,7,2,1,7,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,1,3,3,1
X4C2,0.271085306,-0.20514833,0.5,4,1,3,X4C1536,X4C569,X4C618,X4C1823,X4C1294,X4C372,X4C1793,X4C1036,X4C512,X4C1565,X4C1764,X4C808,X4C1297,X4C1820,X4C769,X4C457,X4C1973,X4C364,X4C1285,1,0,2,0,4,3,3,7,0,2,5,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3
X4C3,-0.034570786,-0.294556529,0.53968254,4,1,3,X4C1333,X4C1600,X4C1789,X4C1432,X4C369,X4C1370,X4C1518,X4C932,X4C1031,X4C135,X4C712,X4C814,X4C1531,X4C1360,X4C1712,X4C1618,X4C1571,X4C621,X4C584,2,2,4,7,4,6,1,1,6,3,2,7,4,2,4,1,3,5,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
X4C4,0.026002127,0.042552038,0.561538462,3,0,3,X4C1847,X4C274,X4C334,X4C900,X4C727,X4C1638,X4C1867,X4C1239,X4C1852,X4C434,X4C424,X4C1625,X4C1305,X4C1890,X4C1460,X4C1406,X4C1032,X4C549,X4C56,6,3,5,2,7,2,5,3,1,6,1,1,5,1,3,7,4,6,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3
X4C5,-0.138332287,0.039069191,0.578947368,8,5,3,X4C1243,X4C1241,X4C1684,X4C341,X4C711,X4C958,X4C1383,X4C46,X4C682,X4C1366,X4C197,X4C936,X4C1404,X4C566,X4C187,X4C1202,X4C878,X4C1417,X4C1598,4,7,5,4,5,5,5,0,0,3,7,4,7,5,0,1,2,5,3,3,2,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,3,3
X4C6,0.175136889,-0.105990575,0.533898305,7,4,3,X4C1384,X4C597,X4C1332,X4C1680,X4C247,X4C1223,X4C1153,X4C1702,X4C1689,X4C1379,X4C616,X4C1306,X4C1636,X4C801,X4C1588,X4C754,X4C1806,X4C432,X4C922,2,7,7,0,2,4,0,1,1,3,5,1,2,1,3,1,5,7,7,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
X4C7,0.099274303,0.050132416,0.611940299,6,3,3,X4C1568,X4C1546,X4C1944,X4C1917,X4C893,X4C1198,X4C1403,X4C1812,X4C99,X4C393,X4C294,X4C1770,X4C928,X4C360,X4C1801,X4C211,X4C1915,X4C1028,X4C865,7,6,7,1,3,1,5,5,0,2,2,7,4,6,5,4,5,7,2,1,3,1,3,3,3,3,3,3,3,3,0,3,3,3,3,3,2,3
X4C8,0.050759601,0.245662719,0.545454545,5,2,3,X4C517,X4C550,X4C1550,X4C338,X4C1182,X4C1053,X4C1959,X4C554,X4C714,X4C1543,X4C1171,X4C1397,X4C876,X4C418,X4C1705,X4C1216,X4C283,X4C1205,X4C1013,7,2,3,3,5,2,0,7,2,2,2,6,4,3,0,4,2,3,7,2,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,2
X4C9,-0.380516712,-0.153799108,0.486486486,4,1,3,X4C272,X4C19,X4C1288,X4C888,X4C1583,X4C1310,X4C1341,X4C1439,X4C81,X4C71,X4C813,X4C1891,X4C1976,X4C327,X4C1215,X4C122,X4C1387,X4C931,X4C771,1,1,2,6,4,0,7,0,3,0,3,2,1,1,3,3,7,6,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3
X4C10,0.103453832,0.180922,0.533333333,8,5,3,X4C1688,X4C541,X4C431,X4C1717,X4C1056,X4C630,X4C514,X4C1921,X4C1468,X4C450,X4C1030,X4C1434,X4C521,X4C807,X4C1062,X4C1094,X4C1343,X4C1836,X4C1563,4,5,0,3,1,2,1,0,5,0,5,4,7,1,1,6,7,7,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1,3
X4C11,0.097594847,-0.033171747,0.532786885,8,5,3,X4C1435,X4C1669,X4C460,X4C286,X4C467,X4C498,X4C90,X4C366,X4C756,X4C256,X4C1449,X4C1348,X4C1606,X4C1510,X4C1826,X4C1912,X4C1466,X4C505,X4C1220,2,7,3,7,5,2,0,5,1,5,3,5,3,6,4,0,1,0,1,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
X4C12,0.269144526,0.139849481,0.473684211,7,4,3,X4C1700,X4C1922,X4C70,X4C1269,X4C795,X4C892,X4C1109,X4C997,X4C1334,X4C772,X4C1954,X4C636,X4C1730,X4C333,X4C1777,X4C839,X4C579,X4C395,X4C600,3,3,1,2,4,1,4,5,5,3,2,1,2,4,4,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
X4C13,0.309477118,0.146214541,0.561538462,7,4,3,X4C110,X4C1267,X4C997,X4C855,X4C1178,X4C310,X4C1825,X4C1783,X4C1269,X4C296,X4C1109,X4C1895,X4C772,X4C1700,X4C1219,X4C1016,X4C422,X4C1922,X4C1706,3,4,5,1,2,5,5,7,2,2,4,2,3,3,7,6,4,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3
