ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BG1,-0.009884409,0.034801156,0.619402985,6,3,3,BG409,BG55,BG990,BG220,BG112,BG136,BG110,BG57,BG357,BG340,BG792,BG325,BG101,BG287,BG761,BG393,BG312,BG592,BG448,6,2,4,3,7,7,2,3,6,7,3,6,7,1,0,7,2,3,4,3,3,3,3,2,1,3,3,3,1,3,3,2,3,3,0,3,3,3
BG2,-0.210279192,-0.274719442,0.5,5,2,3,BG605,BG886,BG733,BG498,BG675,BG986,BG549,BG349,BG232,BG877,BG729,BG993,BG358,BG294,BG981,BG426,BG714,BG28,BG955,1,0,1,4,4,1,2,2,2,0,5,4,5,3,2,4,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
BG3,-0.334278687,0.137898895,0.533898305,5,2,3,BG230,BG423,BG670,BG383,BG198,BG706,BG117,BG424,BG387,BG168,BG350,BG695,BG927,BG238,BG77,BG406,BG38,BG292,BG15,7,0,3,6,5,2,7,2,4,2,6,1,7,1,1,0,2,2,3,2,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3
BG4,-0.213258562,-0.000949286,0.544,9,6,3,BG859,BG866,BG478,BG705,BG121,BG734,BG538,BG92,BG895,BG285,BG507,BG410,BG319,BG992,BG364,BG830,BG677,BG100,BG205,4,4,7,3,3,2,1,5,4,3,0,1,5,1,4,1,2,7,5,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
BG5,-0.263117497,-0.044831653,0.555555556,3,0,3,BG898,BG21,BG265,BG453,BG684,BG885,BG718,BG673,BG404,BG895,BG824,BG613,BG252,BG583,BG319,BG121,BG830,BG205,BG866,0,4,7,1,3,1,7,0,7,4,3,0,7,3,5,3,1,5,4,3,3,2,3,3,3,1,3,0,3,3,3,1,3,3,3,3,3,3
BG6,0.025036297,0.127743529,0.566929134,7,4,3,BG693,BG917,BG524,BG586,BG926,BG691,BG63,BG940,BG273,BG968,BG160,BG532,BG720,BG551,BG400,BG761,BG418,BG608,BG519,3,4,4,2,3,7,7,3,1,4,0,4,7,1,7,0,5,1,5,3,3,3,3,3,2,2,3,3,3,3,3,1,3,2,3,3,3,3
BG7,0.414788591,0.035074717,0.47706422,8,5,3,BG227,BG833,BG440,BG619,BG254,BG731,BG496,BG784,BG282,BG867,BG120,BG308,BG878,BG935,BG11,BG46,BG464,BG344,BG479,3,1,0,3,3,2,4,2,2,7,3,3,1,7,2,1,0,3,0,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3
BG8,0.112157128,-0.317668434,0.504273504,8,5,3,BG726,BG89,BG929,BG826,BG780,BG90,BG800,BG692,BG966,BG79,BG971,BG616,BG508,BG222,BG864,BG141,BG789,BG66,BG941,0,5,4,0,2,6,0,1,5,2,4,1,2,5,5,2,2,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
BG9,-0.046093274,0.231952219,0.508474576,9,6,3,BG115,BG915,BG614,BG775,BG801,BG827,BG304,BG237,BG335,BG486,BG354,BG415,BG407,BG848,BG893,BG778,BG805,BG725,BG900,3,2,5,3,5,0,2,6,0,1,7,3,0,1,1,4,1,7,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3
BG10,0.067770824,-0.143870642,0.580645161,8,7,1,BG142,BG12,BG571,BG863,BG267,BG157,BG296,BG812,BG757,BG351,BG545,BG696,BG752,BG750,BG542,BG541,BG52,BG661,BG288,3,1,2,2,1,2,7,4,7,2,3,6,2,5,4,7,4,3,0,3,3,3,3,3,3,1,3,0,3,3,3,3,3,3,2,3,3,3
BG11,0.342883998,0.074789559,0.504424779,5,2,3,BG159,BG342,BG869,BG282,BG344,BG935,BG443,BG254,BG102,BG308,BG496,BG976,BG785,BG367,BG479,BG867,BG731,BG543,BG633,6,1,5,2,3,7,0,3,1,3,4,2,7,0,0,7,2,1,1,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,2,3,3,3
BG12,0.050003531,-0.1496567,0.534482759,4,1,3,BG863,BG142,BG10,BG545,BG157,BG661,BG542,BG351,BG296,BG288,BG571,BG267,BG625,BG753,BG52,BG752,BG228,BG820,BG564,2,3,7,3,2,3,4,2,7,0,2,1,3,2,4,2,7,4,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3
BG13,-0.229733078,-0.134484322,0.52991453,9,6,3,BG378,BG743,BG843,BG958,BG567,BG687,BG87,BG334,BG518,BG887,BG24,BG30,BG374,BG301,BG922,BG566,BG236,BG842,BG193,1,7,2,1,3,4,2,1,4,1,4,4,0,7,1,2,7,4,1,3,0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3
BG14,-0.010125536,-0.233417336,0.597014925,6,3,3,BG709,BG811,BG44,BG581,BG314,BG199,BG796,BG62,BG321,BG253,BG999,BG819,BG73,BG444,BG70,BG64,BG932,BG840,BG531,2,0,7,7,1,3,3,4,6,5,7,1,2,5,4,3,5,5,7,3,3,2,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2
BG15,-0.384701101,0.098266184,0.55,6,3,3,BG406,BG346,BG481,BG283,BG77,BG424,BG230,BG219,BG178,BG198,BG472,BG168,BG3,BG578,BG350,BG383,BG423,BG117,BG883,0,2,7,2,1,2,7,1,2,5,2,2,2,7,6,6,0,7,2,3,3,2,3,3,3,2,3,3,3,3,3,3,1,3,3,3,1,3
BG16,-0.174277981,-0.118176795,0.554621849,6,3,3,BG236,BG756,BG466,BG922,BG439,BG996,BG887,BG302,BG152,BG759,BG743,BG281,BG843,BG974,BG566,BG213,BG30,BG276,BG378,7,5,5,1,2,4,1,0,2,7,7,5,2,5,2,2,4,1,1,2,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3
BG17,-0.122146281,-0.189532986,0.559322034,5,2,3,BG668,BG58,BG555,BG173,BG680,BG307,BG177,BG973,BG522,BG618,BG200,BG251,BG836,BG145,BG516,BG259,BG906,BG908,BG39,3,2,7,0,3,5,7,2,5,1,3,3,7,4,7,1,2,2,0,3,3,1,3,3,3,1,3,3,3,3,3,1,3,1,3,3,3,3
BG18,-0.062672198,-0.232002048,0.580152672,4,1,3,BG70,BG999,BG271,BG261,BG253,BG554,BG908,BG581,BG200,BG321,BG788,BG995,BG54,BG62,BG652,BG796,BG811,BG251,BG173,4,7,7,4,5,3,2,7,3,6,1,6,5,4,5,3,0,3,0,3,1,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
BG19,-0.090622901,-0.368576882,0.556451613,6,3,3,BG985,BG343,BG964,BG945,BG223,BG749,BG872,BG735,BG909,BG249,BG856,BG311,BG363,BG384,BG744,BG659,BG500,BG27,BG523,7,2,1,5,3,7,3,1,3,0,3,5,7,0,7,2,4,4,2,2,3,3,3,3,1,3,3,3,3,3,3,2,3,2,3,3,3,3
BG20,0.112069449,0.181350616,0.556451613,3,0,3,BG61,BG829,BG506,BG467,BG215,BG907,BG730,BG593,BG849,BG809,BG998,BG245,BG45,BG264,BG640,BG803,BG658,BG454,BG701,1,2,2,2,4,6,3,7,7,5,4,2,1,5,4,1,1,7,5,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,0,3
BG21,-0.259518136,-0.032647895,0.550847458,7,4,3,BG5,BG885,BG898,BG265,BG718,BG895,BG453,BG684,BG613,BG830,BG121,BG319,BG866,BG824,BG705,BG673,BG404,BG205,BG815,0,1,0,7,7,4,1,3,0,1,3,5,4,3,3,0,7,5,7,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,0,3,2
BG22,-0.135764923,0.243656356,0.5,3,0,3,BG960,BG385,BG600,BG604,BG556,BG493,BG495,BG679,BG347,BG848,BG765,BG622,BG459,BG810,BG474,BG874,BG678,BG335,BG315,3,3,3,3,4,5,1,4,5,1,5,5,0,1,3,2,6,0,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG23,-0.039975549,0.167498835,0.536585366,7,4,3,BG25,BG82,BG798,BG551,BG336,BG775,BG805,BG304,BG608,BG801,BG926,BG504,BG524,BG485,BG94,BG155,BG221,BG237,BG115,5,3,3,1,7,3,1,2,1,5,3,5,4,2,7,1,0,6,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3
BG24,-0.266879345,-0.118261112,0.541666667,7,4,3,BG53,BG584,BG567,BG87,BG583,BG920,BG252,BG958,BG13,BG673,BG746,BG378,BG392,BG687,BG843,BG791,BG518,BG109,BG374,7,6,3,2,3,1,7,1,6,0,2,1,4,4,2,7,4,1,0,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3
BG25,-0.041996237,0.173011443,0.512396694,8,5,3,BG23,BG82,BG798,BG775,BG551,BG336,BG805,BG304,BG801,BG608,BG504,BG115,BG237,BG221,BG155,BG524,BG485,BG926,BG415,4,3,3,3,1,7,1,2,5,1,5,3,6,0,1,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
BG26,0.305184743,-0.238934565,0.5625,7,4,3,BG274,BG645,BG656,BG559,BG187,BG967,BG943,BG51,BG772,BG360,BG537,BG345,BG711,BG865,BG722,BG807,BG901,BG748,BG72,2,7,2,6,2,1,1,3,7,2,0,5,3,5,5,2,6,4,5,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3
BG27,-0.124464161,-0.297667202,0.608695652,7,4,3,BG523,BG638,BG764,BG909,BG749,BG659,BG714,BG652,BG729,BG196,BG358,BG363,BG498,BG872,BG500,BG554,BG232,BG426,BG54,2,7,4,3,7,2,6,5,5,2,5,7,4,3,4,3,2,4,5,3,0,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3
BG28,-0.208772249,-0.212044138,0.534482759,8,7,1,BG294,BG388,BG955,BG229,BG313,BG675,BG841,BG301,BG349,BG241,BG886,BG477,BG733,BG906,BG257,BG145,BG993,BG986,BG334,3,0,3,2,4,4,7,7,2,5,0,4,1,2,1,4,4,1,1,3,3,3,3,3,3,0,2,3,3,3,3,3,3,3,3,3,3,3
BG29,0.159545893,0.099972988,0.607142857,9,6,3,BG355,BG375,BG620,BG646,BG991,BG43,BG550,BG379,BG119,BG262,BG626,BG970,BG126,BG116,BG264,BG930,BG42,BG65,BG431,6,5,4,7,7,2,1,1,4,1,5,7,0,5,5,6,3,5,5,3,3,3,2,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3
BG30,-0.21480935,-0.096445516,0.546218487,7,4,3,BG374,BG887,BG842,BG213,BG281,BG843,BG922,BG492,BG378,BG743,BG682,BG567,BG252,BG824,BG302,BG13,BG91,BG236,BG205,0,1,4,2,5,2,1,1,1,7,3,3,7,3,0,6,3,7,5,3,3,3,3,3,3,3,3,3,0,3,3,1,3,3,3,3,2,3
BG31,0.335558701,0.327719533,0.415841584,5,2,3,BG835,BG284,BG773,BG499,BG948,BG243,BG401,BG348,BG913,BG558,BG910,BG218,BG95,BG189,BG667,BG167,BG561,BG582,BG774,3,2,0,2,2,3,7,0,0,0,1,1,2,4,5,3,4,0,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
BG32,0.146581256,-0.104190438,0.581395349,9,7,2,BG959,BG871,BG372,BG272,BG105,BG598,BG338,BG984,BG161,BG127,BG933,BG736,BG818,BG148,BG799,BG428,BG812,BG381,BG156,4,4,7,6,0,2,6,0,5,2,0,3,3,5,7,6,4,4,0,3,3,1,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3
BG33,-0.356490113,-0.080038846,0.578512397,3,0,3,BG210,BG489,BG422,BG552,BG175,BG594,BG438,BG248,BG104,BG690,BG642,BG946,BG920,BG791,BG404,BG983,BG392,BG435,BG505,6,6,5,1,0,2,2,2,1,2,7,3,1,7,7,7,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,0,0,3,3,3
BG34,0.269131056,0.098038078,0.572580645,7,7,0,BG599,BG739,BG847,BG855,BG976,BG904,BG633,BG576,BG102,BG116,BG785,BG342,BG978,BG65,BG443,BG539,BG875,BG386,BG869,4,4,2,5,2,7,1,4,1,5,7,1,2,5,0,7,2,0,5,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,2,3,3,3
BG35,-0.098644178,0.129753765,0.634328358,9,7,2,BG628,BG155,BG485,BG647,BG172,BG794,BG289,BG94,BG766,BG395,BG235,BG650,BG902,BG798,BG336,BG723,BG504,BG96,BG260,3,1,2,7,3,2,7,7,1,3,2,5,7,3,7,0,5,7,6,3,3,3,2,3,3,1,1,3,3,3,3,2,3,2,3,3,0,3
BG36,0.063754645,0.297164322,0.595419847,6,3,3,BG396,BG758,BG962,BG352,BG329,BG332,BG911,BG206,BG892,BG858,BG672,BG382,BG242,BG183,BG278,BG197,BG309,BG503,BG512,3,1,4,7,5,7,2,4,1,3,7,2,4,5,6,3,4,4,3,3,3,3,1,3,0,3,3,3,3,1,3,3,3,3,3,3,3,3
BG37,-0.291140745,0.247997049,0.6015625,6,3,3,BG987,BG456,BG724,BG391,BG912,BG234,BG510,BG359,BG293,BG572,BG256,BG804,BG914,BG927,BG936,BG238,BG700,BG997,BG290,0,3,1,0,7,2,4,7,4,6,4,7,7,7,7,1,2,2,3,3,3,3,3,2,3,3,1,3,3,3,1,2,1,2,3,3,3,3
BG38,-0.291205425,0.093214637,0.520661157,5,2,3,BG883,BG666,BG350,BG117,BG546,BG370,BG224,BG198,BG706,BG424,BG263,BG695,BG557,BG134,BG472,BG387,BG596,BG219,BG303,2,3,6,7,2,3,4,5,2,2,2,1,3,6,2,4,2,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG39,-0.078907174,-0.162988982,0.601626016,3,0,3,BG259,BG516,BG836,BG698,BG715,BG697,BG972,BG973,BG643,BG588,BG555,BG522,BG908,BG200,BG173,BG603,BG455,BG186,BG788,1,7,7,2,4,7,5,2,1,7,7,5,2,3,0,6,0,7,1,3,1,1,3,3,2,3,3,3,2,1,3,3,3,3,3,3,0,3
BG40,-0.101876205,0.330318611,0.537190083,6,3,3,BG589,BG950,BG322,BG874,BG678,BG361,BG420,BG636,BG166,BG741,BG721,BG679,BG893,BG470,BG459,BG604,BG486,BG318,BG182,3,2,6,2,6,1,7,2,2,6,3,4,1,7,0,3,1,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,2,3,3,3,3,3
BG41,0.182669958,-0.368923357,0.462264151,7,4,3,BG511,BG482,BG169,BG535,BG616,BG141,BG828,BG49,BG826,BG881,BG397,BG929,BG800,BG921,BG8,BG270,BG808,BG966,BG726,2,4,4,1,1,2,1,0,0,0,7,4,0,1,5,1,7,5,0,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3
BG42,0.189701778,0.056429635,0.576642336,6,3,3,BG262,BG306,BG43,BG534,BG431,BG876,BG129,BG375,BG896,BG626,BG646,BG620,BG717,BG116,BG29,BG355,BG875,BG851,BG816,1,6,2,6,5,7,3,5,2,5,7,4,1,5,6,6,2,0,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3
BG43,0.185493896,0.081961634,0.611111111,5,2,3,BG646,BG375,BG42,BG262,BG355,BG29,BG116,BG620,BG65,BG550,BG431,BG306,BG534,BG876,BG626,BG379,BG386,BG991,BG930,7,5,3,1,6,6,5,4,5,1,5,6,6,7,5,1,0,7,6,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3
BG44,-0.015368173,-0.207390229,0.607407407,9,7,2,BG62,BG321,BG199,BG253,BG531,BG14,BG444,BG788,BG403,BG502,BG709,BG588,BG753,BG581,BG228,BG888,BG70,BG811,BG564,4,6,3,5,7,3,5,1,4,2,2,7,2,7,7,3,4,0,3,3,3,3,3,2,3,3,3,3,3,3,2,3,1,1,3,3,3,3
BG45,0.115912611,0.224416585,0.553719008,4,1,3,BG640,BG658,BG309,BG829,BG669,BG503,BG467,BG331,BG20,BG998,BG730,BG672,BG61,BG332,BG728,BG204,BG506,BG183,BG651,4,1,4,2,4,4,2,3,0,4,3,7,1,7,7,1,2,5,5,3,3,3,3,3,3,3,3,3,3,3,1,3,0,2,3,3,3,3
BG46,0.460550724,-0.035194057,0.432692308,4,1,3,BG56,BG399,BG832,BG833,BG440,BG227,BG286,BG7,BG619,BG657,BG878,BG209,BG323,BG162,BG120,BG320,BG501,BG787,BG731,0,5,0,1,0,3,4,5,3,1,1,3,7,1,3,1,0,4,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
BG47,0.056693574,-0.258820397,0.49137931,7,4,3,BG837,BG615,BG789,BG864,BG64,BG445,BG840,BG941,BG648,BG932,BG553,BG314,BG330,BG412,BG780,BG90,BG709,BG50,BG411,7,1,2,5,3,3,5,1,0,5,1,1,3,2,2,6,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG48,0.160345943,-0.230715875,0.576,8,7,1,BG525,BG83,BG417,BG924,BG802,BG894,BG637,BG88,BG965,BG84,BG457,BG298,BG398,BG468,BG591,BG139,BG938,BG50,BG79,3,3,2,7,3,7,4,0,7,3,6,3,0,4,4,1,3,3,2,3,3,3,1,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3
BG49,0.243309772,-0.394141266,0.46728972,3,0,3,BG828,BG482,BG511,BG41,BG128,BG169,BG808,BG535,BG881,BG141,BG397,BG270,BG616,BG865,BG943,BG425,BG826,BG929,BG807,1,4,2,4,0,4,7,1,0,2,7,1,1,5,1,4,0,4,2,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3
BG50,0.106874704,-0.239231421,0.564516129,6,3,3,BG412,BG941,BG398,BG411,BG525,BG445,BG894,BG837,BG760,BG79,BG337,BG864,BG417,BG971,BG47,BG789,BG48,BG965,BG750,2,1,0,1,3,3,7,7,2,2,3,5,2,4,4,2,7,7,5,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,1,1,3
BG51,0.272086825,-0.195775176,0.565891473,6,3,3,BG967,BG901,BG645,BG345,BG187,BG537,BG471,BG559,BG419,BG722,BG429,BG72,BG563,BG26,BG975,BG634,BG772,BG748,BG266,1,6,7,5,2,0,1,6,2,5,1,5,4,4,3,5,7,4,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3
BG52,0.033098239,-0.108919422,0.540983607,7,4,3,BG351,BG820,BG831,BG956,BG625,BG565,BG918,BG545,BG377,BG365,BG661,BG12,BG719,BG696,BG863,BG267,BG777,BG144,BG10,2,4,2,6,3,4,7,3,2,6,3,1,1,6,2,1,0,2,7,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1
BG53,-0.277062392,-0.102146062,0.580645161,9,7,2,BG584,BG24,BG583,BG673,BG920,BG567,BG252,BG404,BG453,BG791,BG87,BG392,BG684,BG374,BG422,BG842,BG594,BG898,BG13,6,4,3,0,1,3,7,7,1,7,2,4,3,0,5,4,2,0,6,3,3,3,3,3,3,1,0,3,1,3,3,3,3,3,3,3,3,3
BG54,-0.069869978,-0.275192437,0.593984962,8,5,3,BG261,BG450,BG363,BG652,BG659,BG554,BG271,BG954,BG999,BG764,BG856,BG70,BG909,BG872,BG18,BG581,BG796,BG384,BG664,4,3,7,5,2,3,7,4,7,4,3,4,3,3,1,7,3,0,4,3,3,2,3,3,3,2,3,1,3,3,3,3,3,3,1,3,3,3
BG55,-0.020439516,0.040777376,0.632352941,5,2,3,BG1,BG220,BG409,BG357,BG112,BG57,BG990,BG110,BG101,BG136,BG592,BG393,BG312,BG968,BG761,BG792,BG940,BG702,BG340,3,3,6,6,7,3,4,2,7,7,3,7,2,4,0,3,3,7,7,3,3,3,3,2,3,3,3,2,1,3,0,3,3,3,3,3,2,1
BG56,0.465613637,-0.070429487,0.438095238,3,0,3,BG46,BG399,BG286,BG832,BG833,BG630,BG657,BG320,BG716,BG440,BG227,BG619,BG317,BG323,BG209,BG7,BG501,BG878,BG130,1,5,4,0,1,0,1,1,3,0,3,3,4,7,3,5,0,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
BG57,-0.020605425,0.065803667,0.588235294,6,3,3,BG357,BG592,BG55,BG220,BG968,BG940,BG519,BG1,BG110,BG761,BG190,BG136,BG409,BG112,BG101,BG279,BG990,BG277,BG60,6,3,2,3,4,3,5,3,2,0,3,7,6,7,7,6,4,4,2,3,3,3,3,3,3,3,3,3,3,3,1,3,2,2,3,3,3,3
BG58,-0.122830456,-0.207720438,0.564516129,5,2,3,BG307,BG17,BG251,BG173,BG177,BG555,BG680,BG200,BG668,BG995,BG145,BG196,BG477,BG908,BG618,BG906,BG973,BG836,BG522,5,2,3,0,7,7,3,3,3,6,4,2,4,2,1,2,2,7,5,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,1,3
BG59,-0.079084979,-0.077363933,0.579831933,7,7,0,BG612,BG862,BG846,BG688,BG890,BG258,BG783,BG165,BG528,BG469,BG712,BG751,BG590,BG491,BG150,BG380,BG413,BG421,BG560,3,3,7,1,3,7,2,3,3,3,7,0,3,4,0,2,2,7,2,3,3,2,3,3,1,3,3,3,3,1,3,3,3,3,3,3,1,3
BG60,-0.080117917,0.068327013,0.584615385,5,2,3,BG389,BG339,BG723,BG279,BG494,BG755,BG326,BG650,BG994,BG592,BG653,BG101,BG476,BG190,BG235,BG766,BG357,BG568,BG250,7,4,0,6,1,3,1,5,4,3,7,7,1,3,2,1,6,7,6,2,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,1,3
BG61,0.110861319,0.168950413,0.541666667,4,1,3,BG20,BG506,BG215,BG907,BG849,BG829,BG809,BG467,BG593,BG245,BG264,BG730,BG454,BG998,BG119,BG803,BG738,BG45,BG126,0,2,4,6,7,2,5,2,7,2,5,3,7,4,4,1,2,1,0,3,3,3,3,2,3,3,3,2,3,3,3,0,3,3,3,3,3,3
BG62,-0.026034208,-0.20188232,0.607407407,7,4,3,BG321,BG44,BG253,BG531,BG788,BG403,BG502,BG588,BG199,BG14,BG444,BG70,BG18,BG228,BG753,BG581,BG908,BG709,BG564,6,7,5,7,1,4,2,7,3,3,5,4,1,7,2,7,2,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,1,3,1,3,3,3
