ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BR1,-0.2792816,-0.416252971,0.52892562,3,0,3,BR326,BR846,BR641,BR567,BR695,BR1000,BR807,BR298,BR325,BR85,BR465,BR877,BR963,BR262,BR507,BR249,BR782,BR976,BR644,0,7,4,7,4,7,3,2,1,0,1,2,3,3,0,6,4,4,6,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
BR2,-0.280254213,-0.077552601,0.5703125,5,2,3,BR952,BR920,BR22,BR329,BR179,BR499,BR473,BR102,BR942,BR273,BR838,BR32,BR429,BR166,BR585,BR286,BR35,BR28,BR989,5,7,7,2,4,5,3,2,7,3,3,4,2,2,2,3,2,1,7,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2
BR3,0.065248875,-0.405219856,0.607407407,6,3,3,BR130,BR886,BR513,BR343,BR76,BR565,BR639,BR701,BR928,BR236,BR600,BR593,BR672,BR498,BR768,BR330,BR737,BR869,BR999,3,6,2,2,2,2,4,6,7,4,7,7,6,6,1,4,7,2,1,3,3,3,3,3,3,3,3,1,3,1,2,3,3,3,3,1,3,3
BR4,-0.057948348,-0.039237382,0.49137931,7,4,3,BR918,BR590,BR651,BR142,BR623,BR722,BR224,BR563,BR426,BR684,BR419,BR451,BR938,BR368,BR444,BR9,BR51,BR514,BR64,2,2,0,2,5,1,1,6,4,3,3,3,0,2,7,0,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
BR5,0.021295819,0.052203607,0.584,6,3,3,BR107,BR211,BR578,BR361,BR535,BR983,BR79,BR307,BR700,BR570,BR17,BR518,BR688,BR369,BR128,BR288,BR876,BR910,BR492,0,1,2,4,7,3,6,7,1,7,5,6,7,3,4,2,4,1,0,3,3,3,3,2,3,3,0,3,2,3,3,0,3,3,3,3,3,3
BR6,0.081315908,-0.049387952,0.584615385,3,0,3,BR900,BR885,BR676,BR754,BR760,BR412,BR873,BR606,BR500,BR581,BR752,BR985,BR223,BR517,BR798,BR470,BR577,BR74,BR525,2,4,7,4,7,4,3,5,1,7,6,7,4,4,2,3,2,1,3,3,3,2,3,2,3,3,3,3,1,3,1,3,3,3,3,3,3,3
BR7,-0.427856418,0.073679402,0.4,3,0,3,BR306,BR455,BR404,BR736,BR545,BR745,BR422,BR924,BR858,BR181,BR332,BR987,BR405,BR741,BR125,BR649,BR409,BR8,BR666,0,5,2,6,3,4,1,4,1,2,2,0,2,3,0,1,2,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BR8,-0.383512555,0.172508059,0.504273504,3,0,3,BR987,BR296,BR647,BR779,BR736,BR45,BR422,BR790,BR404,BR409,BR960,BR545,BR42,BR395,BR304,BR324,BR741,BR455,BR712,0,6,5,1,6,2,1,1,2,2,4,3,7,0,5,2,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
BR9,-0.102578083,-0.003207064,0.5625,3,0,3,BR623,BR77,BR224,BR651,BR598,BR590,BR872,BR431,BR870,BR566,BR209,BR293,BR402,BR185,BR4,BR426,BR521,BR563,BR432,5,7,1,0,0,2,3,5,3,6,0,7,5,6,4,4,1,6,7,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1
BR10,-0.301473908,0.43953922,0.598540146,4,1,3,BR718,BR353,BR929,BR979,BR94,BR617,BR764,BR896,BR367,BR855,BR56,BR980,BR799,BR165,BR345,BR746,BR212,BR580,BR568,1,3,0,5,7,7,5,4,5,4,7,2,7,2,3,4,6,7,2,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,3,2,3
