ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
RG1,-0.021260149,-0.160283623,0.543307087,5,2,3,RG853,RG115,RG819,RG399,RG55,RG212,RG746,RG331,RG175,RG552,RG589,RG500,RG240,RG891,RG307,RG312,RG222,RG631,RG776,7,2,5,6,3,1,4,2,3,6,3,5,2,3,2,2,3,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG2,0.289994415,-0.583803652,0.490909091,5,2,3,RG997,RG940,RG251,RG245,RG884,RG697,RG284,RG720,RG617,RG48,RG895,RG712,RG875,RG704,RG37,RG362,RG396,RG754,RG258,1,6,1,0,1,0,7,4,0,2,0,3,4,3,5,0,7,4,4,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,2,3,3
RG3,-0.030784908,0.17991174,0.528455285,6,3,3,RG800,RG87,RG808,RG206,RG765,RG427,RG798,RG436,RG445,RG4,RG181,RG666,RG257,RG434,RG342,RG778,RG943,RG439,RG288,3,3,3,7,4,3,7,4,3,2,5,1,2,1,0,2,3,6,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
RG4,-0.06862459,0.174895887,0.504273504,5,2,3,RG257,RG436,RG181,RG87,RG474,RG206,RG666,RG414,RG800,RG288,RG859,RG798,RG3,RG808,RG934,RG112,RG374,RG446,RG442,2,4,5,3,2,7,1,1,3,3,0,7,3,3,2,1,3,3,4,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3
RG5,-0.283482972,0.125874059,0.552845528,9,7,2,RG453,RG912,RG803,RG568,RG122,RG193,RG756,RG177,RG917,RG142,RG752,RG96,RG826,RG595,RG610,RG582,RG615,RG141,RG418,1,2,2,6,0,1,1,4,3,3,1,5,5,2,4,7,5,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3
RG6,0.12616122,-0.151257222,0.450980392,4,1,3,RG23,RG384,RG54,RG645,RG749,RG228,RG520,RG846,RG326,RG683,RG33,RG36,RG553,RG626,RG343,RG852,RG769,RG629,RG503,7,3,0,3,7,4,7,0,0,0,1,0,0,3,1,3,4,1,1,2,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3
RG7,0.347527919,0.063063785,0.52991453,8,5,3,RG673,RG956,RG229,RG158,RG306,RG905,RG109,RG438,RG287,RG913,RG687,RG840,RG572,RG199,RG685,RG202,RG73,RG965,RG672,1,5,7,3,0,0,7,2,4,7,0,3,5,1,1,1,6,3,1,3,3,1,3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3
RG8,-0.377023701,-0.041080479,0.586466165,8,7,1,RG443,RG837,RG135,RG684,RG688,RG664,RG371,RG741,RG333,RG165,RG692,RG51,RG255,RG376,RG400,RG82,RG30,RG766,RG83,6,3,2,7,5,7,4,5,2,4,6,1,3,1,1,3,7,1,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3
RG9,-0.06219512,0.026021822,0.638297872,6,3,3,RG509,RG966,RG140,RG475,RG250,RG531,RG471,RG395,RG793,RG927,RG988,RG365,RG372,RG407,RG709,RG570,RG713,RG16,RG432,2,7,7,5,3,2,7,2,4,3,7,7,6,2,6,7,2,7,1,3,2,2,3,3,3,2,3,3,3,1,2,3,3,3,2,3,1,3
RG10,0.183266614,-0.045092487,0.547619048,3,0,3,RG599,RG767,RG748,RG889,RG969,RG892,RG485,RG159,RG810,RG967,RG901,RG386,RG146,RG996,RG641,RG769,RG659,RG902,RG203,2,1,3,0,2,5,4,3,7,7,3,7,5,1,5,4,1,6,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3
