ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UB1,-0.094482143,-0.10388543,0.56097561,5,2,3,UB99,UB236,UB836,UB351,UB706,UB661,UB337,UB922,UB455,UB550,UB448,UB499,UB645,UB973,UB801,UB187,UB368,UB197,UB33,2,5,2,5,5,2,0,3,7,2,4,1,4,7,3,1,4,3,7,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,0
UB2,-0.247681865,-0.254445443,0.537815126,7,7,0,UB223,UB614,UB141,UB516,UB429,UB293,UB108,UB596,UB873,UB958,UB671,UB681,UB590,UB943,UB788,UB26,UB602,UB172,UB518,3,1,7,5,5,7,1,0,1,5,1,1,6,2,3,1,5,3,0,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
UB3,0.085812698,-0.163218871,0.512820513,7,4,3,UB85,UB159,UB727,UB526,UB336,UB608,UB191,UB948,UB377,UB976,UB127,UB433,UB521,UB862,UB825,UB806,UB57,UB54,UB600,0,3,3,0,1,7,6,1,2,2,4,1,5,1,4,7,2,5,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3
UB4,-0.304796209,0.334754523,0.50877193,8,7,1,UB456,UB888,UB699,UB519,UB732,UB657,UB721,UB770,UB914,UB802,UB747,UB548,UB552,UB47,UB736,UB861,UB803,UB865,UB120,2,2,1,4,0,7,6,1,4,1,1,3,3,1,4,7,0,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3
UB5,0.054914835,-0.443185823,0.393939394,4,1,3,UB209,UB981,UB746,UB830,UB398,UB505,UB524,UB925,UB135,UB715,UB720,UB980,UB17,UB670,UB211,UB684,UB369,UB629,UB271,4,1,0,4,1,4,0,2,3,2,2,1,0,4,5,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB6,0.083968288,0.033440546,0.568181818,9,6,3,UB321,UB591,UB453,UB226,UB698,UB574,UB691,UB401,UB425,UB809,UB144,UB658,UB606,UB751,UB258,UB682,UB77,UB972,UB289,1,7,0,5,5,1,3,1,3,5,3,2,3,4,6,0,6,7,7,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
UB7,0.094695406,-0.328963586,0.433962264,5,2,3,UB555,UB273,UB887,UB670,UB17,UB771,UB856,UB271,UB925,UB211,UB214,UB385,UB629,UB248,UB764,UB556,UB11,UB746,UB82,4,0,0,4,0,4,3,3,2,5,1,5,0,2,1,6,2,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB8,0.034129044,-0.124470057,0.477876106,7,4,3,UB404,UB849,UB210,UB433,UB194,UB825,UB649,UB642,UB652,UB789,UB327,UB600,UB526,UB355,UB88,UB159,UB521,UB367,UB983,0,6,2,1,2,4,5,7,1,5,1,2,0,1,0,3,5,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
UB9,-0.694027084,0.09656065,0.446601942,3,0,3,UB313,UB400,UB501,UB728,UB58,UB955,UB263,UB155,UB206,UB173,UB858,UB535,UB394,UB97,UB463,UB178,UB807,UB599,UB207,3,0,2,7,1,1,3,2,1,3,1,2,2,2,5,0,2,2,7,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
UB10,-0.595428301,-0.352258294,0.504273504,4,1,3,UB920,UB628,UB639,UB72,UB915,UB30,UB864,UB953,UB798,UB475,UB875,UB201,UB851,UB430,UB731,UB660,UB622,UB207,UB566,0,6,3,1,0,0,7,1,5,1,4,3,3,3,2,6,4,7,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3
