ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UG1,-0.34610652,-0.040461482,0.613636364,5,2,3,UG851,UG139,UG227,UG735,UG780,UG409,UG446,UG691,UG157,UG236,UG271,UG204,UG317,UG81,UG383,UG532,UG563,UG129,UG285,1,6,7,1,5,5,2,7,5,7,5,0,7,1,1,4,7,3,5,1,6,7,1,5,5,2,7,5,7,5,0,7,1,1,4,7,3,5
UG2,0.219295924,-0.005849523,0.563909774,7,4,3,UG516,UG146,UG424,UG576,UG65,UG351,UG737,UG676,UG306,UG110,UG97,UG627,UG155,UG566,UG342,UG246,UG178,UG222,UG364,5,5,1,2,5,1,6,3,3,4,7,3,2,3,3,6,1,6,5,5,5,1,2,5,1,6,3,3,4,7,3,2,3,3,6,1,6,5
UG3,-0.027110867,-0.046552662,0.525862069,4,1,3,UG441,UG827,UG621,UG961,UG59,UG596,UG186,UG30,UG414,UG688,UG438,UG650,UG935,UG403,UG895,UG528,UG216,UG736,UG296,1,4,0,7,5,1,3,2,4,7,1,6,1,6,0,0,4,1,7,1,4,0,7,5,1,3,2,4,7,1,6,1,6,0,0,4,1,7
UG4,0.155957173,0.453140494,0.576923077,6,3,3,UG749,UG586,UG35,UG161,UG305,UG86,UG421,UG511,UG309,UG795,UG294,UG48,UG845,UG907,UG999,UG162,UG921,UG464,UG817,5,5,2,4,3,2,3,7,0,7,7,1,3,4,7,2,0,7,3,5,5,2,4,3,2,3,7,0,7,7,1,3,4,7,2,0,7,3
UG5,0.355917464,0.363196139,0.417475728,3,0,3,UG686,UG744,UG231,UG102,UG564,UG88,UG174,UG183,UG374,UG335,UG957,UG695,UG679,UG817,UG845,UG990,UG921,UG518,UG600,1,3,1,1,3,4,5,4,1,2,4,2,2,3,3,1,0,0,3,1,3,1,1,3,4,5,4,1,2,4,2,2,3,3,1,0,0,3
UG6,-0.041114312,-0.171301272,0.490384615,4,1,3,UG423,UG859,UG542,UG856,UG904,UG182,UG533,UG373,UG413,UG107,UG808,UG816,UG144,UG326,UG439,UG510,UG20,UG670,UG764,4,7,0,7,0,2,0,5,2,4,4,7,1,1,2,0,1,2,1,4,7,0,7,0,2,0,5,2,4,4,7,1,1,2,0,1,2,1
UG7,-0.238914882,-0.154269314,0.553719008,9,7,2,UG967,UG473,UG54,UG580,UG72,UG651,UG56,UG402,UG781,UG218,UG479,UG552,UG462,UG328,UG494,UG960,UG789,UG700,UG11,2,0,1,7,2,7,0,2,0,3,4,3,5,2,4,2,2,7,7,2,0,1,7,2,7,0,2,0,3,4,3,5,2,4,2,2,7,7
UG8,-0.303071669,0.1304945,0.551181102,6,3,3,UG39,UG85,UG912,UG297,UG629,UG57,UG465,UG251,UG863,UG167,UG595,UG798,UG638,UG939,UG499,UG794,UG577,UG278,UG892,2,1,2,4,3,0,4,5,7,3,7,6,4,7,5,0,2,3,2,2,1,2,4,3,0,4,5,7,3,7,6,4,7,5,0,2,3,2
UG9,0.136594569,-0.490844145,0.473214286,8,5,3,UG941,UG610,UG206,UG460,UG152,UG299,UG983,UG991,UG995,UG249,UG124,UG956,UG195,UG496,UG926,UG399,UG540,UG914,UG779,3,1,0,4,4,2,7,2,1,0,6,1,1,0,3,3,4,1,5,3,1,0,4,4,2,7,2,1,0,6,1,1,0,3,3,4,1,5
UG10,-0.227021626,0.193234286,0.564516129,7,4,3,UG300,UG826,UG137,UG793,UG529,UG513,UG757,UG111,UG820,UG989,UG626,UG818,UG719,UG776,UG531,UG262,UG483,UG497,UG638,2,7,7,4,3,7,0,2,1,5,1,6,7,0,1,2,0,7,4,2,7,7,4,3,7,0,2,1,5,1,6,7,0,1,2,0,7,4
UG11,-0.273874445,-0.201447305,0.623076923,8,7,1,UG34,UG479,UG203,UG54,UG56,UG165,UG218,UG349,UG834,UG700,UG947,UG462,UG473,UG494,UG411,UG7,UG287,UG153,UG699,7,4,5,1,0,2,3,1,3,7,6,5,0,4,0,7,7,5,7,7,4,5,1,0,2,3,1,3,7,6,5,0,4,0,7,7,5,7
UG12,-0.099590662,0.070428167,0.567164179,6,3,3,UG743,UG806,UG95,UG568,UG765,UG618,UG67,UG709,UG908,UG654,UG341,UG792,UG194,UG899,UG879,UG258,UG431,UG802,UG733,7,3,3,6,4,4,3,0,3,3,5,7,5,6,5,2,6,1,0,7,3,3,6,4,4,3,0,3,3,5,7,5,6,5,2,6,1,0
UG13,0.338935145,-0.055351043,0.580645161,5,2,3,UG557,UG453,UG396,UG759,UG558,UG100,UG894,UG588,UG290,UG598,UG355,UG380,UG126,UG832,UG561,UG356,UG803,UG369,UG225,0,3,4,2,4,3,5,4,7,3,1,2,2,7,7,6,3,7,0,0,3,4,2,4,3,5,4,7,3,1,2,2,7,7,6,3,7,0
UG14,0.428925251,-0.064678287,0.57480315,3,0,3,UG811,UG674,UG355,UG803,UG290,UG901,UG396,UG467,UG769,UG193,UG42,UG948,UG448,UG558,UG100,UG742,UG522,UG557,UG19,7,6,1,3,7,2,4,5,7,2,2,7,7,4,3,3,1,0,2,7,6,1,3,7,2,4,5,7,2,2,7,7,4,3,3,1,0,2
UG15,-0.193677544,0.070236451,0.544715447,6,3,3,UG708,UG635,UG965,UG127,UG202,UG537,UG625,UG488,UG386,UG125,UG787,UG657,UG228,UG930,UG474,UG471,UG643,UG498,UG258,1,2,1,5,5,6,3,5,7,1,5,7,2,1,0,5,3,3,2,1,2,1,5,5,6,3,5,7,1,5,7,2,1,0,5,3,3,2
UG16,0.344113932,-0.19617667,0.486956522,6,3,3,UG490,UG959,UG946,UG903,UG250,UG239,UG945,UG936,UG637,UG739,UG975,UG223,UG712,UG544,UG181,UG225,UG581,UG60,UG742,1,2,1,4,3,1,2,7,1,4,5,3,5,1,5,0,2,3,3,1,2,1,4,3,1,2,7,1,4,5,3,5,1,5,0,2,3,3
UG17,-0.312561811,0.25070814,0.546218487,5,2,3,UG924,UG630,UG401,UG778,UG706,UG379,UG886,UG958,UG973,UG719,UG626,UG262,UG167,UG360,UG794,UG757,UG592,UG163,UG638,1,7,1,7,1,1,7,2,7,7,1,2,3,5,0,0,4,3,4,1,7,1,7,1,1,7,2,7,7,1,2,3,5,0,0,4,3,4
UG18,-0.46811944,-0.141012347,0.571428571,3,0,3,UG455,UG131,UG653,UG47,UG553,UG293,UG754,UG512,UG394,UG368,UG271,UG572,UG976,UG157,UG398,UG129,UG27,UG409,UG149,0,3,4,2,2,4,2,4,7,2,5,7,5,5,7,3,3,5,2,0,3,4,2,2,4,2,4,7,2,5,7,5,5,7,3,3,5,2
