ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UR1,-0.240494249,0.097409675,0.544715447,6,3,3,UR125,UR262,UR735,UR441,UR931,UR498,UR589,UR617,UR786,UR601,UR533,UR770,UR236,UR507,UR946,UR921,UR201,UR798,UR17,1,7,7,4,3,3,3,5,2,1,1,4,1,6,6,2,1,2,5,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR2,-0.183919896,-0.050979414,0.692857143,8,7,1,UR592,UR938,UR648,UR842,UR11,UR45,UR593,UR252,UR237,UR134,UR830,UR552,UR769,UR248,UR53,UR220,UR70,UR169,UR253,7,7,1,4,6,7,7,7,6,5,3,7,3,5,2,7,4,1,1,2,0,3,3,3,0,0,1,3,3,3,1,3,3,3,2,3,3,3
UR3,0.109257582,-0.302069046,0.569230769,5,2,3,UR436,UR446,UR624,UR391,UR856,UR557,UR756,UR779,UR302,UR532,UR665,UR348,UR44,UR824,UR13,UR331,UR191,UR820,UR200,6,0,5,6,4,2,3,7,4,4,7,2,2,3,5,0,6,1,5,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3
UR4,0.097700044,0.127621322,0.504273504,4,1,3,UR789,UR794,UR304,UR913,UR386,UR521,UR479,UR50,UR368,UR231,UR907,UR41,UR445,UR417,UR511,UR609,UR679,UR719,UR424,0,2,4,7,2,2,7,1,1,6,5,0,3,6,3,0,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
UR5,-0.135492316,-0.098521907,0.547619048,4,1,3,UR870,UR274,UR515,UR53,UR982,UR103,UR291,UR667,UR134,UR755,UR740,UR483,UR830,UR381,UR648,UR405,UR908,UR513,UR300,4,6,7,2,4,4,3,1,5,3,4,3,3,3,1,2,3,3,7,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
UR6,0.172079723,0.1153803,0.468468468,4,1,3,UR673,UR765,UR679,UR991,UR859,UR197,UR707,UR994,UR76,UR445,UR362,UR612,UR598,UR415,UR286,UR95,UR907,UR304,UR913,6,4,3,1,2,2,1,3,1,3,0,1,3,0,4,1,5,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
UR7,-0.26540781,-0.131242534,0.631944444,6,3,3,UR656,UR800,UR411,UR110,UR413,UR795,UR334,UR94,UR185,UR443,UR139,UR355,UR747,UR99,UR651,UR141,UR806,UR172,UR529,2,7,7,7,6,4,5,5,4,1,4,6,3,5,7,4,5,5,1,3,2,0,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
UR8,0.265582951,0.377074504,0.458715596,6,3,3,UR343,UR88,UR418,UR317,UR65,UR977,UR344,UR476,UR600,UR120,UR950,UR613,UR514,UR330,UR435,UR438,UR564,UR295,UR682,3,0,3,2,1,6,0,2,3,2,1,5,2,0,1,7,2,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
UR9,0.385048614,0.14695538,0.548387097,4,1,3,UR327,UR468,UR736,UR574,UR547,UR706,UR254,UR956,UR565,UR540,UR96,UR247,UR620,UR863,UR242,UR345,UR567,UR122,UR221,3,7,3,5,3,4,7,5,0,1,0,3,7,2,4,3,1,4,5,3,2,3,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3
UR10,-0.024764299,0.092559819,0.552845528,5,2,3,UR162,UR739,UR614,UR701,UR952,UR527,UR281,UR975,UR470,UR58,UR150,UR782,UR805,UR853,UR976,UR686,UR555,UR389,UR447,7,3,2,3,7,6,2,1,6,1,7,4,4,1,5,2,3,0,2,1,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3
UR11,-0.19698674,-0.071390904,0.664233577,9,6,3,UR252,UR45,UR592,UR938,UR2,UR830,UR253,UR648,UR134,UR220,UR218,UR169,UR842,UR535,UR53,UR256,UR248,UR513,UR237,7,7,7,7,7,3,1,1,5,7,7,1,4,3,2,2,5,3,6,1,0,2,0,1,3,3,3,3,2,1,3,3,3,3,3,3,3,3
UR12,0.352217069,-0.136030028,0.504347826,9,7,2,UR439,UR259,UR196,UR990,UR654,UR621,UR783,UR728,UR83,UR321,UR136,UR594,UR265,UR132,UR466,UR57,UR697,UR20,UR860,6,0,2,2,7,2,3,2,0,5,1,0,4,3,5,3,3,2,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR13,0.127831376,-0.24721393,0.5,8,5,3,UR532,UR841,UR820,UR624,UR199,UR818,UR115,UR557,UR392,UR391,UR404,UR947,UR865,UR833,UR665,UR3,UR331,UR204,UR121,4,1,1,5,2,3,5,2,2,6,1,4,1,3,7,2,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
UR14,-0.283246153,0.13819616,0.578125,8,7,1,UR407,UR601,UR264,UR881,UR533,UR421,UR641,UR79,UR498,UR677,UR541,UR64,UR80,UR144,UR109,UR111,UR454,UR262,UR1,2,1,2,1,1,7,3,2,3,7,5,4,4,5,5,2,3,7,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,1,3
UR15,-0.109778997,-0.36817231,0.48245614,5,2,3,UR639,UR465,UR768,UR285,UR810,UR19,UR989,UR985,UR431,UR210,UR255,UR658,UR457,UR161,UR699,UR240,UR59,UR618,UR154,1,3,4,3,4,1,1,3,2,0,2,3,5,1,7,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
UR16,0.298886463,0.14093216,0.549180328,5,2,3,UR122,UR540,UR620,UR751,UR958,UR730,UR499,UR545,UR565,UR163,UR345,UR749,UR574,UR96,UR797,UR327,UR939,UR956,UR245,4,1,7,2,7,0,2,3,0,4,3,7,5,0,7,3,2,5,3,3,3,1,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3
UR17,-0.197837914,0.072317336,0.541984733,8,5,3,UR507,UR962,UR827,UR201,UR617,UR441,UR786,UR236,UR589,UR642,UR603,UR650,UR690,UR43,UR632,UR931,UR934,UR608,UR125,6,5,2,1,5,4,2,1,3,1,4,4,2,6,6,3,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR18,0.039276868,-0.357016082,0.469026549,6,3,3,UR137,UR319,UR927,UR524,UR348,UR808,UR758,UR582,UR44,UR756,UR200,UR302,UR113,UR888,UR97,UR615,UR131,UR59,UR996,3,0,2,2,2,5,0,1,2,3,5,4,3,0,6,0,4,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR19,-0.10215287,-0.404314944,0.464285714,4,1,3,UR639,UR465,UR15,UR457,UR285,UR147,UR768,UR210,UR810,UR985,UR989,UR255,UR495,UR431,UR59,UR240,UR658,UR936,UR161,1,3,2,5,3,4,4,0,4,3,1,2,4,2,6,1,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR20,0.374059717,-0.211488096,0.458715596,5,2,3,UR705,UR284,UR840,UR692,UR700,UR697,UR259,UR420,UR412,UR466,UR594,UR965,UR257,UR12,UR728,UR439,UR836,UR497,UR759,3,1,3,2,3,3,0,2,0,5,0,2,2,7,2,6,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
UR21,-0.024355377,0.325705858,0.453703704,8,5,3,UR549,UR704,UR505,UR493,UR90,UR948,UR494,UR588,UR672,UR919,UR897,UR591,UR944,UR167,UR54,UR882,UR31,UR877,UR784,1,1,1,3,3,3,4,0,2,3,7,0,2,2,0,4,4,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
UR22,0.235190987,-0.030421128,0.486725664,3,0,3,UR631,UR226,UR801,UR738,UR342,UR646,UR713,UR332,UR935,UR793,UR458,UR819,UR785,UR126,UR433,UR773,UR398,UR142,UR23,3,2,2,2,5,2,3,4,0,1,7,2,3,5,2,3,2,5,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
UR23,0.182590907,-0.053681147,0.569230769,5,2,3,UR126,UR398,UR819,UR203,UR276,UR858,UR646,UR741,UR961,UR354,UR433,UR108,UR226,UR801,UR458,UR723,UR142,UR153,UR234,5,2,2,4,2,7,2,4,7,1,2,4,2,2,7,6,5,5,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,3,3,3,3
UR24,0.117914087,-0.038004093,0.558139535,6,3,3,UR528,UR119,UR961,UR234,UR741,UR817,UR953,UR926,UR714,UR396,UR455,UR579,UR669,UR108,UR276,UR34,UR811,UR123,UR867,3,5,7,3,4,3,4,2,3,6,3,2,5,4,2,0,1,7,5,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
UR25,0.033095913,0.009578067,0.618705036,9,7,2,UR202,UR998,UR745,UR981,UR590,UR258,UR891,UR568,UR165,UR895,UR776,UR711,UR250,UR447,UR456,UR123,UR595,UR829,UR853,5,6,5,1,7,3,4,2,7,2,3,7,3,2,4,7,4,6,1,3,3,3,3,2,3,3,3,1,3,3,2,3,3,3,1,3,3,3
UR26,0.096258566,0.229505154,0.508474576,9,6,3,UR553,UR241,UR359,UR471,UR316,UR87,UR186,UR866,UR89,UR506,UR995,UR544,UR424,UR537,UR979,UR511,UR957,UR217,UR37,4,2,5,7,0,3,7,1,4,2,4,1,3,5,1,3,0,0,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
UR27,0.021513451,-0.247763667,0.56779661,6,3,3,UR764,UR477,UR905,UR688,UR460,UR380,UR772,UR635,UR191,UR615,UR308,UR121,UR584,UR187,UR665,UR113,UR490,UR328,UR200,1,1,1,7,7,7,0,1,6,0,6,1,2,2,7,3,0,7,5,3,3,3,2,1,1,3,3,3,3,3,3,3,3,1,3,3,1,3
UR28,-0.096519041,0.319075646,0.378947368,7,4,3,UR882,UR925,UR114,UR358,UR877,UR170,UR897,UR188,UR493,UR505,UR54,UR323,UR301,UR948,UR951,UR534,UR459,UR370,UR549,4,1,1,0,1,0,7,0,3,1,0,0,2,3,2,1,2,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
UR29,0.023943046,-0.137612653,0.576923077,7,4,3,UR181,UR400,UR536,UR357,UR116,UR855,UR670,UR847,UR970,UR787,UR556,UR449,UR352,UR75,UR737,UR597,UR416,UR838,UR604,1,7,1,0,3,7,7,3,4,1,3,4,5,5,3,7,1,5,4,3,2,3,3,3,2,1,3,3,3,3,3,3,3,3,2,3,3,3
UR30,-0.022348852,-0.184462189,0.573770492,7,4,3,UR924,UR929,UR124,UR146,UR352,UR693,UR180,UR635,UR584,UR198,UR670,UR696,UR222,UR855,UR660,UR970,UR450,UR156,UR400,7,3,1,3,5,0,0,1,2,0,7,7,2,7,1,4,5,4,7,1,3,3,3,3,3,3,3,3,3,1,1,3,2,3,3,3,3,2
UR31,0.031484983,0.353627244,0.495575221,7,4,3,UR816,UR591,UR619,UR500,UR703,UR90,UR872,UR432,UR167,UR588,UR21,UR704,UR963,UR944,UR999,UR494,UR463,UR549,UR213,5,0,1,7,0,3,0,2,2,0,5,1,1,2,7,4,7,1,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3
UR32,0.247196169,0.244532853,0.472727273,6,3,3,UR184,UR425,UR414,UR814,UR633,UR295,UR245,UR600,UR749,UR804,UR118,UR834,UR120,UR435,UR780,UR730,UR950,UR751,UR296,1,5,1,3,7,5,3,3,7,1,0,1,2,1,0,0,1,2,6,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
UR33,-0.35793504,0.16311467,0.571428571,4,1,3,UR724,UR157,UR596,UR541,UR941,UR677,UR893,UR641,UR127,UR111,UR264,UR879,UR421,UR282,UR407,UR80,UR109,UR79,UR14,2,0,7,5,5,7,5,3,2,2,2,3,7,1,2,4,5,2,7,3,3,1,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,1
UR34,0.111729738,0.009568891,0.482758621,3,0,3,UR867,UR926,UR953,UR112,UR579,UR811,UR178,UR595,UR339,UR817,UR234,UR669,UR662,UR130,UR356,UR24,UR309,UR258,UR714,5,2,4,2,2,1,2,4,2,3,3,5,2,1,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
