ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WB1,-0.110908278,0.061576139,0.562962963,6,3,3,WB357,WB892,WB281,WB835,WB729,WB801,WB943,WB856,WB846,WB258,WB432,WB709,WB634,WB739,WB654,WB993,WB85,WB679,WB176,3,4,4,1,2,2,6,5,5,5,5,3,2,4,3,6,5,1,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
WB2,-0.067544607,-0.002877269,0.520325203,4,1,3,WB329,WB470,WB304,WB236,WB837,WB710,WB443,WB861,WB554,WB488,WB456,WB399,WB322,WB593,WB699,WB491,WB912,WB366,WB817,2,5,5,4,3,2,7,0,4,2,2,3,5,6,4,3,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
WB3,0.154117991,0.280592756,0.5,4,1,3,WB136,WB117,WB768,WB716,WB963,WB764,WB804,WB354,WB677,WB60,WB535,WB502,WB974,WB613,WB854,WB878,WB900,WB286,WB207,3,3,4,1,4,5,5,5,3,6,1,2,6,1,1,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WB4,0.065515093,-0.191935192,0.5,8,5,3,WB640,WB723,WB203,WB750,WB28,WB915,WB606,WB782,WB880,WB334,WB893,WB215,WB319,WB367,WB382,WB244,WB197,WB911,WB650,2,2,6,3,1,6,3,5,5,1,1,2,3,3,6,1,1,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WB5,0.211167049,0.024901648,0.521367521,4,1,3,WB412,WB661,WB545,WB507,WB913,WB284,WB490,WB308,WB153,WB233,WB501,WB805,WB700,WB407,WB128,WB429,WB323,WB21,WB902,3,3,0,5,0,5,7,0,6,7,2,2,1,4,1,3,3,1,7,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,1
WB6,-0.164557671,-0.079815195,0.589147287,7,4,3,WB703,WB59,WB238,WB423,WB720,WB633,WB595,WB427,WB513,WB29,WB962,WB378,WB759,WB715,WB298,WB680,WB591,WB101,WB721,7,5,4,7,2,4,3,3,5,2,3,5,3,2,7,5,2,1,2,1,3,3,0,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
WB7,-0.061948224,0.107657361,0.549180328,9,7,2,WB881,WB440,WB396,WB352,WB976,WB377,WB855,WB524,WB993,WB679,WB188,WB182,WB489,WB451,WB821,WB176,WB867,WB515,WB874,5,4,1,2,2,3,1,7,6,1,1,1,2,1,7,7,1,3,5,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,2,3,3,3
WB8,0.170130382,-0.054915892,0.517241379,4,1,3,WB777,WB516,WB946,WB930,WB812,WB12,WB548,WB746,WB576,WB362,WB580,WB112,WB589,WB165,WB698,WB337,WB802,WB967,WB191,5,7,5,0,3,1,2,6,0,3,1,1,5,7,2,5,1,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
WB9,-0.10632085,-0.222530931,0.587301587,6,3,3,WB541,WB687,WB76,WB849,WB592,WB536,WB649,WB273,WB122,WB788,WB18,WB221,WB13,WB43,WB909,WB216,WB97,WB514,WB338,1,2,7,1,2,3,7,3,5,2,7,5,2,3,7,7,0,3,4,3,3,2,3,3,3,1,3,3,3,0,3,3,3,2,2,3,3,3
WB10,-0.115535595,0.011681835,0.533333333,4,1,3,WB770,WB953,WB699,WB947,WB766,WB634,WB30,WB554,WB861,WB432,WB366,WB368,WB943,WB912,WB85,WB907,WB801,WB174,WB236,4,1,4,2,1,2,5,4,0,5,1,7,6,2,5,1,2,7,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,3
