ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WG1,-0.050814542,0.275206115,0.46728972,5,2,3,WG304,WG364,WG552,WG500,WG56,WG922,WG542,WG487,WG91,WG962,WG425,WG127,WG742,WG705,WG667,WG623,WG71,WG472,WG372,7,0,0,0,1,1,1,1,3,3,4,0,3,3,2,7,3,5,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
WG2,0.040740194,-0.162367811,0.573643411,4,1,3,WG886,WG16,WG342,WG587,WG485,WG171,WG185,WG893,WG893,WG361,WG248,WG535,WG101,WG553,WG168,WG785,WG869,WG777,WG67,1,2,5,6,7,1,3,3,3,7,0,5,2,5,7,7,5,3,1,3,3,3,3,1,3,3,3,3,2,3,3,3,3,2,2,3,3,3
WG3,-0.328070881,0.164082542,0.459459459,4,1,3,WG212,WG528,WG839,WG900,WG181,WG787,WG377,WG357,WG270,WG6,WG223,WG188,WG526,WG794,WG897,WG835,WG845,WG860,WG913,5,1,4,1,1,4,4,6,2,1,4,1,2,3,3,1,2,0,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG4,0.134125727,-0.056986295,0.542635659,3,0,3,WG827,WG113,WG919,WG445,WG953,WG76,WG420,WG187,WG658,WG363,WG591,WG916,WG537,WG441,WG852,WG505,WG646,WG960,WG630,6,3,0,3,3,3,3,3,7,6,4,5,6,3,3,2,5,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
WG5,-0.183658209,0.007100956,0.544715447,6,3,3,WG336,WG277,WG846,WG98,WG241,WG427,WG624,WG647,WG18,WG955,WG865,WG681,WG107,WG208,WG774,WG714,WG362,WG738,WG308,4,2,3,1,1,3,5,7,7,3,4,5,4,7,6,0,0,2,0,3,3,3,3,3,3,3,2,1,3,3,3,3,2,3,3,3,3,3
WG6,-0.29539365,0.203918682,0.5,4,1,3,WG794,WG528,WG526,WG870,WG223,WG835,WG181,WG913,WG327,WG724,WG3,WG839,WG897,WG540,WG898,WG900,WG132,WG212,WG754,3,1,2,7,4,1,1,5,1,6,1,4,3,3,2,1,5,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG7,-0.45655849,0.020057859,0.540322581,3,0,3,WG274,WG813,WG117,WG291,WG386,WG561,WG73,WG504,WG332,WG990,WG821,WG85,WG286,WG343,WG512,WG216,WG613,WG414,WG312,1,2,4,7,7,3,3,4,5,2,1,3,4,5,3,5,2,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG8,-0.440357012,0.258669253,0.512820513,4,1,3,WG592,WG689,WG975,WG867,WG860,WG95,WG897,WG548,WG754,WG270,WG44,WG839,WG835,WG289,WG132,WG528,WG870,WG188,WG3,5,6,5,7,0,4,3,1,3,2,0,4,1,3,5,1,7,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
WG9,-0.07454549,-0.127982606,0.549180328,4,1,3,WG515,WG847,WG547,WG267,WG952,WG890,WG175,WG759,WG347,WG721,WG205,WG648,WG594,WG699,WG841,WG213,WG369,WG665,WG380,3,4,6,7,0,4,0,1,4,1,2,7,4,7,5,4,2,3,2,3,3,3,1,3,3,3,3,3,3,3,1,3,2,3,3,3,3,3
WG10,-0.013803255,0.14323784,0.575757576,9,7,2,WG190,WG997,WG440,WG593,WG30,WG144,WG750,WG81,WG954,WG920,WG375,WG316,WG728,WG859,WG545,WG47,WG88,WG148,WG534,1,7,0,1,6,3,1,7,6,3,6,3,1,5,2,3,4,5,5,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
WG11,0.241009022,0.072350486,0.5,4,1,3,WG82,WG215,WG810,WG311,WG809,WG184,WG642,WG400,WG755,WG711,WG709,WG54,WG969,WG589,WG651,WG434,WG373,WG374,WG757,3,0,7,4,4,2,1,2,3,2,4,6,3,4,0,2,7,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
WG12,-0.103454595,0.03056234,0.495575221,4,1,3,WG603,WG362,WG654,WG977,WG231,WG955,WG714,WG198,WG978,WG624,WG219,WG18,WG22,WG86,WG987,WG694,WG829,WG207,WG322,6,0,2,1,1,3,0,1,0,5,2,7,3,1,6,1,3,7,6,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3
WG13,0.077373879,0.182227569,0.512396694,5,2,3,WG982,WG607,WG693,WG121,WG644,WG771,WG600,WG391,WG907,WG943,WG942,WG859,WG316,WG281,WG280,WG963,WG319,WG656,WG534,7,1,2,4,6,0,4,5,0,4,1,5,3,2,0,6,3,2,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WG14,0.349492637,-0.10574775,0.543859649,7,4,3,WG52,WG217,WG296,WG550,WG683,WG720,WG368,WG536,WG194,WG310,WG812,WG428,WG90,WG570,WG156,WG382,WG609,WG746,WG878,7,2,3,5,3,3,3,0,1,2,2,2,0,7,2,2,7,7,0,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,2,3
WG15,0.153219554,-0.33412045,0.576923077,9,7,2,WG229,WG436,WG985,WG629,WG31,WG125,WG108,WG238,WG17,WG344,WG514,WG40,WG915,WG631,WG828,WG131,WG297,WG153,WG222,5,3,7,5,3,5,6,1,2,2,3,5,7,3,6,4,0,0,1,3,3,2,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3
WG16,0.027838288,-0.169048783,0.573643411,5,2,3,WG485,WG2,WG342,WG361,WG185,WG785,WG553,WG886,WG587,WG535,WG858,WG171,WG101,WG777,WG669,WG893,WG893,WG168,WG67,7,1,5,7,3,7,5,1,6,5,3,1,2,3,2,3,3,7,1,1,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3
WG17,0.167718275,-0.277281117,0.564516129,5,2,3,WG631,WG457,WG173,WG436,WG31,WG677,WG297,WG902,WG514,WG881,WG494,WG576,WG131,WG48,WG238,WG384,WG229,WG498,WG15,3,2,3,3,3,3,0,4,3,7,3,3,4,5,1,7,5,2,7,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,3,3,2
WG18,-0.142757997,-0.007151738,0.50862069,8,7,1,WG624,WG865,WG427,WG955,WG539,WG308,WG336,WG846,WG362,WG5,WG978,WG714,WG51,WG12,WG603,WG681,WG935,WG647,WG98,5,4,3,3,4,0,4,3,0,3,0,0,1,1,6,5,2,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WG19,0.040412383,-0.093101149,0.6171875,9,6,3,WG931,WG838,WG790,WG583,WG702,WG307,WG928,WG298,WG300,WG39,WG883,WG786,WG927,WG517,WG869,WG168,WG717,WG411,WG932,7,4,3,1,2,1,7,5,7,3,3,7,1,1,5,7,4,1,4,0,3,3,3,3,3,0,3,1,3,3,1,3,3,3,2,3,3,3
WG20,-0.199751102,-0.174165241,0.557377049,4,1,3,WG933,WG904,WG992,WG899,WG842,WG632,WG167,WG905,WG940,WG260,WG951,WG929,WG588,WG834,WG60,WG169,WG732,WG242,WG232,1,4,7,1,2,7,5,0,7,2,1,0,3,4,1,6,7,3,6,3,3,2,3,3,0,3,3,2,3,3,3,3,3,3,3,2,3,3
WG21,-0.034066255,-0.078075655,0.595419847,4,1,3,WG737,WG934,WG380,WG699,WG768,WG303,WG390,WG75,WG637,WG191,WG806,WG423,WG347,WG841,WG267,WG253,WG952,WG517,WG182,1,4,2,7,7,5,4,3,5,6,5,1,4,5,7,7,0,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,0,3,3,3
WG22,-0.047230394,0.032342689,0.536585366,6,3,3,WG687,WG86,WG573,WG976,WG231,WG654,WG829,WG601,WG977,WG207,WG64,WG564,WG909,WG987,WG462,WG468,WG446,WG264,WG590,4,1,0,3,1,2,3,2,1,7,7,4,3,6,3,7,4,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3
WG23,0.2934108,-0.227701969,0.513761468,7,7,0,WG421,WG692,WG93,WG718,WG284,WG776,WG734,WG43,WG888,WG301,WG671,WG998,WG808,WG314,WG266,WG443,WG416,WG877,WG176,1,7,2,1,4,1,1,7,4,1,2,2,1,1,2,0,7,1,4,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3
WG24,-0.170056089,-0.351910081,0.573770492,7,7,0,WG688,WG458,WG431,WG313,WG967,WG1000,WG891,WG811,WG464,WG715,WG235,WG864,WG151,WG518,WG522,WG756,WG122,WG598,WG120,1,4,5,3,1,0,1,7,7,3,1,1,7,4,3,4,3,4,4,3,3,3,3,3,3,3,2,1,3,3,3,1,3,3,3,3,3,3
WG25,-0.219300175,-0.260892787,0.630769231,4,1,3,WG356,WG324,WG69,WG418,WG118,WG230,WG966,WG773,WG866,WG518,WG178,WG632,WG891,WG66,WG772,WG811,WG864,WG1000,WG151,2,2,3,7,3,6,5,7,7,4,6,7,1,1,5,7,1,0,7,3,3,3,2,3,3,3,0,1,3,3,0,3,3,3,2,3,3,1
