ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WR1,-0.207706659,-0.016345223,0.473214286,8,5,3,WR403,WR74,WR604,WR360,WR221,WR245,WR599,WR810,WR145,WR603,WR350,WR651,WR285,WR672,WR398,WR884,WR652,WR507,WR772,5,6,3,7,3,1,0,2,3,2,2,2,0,1,3,0,0,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR2,0.237405333,-0.058194469,0.48245614,6,3,3,WR790,WR208,WR466,WR209,WR793,WR449,WR923,WR73,WR343,WR833,WR597,WR22,WR570,WR866,WR612,WR551,WR792,WR368,WR687,1,0,0,3,0,4,2,6,1,4,2,4,1,7,1,2,6,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
WR3,-0.163006742,0.273889494,0.534482759,6,3,3,WR290,WR967,WR524,WR172,WR78,WR990,WR641,WR114,WR171,WR869,WR292,WR768,WR966,WR656,WR384,WR174,WR338,WR300,WR93,7,0,3,2,3,0,4,7,5,2,0,2,4,6,0,0,7,7,0,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,2,3
WR4,-0.354296714,-0.120638977,0.504273504,5,2,3,WR748,WR620,WR402,WR744,WR453,WR253,WR517,WR931,WR58,WR762,WR556,WR902,WR522,WR852,WR313,WR381,WR474,WR198,WR753,2,2,3,0,1,4,0,2,3,4,2,2,7,7,2,6,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3
WR5,0.066188783,-0.008166885,0.572519084,6,3,3,WR62,WR559,WR244,WR15,WR388,WR277,WR688,WR686,WR946,WR319,WR645,WR270,WR227,WR299,WR817,WR547,WR951,WR485,WR220,4,1,5,3,3,2,4,7,4,2,4,4,7,2,5,4,6,2,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3
WR6,0.357604409,0.178799573,0.588235294,6,3,3,WR177,WR634,WR700,WR246,WR395,WR733,WR34,WR660,WR18,WR436,WR349,WR233,WR438,WR799,WR46,WR30,WR531,WR813,WR511,6,3,3,7,5,5,7,5,6,2,3,1,4,7,4,2,2,4,1,3,3,3,1,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3
WR7,0.252845107,0.186710225,0.541666667,5,2,3,WR969,WR248,WR519,WR216,WR419,WR662,WR531,WR239,WR986,WR708,WR786,WR59,WR796,WR698,WR238,WR17,WR18,WR648,WR159,3,4,1,0,2,4,2,7,2,2,2,3,5,2,4,4,6,7,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,0,3
WR8,0.070869166,-0.28411582,0.589147287,5,2,3,WR887,WR574,WR397,WR639,WR479,WR924,WR241,WR515,WR226,WR393,WR714,WR999,WR83,WR532,WR296,WR829,WR366,WR575,WR619,7,3,0,7,2,3,1,4,2,7,6,7,4,7,6,1,4,0,3,2,3,3,2,3,3,3,3,3,2,3,1,3,1,3,3,3,3,3
WR9,-0.032543851,-0.321072197,0.477477477,3,0,3,WR845,WR256,WR853,WR163,WR473,WR829,WR725,WR83,WR156,WR493,WR774,WR325,WR609,WR217,WR479,WR237,WR886,WR569,WR541,4,4,1,4,2,1,1,4,3,4,7,3,2,2,2,0,7,0,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3
WR10,0.171699239,0.210760429,0.592307692,8,5,3,WR892,WR85,WR648,WR835,WR17,WR284,WR37,WR698,WR255,WR239,WR464,WR647,WR213,WR437,WR495,WR796,WR930,WR159,WR503,5,2,7,3,4,2,5,2,0,7,3,2,4,6,1,5,4,3,7,3,3,0,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1
WR11,-0.291820633,-0.19395308,0.427184466,7,4,3,WR344,WR252,WR474,WR198,WR302,WR762,WR852,WR185,WR622,WR309,WR949,WR557,WR328,WR839,WR517,WR316,WR58,WR947,WR868,2,1,3,4,1,4,7,2,2,2,1,5,1,1,0,0,3,1,0,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
WR12,-0.129569705,-0.330709557,0.491071429,4,1,3,WR35,WR805,WR849,WR569,WR229,WR399,WR217,WR538,WR404,WR318,WR725,WR926,WR974,WR69,WR483,WR609,WR439,WR473,WR985,5,0,5,0,5,0,2,5,2,7,1,7,4,1,2,2,3,2,1,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3
WR13,0.503016238,-0.043780355,0.52991453,7,4,3,WR53,WR268,WR23,WR554,WR55,WR663,WR572,WR958,WR154,WR571,WR530,WR905,WR445,WR336,WR194,WR21,WR231,WR761,WR718,7,0,4,1,6,2,7,3,4,0,2,3,2,4,0,6,6,1,0,0,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
WR14,-0.126476829,-0.105090734,0.537190083,4,1,3,WR747,WR585,WR125,WR788,WR691,WR91,WR428,WR454,WR751,WR506,WR491,WR640,WR408,WR234,WR533,WR929,WR921,WR374,WR885,3,4,4,1,4,3,7,4,3,1,4,3,1,2,4,7,0,2,7,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,2
WR15,0.057617948,-0.035937835,0.621428571,6,3,3,WR299,WR645,WR5,WR559,WR688,WR353,WR940,WR227,WR204,WR220,WR62,WR817,WR277,WR816,WR244,WR741,WR644,WR686,WR289,2,4,3,1,4,2,5,7,6,3,4,5,2,6,5,7,4,7,7,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,1,2
WR16,-0.256842116,-0.012849538,0.556451613,6,3,3,WR295,WR245,WR672,WR136,WR49,WR392,WR409,WR704,WR861,WR173,WR470,WR1,WR360,WR667,WR398,WR706,WR765,WR723,WR403,7,1,1,2,3,0,0,6,1,7,6,5,7,3,3,4,2,3,5,0,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3
WR17,0.197238901,0.19343672,0.545454545,7,4,3,WR648,WR239,WR892,WR698,WR796,WR10,WR85,WR519,WR464,WR969,WR835,WR216,WR7,WR159,WR37,WR59,WR284,WR248,WR255,7,7,5,2,5,5,2,1,3,3,3,0,2,3,5,3,2,4,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR18,0.308607535,0.177729489,0.524590164,9,6,3,WR531,WR733,WR246,WR436,WR419,WR6,WR634,WR813,WR890,WR248,WR7,WR349,WR30,WR708,WR662,WR969,WR177,WR238,WR216,2,5,7,2,2,3,3,4,0,4,2,3,2,2,4,3,6,4,0,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR19,-0.016668029,0.201835557,0.453703704,4,1,3,WR684,WR782,WR394,WR165,WR742,WR802,WR711,WR111,WR236,WR778,WR771,WR446,WR627,WR110,WR773,WR283,WR544,WR364,WR981,4,3,0,2,2,6,0,1,7,0,1,2,0,4,2,6,5,2,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
WR20,-0.073906434,0.109826085,0.525423729,4,1,3,WR178,WR207,WR54,WR952,WR699,WR595,WR668,WR123,WR492,WR529,WR897,WR576,WR362,WR465,WR197,WR863,WR135,WR567,WR988,2,1,2,6,2,2,2,7,2,5,3,2,4,4,7,2,2,1,5,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3
WR21,0.397843184,0.017150676,0.573643411,9,6,3,WR674,WR745,WR571,WR150,WR231,WR905,WR63,WR602,WR583,WR663,WR958,WR878,WR572,WR307,WR336,WR715,WR850,WR754,WR534,5,3,0,1,6,3,7,0,7,2,3,3,7,4,4,5,4,4,0,3,3,3,3,3,3,1,3,2,3,3,3,1,3,3,3,3,3,3
WR22,0.235828215,-0.1053047,0.504273504,7,4,3,WR73,WR208,WR368,WR841,WR923,WR866,WR790,WR894,WR183,WR2,WR791,WR980,WR945,WR792,WR833,WR209,WR793,WR913,WR466,6,0,6,1,2,7,1,1,2,3,2,1,7,6,4,3,0,3,0,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3
WR23,0.561619517,-0.058890541,0.490740741,7,4,3,WR53,WR13,WR55,WR554,WR268,WR194,WR530,WR572,WR663,WR154,WR958,WR571,WR905,WR442,WR445,WR336,WR132,WR761,WR827,7,4,6,1,0,0,2,7,2,4,3,0,3,0,2,4,1,1,2,0,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
