ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WU1,-0.015844932,0.368622798,0.524590164,4,1,3,WU777,WU89,WU110,WU759,WU726,WU84,WU338,WU427,WU67,WU738,WU968,WU288,WU290,WU284,WU194,WU841,WU34,WU911,WU796,2,4,3,5,0,2,4,6,1,7,0,3,2,5,7,0,4,3,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3
WU2,0.007767831,-0.086063132,0.521367521,9,7,2,WU552,WU274,WU554,WU966,WU908,WU278,WU927,WU888,WU498,WU988,WU384,WU650,WU403,WU173,WU220,WU742,WU239,WU256,WU907,1,2,5,7,6,7,0,4,1,3,1,2,1,1,2,5,1,2,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
WU3,0.256148009,-0.034609256,0.548387097,7,4,3,WU122,WU948,WU605,WU630,WU415,WU562,WU172,WU268,WU709,WU824,WU106,WU168,WU473,WU926,WU585,WU98,WU75,WU368,WU72,7,0,3,4,1,5,1,2,1,1,4,1,5,7,3,5,7,6,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3
WU4,0.325106296,0.220403931,0.476635514,6,3,3,WU182,WU836,WU248,WU234,WU224,WU5,WU47,WU676,WU51,WU847,WU335,WU578,WU130,WU469,WU454,WU198,WU662,WU590,WU279,7,4,5,0,0,2,4,2,2,0,5,1,2,7,4,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3
WU5,0.262911747,0.207455083,0.537190083,5,2,3,WU51,WU676,WU47,WU662,WU836,WU234,WU590,WU454,WU46,WU272,WU130,WU469,WU724,WU224,WU795,WU176,WU4,WU248,WU985,2,2,4,1,4,0,1,4,4,6,2,7,3,0,3,7,3,5,5,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,2,3,3,3
WU6,-0.221062656,0.053039073,0.473684211,7,4,3,WU819,WU187,WU987,WU22,WU547,WU300,WU92,WU950,WU667,WU242,WU703,WU553,WU710,WU311,WU698,WU541,WU931,WU142,WU788,0,1,2,2,4,4,3,1,1,5,3,6,3,6,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU7,-0.047231474,0.156298086,0.633802817,6,3,3,WU641,WU700,WU328,WU244,WU137,WU202,WU215,WU807,WU43,WU452,WU957,WU386,WU129,WU147,WU543,WU228,WU737,WU374,WU174,6,3,4,7,4,5,7,6,3,0,4,7,0,5,5,6,6,2,7,3,3,3,0,3,3,2,3,3,3,3,0,3,3,3,3,3,3,2
WU8,0.14661898,-0.381554919,0.457142857,7,7,0,WU568,WU496,WU998,WU949,WU600,WU417,WU166,WU859,WU305,WU405,WU521,WU79,WU857,WU850,WU826,WU246,WU785,WU829,WU406,2,1,5,4,4,1,2,2,2,5,0,1,1,3,3,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU9,-0.053403727,-0.118502758,0.5,5,2,3,WU747,WU975,WU794,WU206,WU683,WU188,WU866,WU384,WU648,WU863,WU598,WU915,WU627,WU979,WU403,WU510,WU332,WU966,WU36,2,4,1,1,7,3,2,1,2,4,3,6,4,1,1,1,3,7,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3
WU10,-0.046164055,0.017576949,0.637681159,5,2,3,WU548,WU266,WU149,WU313,WU134,WU487,WU664,WU503,WU170,WU53,WU212,WU459,WU470,WU143,WU252,WU519,WU997,WU93,WU509,3,2,7,3,7,7,3,5,4,3,6,5,2,4,7,5,7,2,4,3,3,2,3,0,0,3,3,3,3,3,3,3,3,1,3,2,3,3
