ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BR1,-0.037702722,-0.186499191,0.553719008,7,4,3,BR596,BR646,BR384,BR263,BR996,BR561,BR549,BR305,BR362,BR202,BR420,BR13,BR357,BR520,BR463,BR835,BR298,BR205,BR586,2,1,2,1,3,7,4,2,6,1,2,2,7,7,5,0,2,7,2,3,3,3,3,3,0,3,3,3,3,3,3,2,2,3,3,3,2,3
BR2,0.039614342,-0.268591262,0.524193548,5,2,3,BR428,BR966,BR310,BR638,BR948,BR780,BR862,BR170,BR309,BR307,BR536,BR532,BR164,BR813,BR24,BR389,BR585,BR416,BR681,6,5,4,3,0,4,5,6,4,2,2,7,1,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
BR3,0.01124923,0.401841986,0.556451613,9,6,3,BR593,BR580,BR761,BR924,BR689,BR500,BR701,BR697,BR315,BR452,BR498,BR181,BR358,BR134,BR216,BR881,BR798,BR790,BR405,0,7,1,3,6,1,7,2,0,6,2,7,1,4,3,3,3,2,5,3,2,3,3,3,3,2,3,3,3,3,0,3,3,3,3,3,3,3
BR4,0.33137329,0.07044072,0.521367521,7,4,3,BR17,BR784,BR626,BR986,BR429,BR312,BR299,BR808,BR354,BR950,BR693,BR654,BR961,BR708,BR52,BR876,BR453,BR255,BR209,2,7,2,3,0,3,2,7,0,0,3,2,2,3,7,4,7,0,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3
BR5,-0.225296512,-0.026832634,0.495652174,4,1,3,BR703,BR865,BR692,BR331,BR812,BR630,BR94,BR462,BR910,BR565,BR119,BR183,BR834,BR21,BR551,BR756,BR46,BR154,BR751,4,3,2,3,0,2,1,1,0,6,1,7,7,6,5,4,3,0,1,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3
BR6,0.071280402,0.235547609,0.428571429,5,2,3,BR512,BR800,BR507,BR655,BR339,BR576,BR713,BR40,BR602,BR760,BR907,BR239,BR365,BR558,BR264,BR951,BR144,BR841,BR191,3,2,1,1,2,5,4,4,1,0,2,0,2,0,4,3,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BR7,-0.137847505,-0.273937105,0.477876106,6,3,3,BR673,BR364,BR879,BR443,BR712,BR104,BR53,BR639,BR432,BR744,BR67,BR753,BR242,BR84,BR762,BR116,BR340,BR927,BR272,4,1,0,2,0,4,0,4,0,5,1,3,3,5,3,6,0,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
BR8,0.253606384,-0.156581802,0.525,7,4,3,BR208,BR674,BR953,BR237,BR844,BR778,BR618,BR837,BR682,BR925,BR797,BR39,BR350,BR150,BR678,BR489,BR292,BR139,BR91,5,2,4,3,5,1,1,3,6,1,5,2,2,2,4,1,4,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3
BR9,-0.330844721,-0.060364161,0.614814815,8,5,3,BR457,BR419,BR188,BR277,BR838,BR575,BR192,BR552,BR603,BR528,BR80,BR235,BR10,BR853,BR668,BR392,BR583,BR166,BR704,1,3,1,7,5,7,7,4,1,2,7,4,4,7,3,7,4,2,2,3,3,3,2,3,2,1,3,3,3,2,3,3,2,3,1,3,3,3
BR10,-0.348703828,-0.104367855,0.5703125,7,4,3,BR166,BR552,BR80,BR407,BR419,BR625,BR528,BR9,BR206,BR829,BR192,BR457,BR413,BR583,BR188,BR603,BR478,BR235,BR640,2,4,7,2,3,5,2,5,5,1,7,1,6,4,1,1,7,4,2,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3
