ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
RG1,-0.306347715,0.062313593,0.627737226,4,1,3,RG942,RG958,RG727,RG780,RG614,RG362,RG662,RG418,RG194,RG750,RG972,RG107,RG744,RG165,RG715,RG398,RG670,RG266,RG782,1,5,7,4,6,6,7,2,4,7,5,7,6,2,7,2,2,2,3,3,3,0,3,3,3,0,3,3,2,3,2,3,3,2,3,3,3,3
RG2,-0.051235968,-0.037941338,0.604477612,9,6,3,RG219,RG556,RG518,RG589,RG456,RG764,RG803,RG64,RG76,RG579,RG361,RG890,RG563,RG461,RG438,RG707,RG80,RG214,RG749,3,6,5,3,3,0,4,3,7,0,5,5,2,7,1,5,7,6,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0,3,3,0,3,3
RG3,-0.18623563,-0.21499375,0.659722222,8,7,1,RG258,RG166,RG844,RG55,RG609,RG821,RG856,RG106,RG390,RG710,RG708,RG495,RG359,RG820,RG295,RG732,RG770,RG424,RG311,6,7,7,7,1,7,5,3,7,4,3,7,2,7,4,0,4,4,3,3,2,2,2,3,1,3,3,2,3,3,1,3,2,3,3,3,3,3
RG4,-0.019338813,-0.146916667,0.624113475,5,2,3,RG233,RG679,RG242,RG282,RG199,RG364,RG216,RG944,RG253,RG968,RG367,RG215,RG152,RG41,RG53,RG520,RG858,RG50,RG779,3,4,4,4,2,3,3,7,3,1,2,7,7,7,6,6,6,5,6,3,3,3,3,3,3,3,1,3,3,3,1,1,2,3,3,3,3,3
RG5,-0.255618072,-0.103601516,0.604477612,6,3,3,RG868,RG437,RG342,RG345,RG621,RG54,RG469,RG700,RG815,RG280,RG332,RG685,RG810,RG11,RG562,RG498,RG252,RG607,RG799,2,3,7,7,7,2,4,7,2,2,2,5,4,3,6,1,7,3,4,3,3,1,2,2,3,3,1,3,3,3,3,3,3,3,3,2,3,3
RG6,-0.093760716,-0.048178879,0.578125,4,1,3,RG707,RG890,RG669,RG848,RG803,RG456,RG825,RG556,RG219,RG764,RG318,RG999,RG786,RG819,RG515,RG121,RG2,RG76,RG267,5,5,3,7,4,3,5,6,3,0,3,1,2,7,1,1,6,7,4,3,3,3,1,3,3,3,3,3,3,3,3,3,0,3,3,3,2,3
RG7,0.159384614,0.144676061,0.546218487,8,7,1,RG719,RG244,RG949,RG441,RG625,RG227,RG237,RG179,RG789,RG634,RG804,RG307,RG926,RG742,RG960,RG243,RG36,RG472,RG814,0,0,7,3,1,0,5,3,2,1,7,7,6,4,5,5,0,1,1,3,3,2,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3
RG8,0.233277869,0.070173385,0.607407407,9,7,2,RG206,RG1000,RG630,RG370,RG730,RG529,RG554,RG934,RG766,RG926,RG224,RG457,RG606,RG906,RG789,RG804,RG313,RG787,RG625,5,3,5,3,7,3,2,3,5,6,7,6,3,1,2,7,3,3,1,3,3,3,3,2,3,3,3,3,3,0,3,3,3,3,1,3,3,3
RG9,-0.241924512,0.18408351,0.607407407,5,2,3,RG619,RG793,RG878,RG833,RG884,RG302,RG632,RG467,RG415,RG941,RG19,RG427,RG232,RG936,RG127,RG697,RG79,RG298,RG724,2,6,3,5,2,3,7,5,3,7,1,0,5,7,5,6,7,3,3,3,3,3,3,3,3,2,3,3,0,3,3,3,2,3,3,1,3,3
RG10,0.191082464,-0.164204061,0.508333333,6,3,3,RG141,RG790,RG807,RG877,RG265,RG918,RG612,RG207,RG339,RG245,RG205,RG513,RG363,RG65,RG408,RG157,RG547,RG959,RG806,5,6,1,4,1,5,1,2,1,2,2,0,5,3,3,1,7,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
RG11,-0.20739003,-0.085716079,0.68,6,3,3,RG402,RG161,RG709,RG700,RG142,RG621,RG93,RG799,RG530,RG263,RG562,RG671,RG979,RG674,RG189,RG815,RG231,RG5,RG82,2,6,7,7,7,7,7,4,4,7,6,4,6,7,6,2,1,3,6,3,3,1,1,1,2,2,3,3,1,3,3,3,1,3,3,3,3,3
