ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UB1,-0.319094129,0.124541611,0.527272727,4,1,3,UB319,UB526,UB237,UB949,UB891,UB459,UB438,UB873,UB169,UB846,UB831,UB98,UB790,UB803,UB740,UB828,UB71,UB465,UB478,2,2,1,4,7,0,7,3,0,0,3,0,3,2,5,3,7,7,1,3,3,3,3,0,3,2,3,3,3,3,3,3,3,3,3,2,0,3
UB2,-0.306788638,-0.046729656,0.531746032,6,3,3,UB961,UB318,UB252,UB407,UB717,UB138,UB823,UB819,UB969,UB89,UB553,UB880,UB6,UB278,UB217,UB683,UB329,UB354,UB962,1,3,4,1,7,3,4,2,2,4,1,5,5,5,5,3,4,4,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB3,-0.022705338,0.025505743,0.561538462,6,3,3,UB636,UB864,UB243,UB881,UB736,UB964,UB84,UB175,UB656,UB967,UB155,UB779,UB292,UB416,UB862,UB563,UB119,UB726,UB716,6,4,1,6,3,3,2,3,7,2,5,1,2,3,6,4,0,7,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3
UB4,-0.12575671,-0.415905865,0.573770492,8,5,3,UB972,UB998,UB594,UB863,UB233,UB477,UB166,UB942,UB704,UB762,UB948,UB44,UB807,UB800,UB654,UB297,UB40,UB381,UB267,0,4,4,0,7,4,1,4,0,7,7,1,5,4,3,7,0,3,4,3,3,3,3,0,3,3,3,3,2,0,3,3,3,3,2,3,3,3
UB5,0.043806922,-0.033076274,0.482758621,7,4,3,UB933,UB743,UB770,UB994,UB834,UB867,UB552,UB842,UB346,UB862,UB231,UB606,UB810,UB809,UB197,UB584,UB583,UB49,UB290,2,4,0,2,1,5,0,3,4,6,3,1,0,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB6,-0.343830052,-0.017827574,0.5,8,5,3,UB819,UB962,UB256,UB278,UB880,UB730,UB808,UB969,UB761,UB901,UB446,UB981,UB2,UB934,UB680,UB318,UB961,UB407,UB604,2,1,7,5,5,1,5,2,0,1,4,3,3,4,2,3,1,1,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB7,-0.112652273,-0.02827021,0.468468468,6,3,3,UB151,UB468,UB555,UB889,UB218,UB43,UB127,UB749,UB415,UB801,UB96,UB130,UB282,UB506,UB665,UB833,UB744,UB471,UB482,1,2,5,1,2,4,0,7,3,0,2,5,4,4,0,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
UB8,0.080559554,0.361284928,0.504201681,8,5,3,UB784,UB919,UB621,UB433,UB182,UB222,UB569,UB850,UB886,UB401,UB220,UB667,UB844,UB311,UB47,UB101,UB984,UB718,UB394,5,7,0,4,3,3,3,6,1,4,0,5,2,4,2,0,2,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB9,0.35233,-0.265665268,0.459459459,5,2,3,UB74,UB580,UB802,UB869,UB255,UB558,UB313,UB429,UB165,UB763,UB443,UB525,UB723,UB719,UB773,UB234,UB342,UB581,UB55,4,1,5,6,4,4,1,3,0,2,2,3,1,2,5,0,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB10,-0.353814209,0.228909195,0.504587156,7,7,0,UB300,UB696,UB476,UB360,UB230,UB38,UB388,UB169,UB909,UB846,UB831,UB938,UB635,UB949,UB390,UB11,UB465,UB432,UB319,2,3,2,1,0,3,2,0,4,0,3,6,4,4,1,2,7,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3
UB11,-0.273958777,0.199929529,0.6,5,2,3,UB432,UB938,UB721,UB909,UB465,UB404,UB52,UB914,UB706,UB38,UB597,UB589,UB831,UB596,UB459,UB191,UB388,UB588,UB855,2,6,3,4,7,7,2,3,4,3,7,6,3,6,0,3,2,7,4,3,3,3,3,0,2,3,3,3,3,2,3,3,3,3,3,3,2,3
UB12,0.269427955,-0.153502472,0.536585366,4,1,3,UB28,UB210,UB946,UB136,UB248,UB180,UB668,UB737,UB135,UB772,UB769,UB723,UB363,UB234,UB322,UB559,UB86,UB685,UB729,5,3,7,7,0,4,1,3,7,5,1,1,0,0,2,6,4,3,6,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
UB13,0.106512027,0.174833081,0.439252336,7,4,3,UB495,UB502,UB857,UB276,UB595,UB193,UB470,UB439,UB456,UB814,UB794,UB31,UB203,UB517,UB162,UB64,UB15,UB611,UB201,2,4,1,0,4,3,2,1,4,1,2,6,1,3,3,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UB14,0.646475804,-0.024863892,0.423076923,5,2,3,UB177,UB626,UB756,UB196,UB916,UB440,UB51,UB53,UB507,UB345,UB420,UB421,UB682,UB102,UB179,UB713,UB798,UB133,UB955,5,0,4,2,6,1,3,4,1,2,1,2,1,3,1,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
