ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UG1,-0.073582481,0.299737651,0.457943925,3,0,3,UG504,UG125,UG433,UG293,UG468,UG206,UG121,UG647,UG526,UG482,UG890,UG41,UG889,UG222,UG632,UG873,UG341,UG836,UG528,3,7,2,1,2,1,1,1,1,7,2,2,4,3,0,3,3,4,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
UG2,0.082783852,-0.131189367,0.537190083,7,4,3,UG658,UG217,UG252,UG286,UG610,UG692,UG416,UG322,UG17,UG968,UG989,UG884,UG797,UG973,UG636,UG306,UG96,UG49,UG705,5,7,2,2,3,3,0,0,2,5,4,7,2,4,6,2,2,2,3,3,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
UG3,-0.252336642,-0.134096845,0.6,4,1,3,UG593,UG714,UG356,UG4,UG33,UG898,UG514,UG109,UG355,UG68,UG930,UG775,UG712,UG803,UG709,UG15,UG207,UG246,UG878,7,4,0,2,3,2,1,4,7,5,7,7,1,7,1,6,6,6,1,2,3,3,3,3,3,3,3,2,3,0,1,3,2,3,3,3,3,3
UG4,-0.244489344,-0.097360567,0.558333333,5,2,3,UG898,UG878,UG709,UG593,UG246,UG714,UG3,UG68,UG827,UG250,UG930,UG914,UG721,UG893,UG364,UG491,UG356,UG798,UG775,2,1,1,7,6,4,1,5,7,4,7,3,2,5,0,0,0,3,7,3,3,3,2,3,3,3,3,2,3,0,3,3,3,3,3,3,3,1
UG5,0.119063653,0.139110194,0.411764706,8,5,3,UG715,UG623,UG371,UG699,UG645,UG740,UG113,UG581,UG72,UG362,UG145,UG851,UG754,UG389,UG409,UG934,UG562,UG480,UG843,2,3,5,0,3,0,0,1,0,1,4,2,0,1,2,2,3,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG6,-0.242183267,0.202083948,0.549180328,5,2,3,UG814,UG363,UG849,UG458,UG966,UG314,UG883,UG202,UG273,UG257,UG223,UG54,UG698,UG60,UG616,UG283,UG527,UG268,UG547,7,7,4,3,7,2,3,5,5,3,1,1,1,6,1,1,1,3,4,2,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG7,0.027425792,0.261256525,0.436893204,7,4,3,UG116,UG271,UG64,UG815,UG533,UG741,UG304,UG689,UG682,UG739,UG367,UG753,UG632,UG890,UG938,UG41,UG412,UG130,UG378,0,3,1,1,3,3,0,2,3,7,5,1,0,2,0,2,2,2,4,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
UG8,-0.232097116,0.018191401,0.473214286,5,2,3,UG151,UG551,UG568,UG811,UG805,UG604,UG708,UG432,UG686,UG565,UG337,UG762,UG786,UG108,UG189,UG928,UG215,UG798,UG266,1,4,2,6,2,1,3,7,6,4,3,5,3,1,0,0,0,3,0,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
UG9,-0.057416247,-0.111582227,0.532786885,6,3,3,UG454,UG301,UG80,UG668,UG489,UG700,UG438,UG601,UG349,UG511,UG822,UG472,UG557,UG380,UG105,UG439,UG340,UG405,UG379,6,2,2,0,4,1,4,1,6,0,0,7,0,7,1,6,4,7,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3
UG10,0.159848546,0.205594674,0.428571429,4,1,3,UG375,UG357,UG245,UG545,UG492,UG856,UG602,UG480,UG847,UG69,UG389,UG392,UG554,UG745,UG851,UG696,UG921,UG716,UG967,0,1,3,4,4,1,4,6,1,3,1,2,4,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG11,-0.126029574,0.204672227,0.524193548,7,4,3,UG953,UG781,UG435,UG776,UG844,UG579,UG430,UG999,UG197,UG330,UG222,UG873,UG268,UG889,UG111,UG836,UG335,UG324,UG529,2,1,4,3,5,6,2,7,0,1,3,3,3,4,3,4,0,4,6,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
UG12,-0.06454855,0.020448129,0.495575221,3,0,3,UG991,UG996,UG879,UG376,UG560,UG944,UG98,UG316,UG486,UG24,UG838,UG463,UG192,UG118,UG613,UG660,UG794,UG55,UG233,4,7,0,7,4,2,5,2,0,5,6,0,1,1,3,1,2,5,1,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG13,0.209915718,-0.193688299,0.482142857,3,0,3,UG894,UG51,UG860,UG449,UG868,UG785,UG549,UG146,UG107,UG327,UG829,UG812,UG319,UG771,UG48,UG701,UG599,UG131,UG783,7,0,1,3,2,6,3,3,0,2,3,0,1,1,6,7,2,6,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
UG14,0.123830435,-0.250447423,0.561538462,4,1,3,UG450,UG993,UG897,UG626,UG278,UG216,UG717,UG163,UG347,UG290,UG1000,UG608,UG857,UG853,UG317,UG955,UG391,UG572,UG765,5,7,7,3,0,5,6,3,5,3,5,3,2,0,0,1,7,6,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
UG15,-0.2922173,-0.171354734,0.554621849,9,6,3,UG514,UG242,UG356,UG832,UG618,UG207,UG578,UG109,UG712,UG609,UG469,UG639,UG3,UG803,UG94,UG930,UG593,UG522,UG904,1,2,0,3,0,6,0,4,1,2,3,6,1,7,2,7,7,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,2,1,3
UG16,0.313677705,-0.099371064,0.536585366,8,5,3,UG574,UG351,UG410,UG147,UG854,UG311,UG332,UG940,UG279,UG888,UG20,UG299,UG323,UG296,UG561,UG417,UG863,UG661,UG135,2,2,7,3,2,4,0,0,5,2,5,4,0,2,7,4,2,4,6,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
UG17,0.053211896,-0.125106637,0.553719008,5,2,3,UG884,UG742,UG286,UG968,UG252,UG303,UG2,UG976,UG755,UG217,UG658,UG249,UG692,UG989,UG744,UG963,UG120,UG306,UG448,7,7,2,5,2,4,4,2,2,7,5,2,3,4,0,2,3,2,2,2,1,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
