ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UR1,-0.163340696,-0.348388772,0.48245614,4,1,3,UR64,UR397,UR619,UR288,UR447,UR526,UR62,UR245,UR670,UR584,UR508,UR911,UR352,UR185,UR341,UR870,UR640,UR510,UR179,2,5,5,6,6,7,0,1,1,3,1,0,1,2,3,1,3,1,6,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
UR2,-0.047860854,-0.151034836,0.662068966,5,2,3,UR412,UR662,UR315,UR538,UR693,UR87,UR125,UR735,UR614,UR979,UR917,UR332,UR97,UR134,UR651,UR91,UR271,UR632,UR626,7,4,1,7,3,3,4,7,3,4,7,7,0,7,5,7,6,5,7,2,3,3,1,3,3,3,1,3,3,2,1,3,2,3,2,3,3,2
UR3,-0.038893573,0.085780373,0.46728972,4,1,3,UR476,UR761,UR16,UR793,UR548,UR5,UR234,UR794,UR937,UR745,UR815,UR605,UR218,UR553,UR38,UR701,UR828,UR226,UR261,6,3,0,0,1,5,1,0,2,4,0,3,1,6,0,7,7,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3
UR4,-0.103393644,0.456640447,0.536585366,3,0,3,UR795,UR991,UR702,UR346,UR6,UR665,UR30,UR336,UR950,UR799,UR166,UR596,UR475,UR893,UR36,UR841,UR339,UR987,UR551,3,5,2,6,3,7,2,4,0,3,1,5,1,7,4,5,3,5,0,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3
UR5,-0.022796336,0.107823782,0.443396226,8,5,3,UR16,UR226,UR38,UR3,UR793,UR948,UR193,UR476,UR745,UR223,UR761,UR937,UR211,UR390,UR234,UR404,UR758,UR920,UR794,0,1,0,1,0,3,7,6,4,0,3,2,5,1,1,2,3,3,0,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
UR6,-0.157474845,0.42987928,0.56097561,6,3,3,UR795,UR346,UR665,UR893,UR475,UR4,UR282,UR950,UR279,UR841,UR194,UR707,UR702,UR991,UR987,UR935,UR457,UR312,UR133,3,6,7,7,1,0,3,0,7,5,1,1,2,5,5,7,5,0,1,3,3,2,1,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3
UR7,-0.322938441,0.077674122,0.528455285,7,4,3,UR420,UR394,UR95,UR577,UR586,UR886,UR676,UR169,UR24,UR334,UR395,UR661,UR601,UR286,UR8,UR33,UR762,UR516,UR885,5,3,2,2,0,5,4,7,1,3,4,4,1,2,5,6,5,1,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
UR8,-0.391337846,0.099767509,0.576642336,8,5,3,UR33,UR886,UR504,UR275,UR394,UR676,UR561,UR544,UR420,UR719,UR577,UR7,UR95,UR775,UR796,UR516,UR984,UR366,UR20,6,5,1,6,3,4,7,3,5,5,2,4,2,4,5,1,3,4,4,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
UR9,-0.108227622,-0.09316003,0.536,6,3,3,UR435,UR58,UR210,UR442,UR980,UR497,UR755,UR241,UR974,UR178,UR837,UR454,UR405,UR608,UR520,UR614,UR736,UR659,UR41,3,2,3,3,4,5,4,7,4,4,2,1,7,0,3,3,5,1,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3
UR10,-0.096425357,0.225538372,0.361702128,4,1,3,UR899,UR764,UR490,UR633,UR667,UR431,UR730,UR590,UR896,UR763,UR477,UR845,UR80,UR26,UR474,UR864,UR840,UR220,UR783,2,1,3,0,1,0,0,3,1,6,1,1,3,4,2,4,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR11,-0.170254824,-0.226805336,0.525862069,4,1,3,UR398,UR568,UR106,UR240,UR588,UR77,UR821,UR208,UR741,UR393,UR262,UR207,UR640,UR57,UR189,UR721,UR530,UR637,UR124,3,7,0,2,3,7,3,3,7,2,2,0,3,2,5,4,1,6,0,3,1,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3
UR12,0.295766792,-0.087363796,0.5,9,6,3,UR502,UR436,UR485,UR49,UR956,UR776,UR814,UR918,UR348,UR617,UR83,UR299,UR519,UR110,UR362,UR954,UR428,UR725,UR512,1,3,2,2,1,4,4,1,4,4,7,5,5,2,4,2,1,0,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
UR13,0.036639069,0.011960762,0.516949153,4,1,3,UR572,UR259,UR813,UR72,UR191,UR351,UR580,UR389,UR402,UR214,UR919,UR971,UR48,UR831,UR93,UR505,UR982,UR132,UR142,4,6,5,2,3,0,2,6,0,3,7,4,4,0,0,3,4,1,6,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3
UR14,0.231503921,0.148285966,0.573770492,3,0,3,UR648,UR345,UR644,UR593,UR666,UR975,UR685,UR29,UR481,UR904,UR119,UR811,UR480,UR555,UR625,UR610,UR514,UR912,UR392,2,1,2,2,7,5,4,1,6,7,1,7,4,3,1,0,3,7,7,3,3,3,3,2,3,3,3,3,0,3,1,3,3,3,3,3,2,2
UR15,-0.680314378,0.374658462,0.481818182,5,2,3,UR167,UR628,UR939,UR489,UR46,UR843,UR539,UR101,UR248,UR66,UR272,UR524,UR570,UR697,UR771,UR589,UR196,UR650,UR775,0,0,7,1,1,4,1,0,3,7,0,6,2,2,5,2,4,2,4,3,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
