ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WB1,-0.035002863,0.498154898,0.451923077,8,7,1,WB908,WB713,WB867,WB310,WB783,WB265,WB981,WB774,WB399,WB131,WB350,WB943,WB784,WB59,WB275,WB341,WB762,WB423,WB52,1,3,4,3,2,7,1,1,0,3,2,0,1,1,1,3,2,1,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
WB2,-0.319074963,-0.286335621,0.452830189,4,1,3,WB311,WB459,WB626,WB903,WB468,WB376,WB785,WB801,WB936,WB864,WB502,WB887,WB520,WB620,WB28,WB279,WB765,WB810,WB869,1,2,7,0,3,1,4,3,2,2,2,1,5,6,0,2,4,2,0,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WB3,-0.019131121,-0.200551526,0.596899225,9,7,2,WB397,WB639,WB674,WB950,WB236,WB354,WB42,WB696,WB832,WB194,WB212,WB899,WB534,WB333,WB533,WB332,WB483,WB142,WB451,3,3,4,0,3,5,2,7,7,3,3,2,2,3,2,7,4,7,3,3,3,3,3,3,3,3,0,1,3,3,3,3,3,3,2,3,2,3
WB4,0.244379174,-0.102784801,0.602941176,6,3,3,WB768,WB857,WB914,WB258,WB956,WB9,WB894,WB247,WB915,WB547,WB88,WB82,WB618,WB657,WB24,WB934,WB54,WB505,WB220,4,7,4,0,7,4,2,6,5,4,4,6,2,3,3,7,3,1,7,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,1
WB5,0.091764388,0.106323652,0.666666667,8,5,3,WB991,WB737,WB913,WB701,WB308,WB688,WB771,WB234,WB461,WB715,WB632,WB951,WB375,WB262,WB508,WB905,WB138,WB917,WB529,2,4,7,7,3,6,5,7,7,6,5,7,2,7,3,7,2,4,6,3,3,2,2,3,3,3,2,0,3,3,2,3,2,3,2,3,3,3
WB6,-0.199558413,0.079183771,0.595419847,6,3,3,WB717,WB359,WB789,WB327,WB564,WB667,WB968,WB19,WB15,WB706,WB949,WB659,WB866,WB267,WB825,WB393,WB115,WB560,WB66,2,5,4,4,6,7,0,3,7,2,4,2,7,7,4,1,5,1,4,3,3,3,3,3,0,3,3,2,3,3,3,2,1,3,3,3,3,3
WB7,-0.088053391,0.241306265,0.477477477,3,0,3,WB485,WB197,WB763,WB412,WB102,WB362,WB11,WB140,WB218,WB686,WB592,WB823,WB623,WB940,WB249,WB76,WB414,WB902,WB444,3,5,2,2,2,6,2,2,4,3,1,7,2,3,0,1,2,2,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
WB8,0.004088458,-0.091249289,0.544,4,1,3,WB97,WB872,WB881,WB778,WB400,WB418,WB211,WB652,WB158,WB985,WB474,WB41,WB692,WB252,WB365,WB874,WB617,WB845,WB164,6,5,4,2,4,1,3,7,4,4,1,1,3,5,5,3,2,1,6,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3
WB9,0.264483981,-0.115226185,0.613138686,7,4,3,WB956,WB657,WB857,WB4,WB768,WB88,WB894,WB220,WB934,WB258,WB739,WB247,WB24,WB505,WB547,WB54,WB914,WB493,WB915,7,3,7,3,4,4,2,7,7,0,3,6,3,1,4,3,4,7,5,2,3,1,3,3,3,3,1,2,3,3,3,3,3,3,3,3,2,3
WB10,-0.341337518,-0.137589208,0.579365079,6,3,3,WB687,WB133,WB467,WB523,WB162,WB515,WB518,WB260,WB103,WB338,WB120,WB31,WB640,WB381,WB520,WB98,WB931,WB226,WB665,5,1,7,0,7,2,2,3,6,5,5,4,4,3,5,7,1,2,1,3,3,0,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3
WB11,-0.067849957,0.276038714,0.516949153,5,2,3,WB940,WB485,WB218,WB763,WB823,WB7,WB320,WB412,WB861,WB608,WB197,WB102,WB999,WB273,WB522,WB414,WB68,WB503,WB146,3,3,4,2,7,0,3,2,3,2,5,2,7,6,4,2,0,2,2,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3
WB12,0.077126468,-0.103278701,0.60483871,3,0,3,WB731,WB470,WB48,WB824,WB562,WB576,WB363,WB388,WB617,WB727,WB72,WB44,WB209,WB453,WB474,WB25,WB880,WB854,WB606,3,6,7,3,2,1,2,2,2,7,7,7,4,7,1,5,3,1,5,3,3,1,3,3,3,3,3,3,2,0,1,3,0,3,3,3,3,3
