ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WG1,-0.116308965,0.091195893,0.516393443,8,5,3,WG414,WG884,WG877,WG731,WG182,WG399,WG745,WG148,WG806,WG495,WG604,WG864,WG813,WG209,WG504,WG37,WG827,WG354,WG215,5,4,3,2,3,6,4,1,1,0,0,2,3,7,4,3,6,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
WG2,0.356467035,-0.070850143,0.50862069,7,4,3,WG433,WG778,WG307,WG868,WG777,WG358,WG943,WG390,WG131,WG620,WG150,WG439,WG990,WG85,WG688,WG671,WG376,WG894,WG83,4,5,1,7,3,7,0,1,4,2,2,6,1,4,3,2,2,0,1,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
WG3,0.094756668,-0.014876338,0.626760563,9,7,2,WG345,WG685,WG911,WG63,WG858,WG561,WG942,WG796,WG256,WG634,WG9,WG863,WG234,WG910,WG926,WG317,WG208,WG475,WG11,3,4,5,7,5,1,5,0,4,7,5,0,7,6,5,3,7,1,7,3,3,3,2,3,3,3,3,3,2,3,3,1,3,3,3,2,3,2
WG4,-0.201683621,-0.288228663,0.533333333,6,3,3,WG768,WG558,WG862,WG589,WG213,WG840,WG465,WG383,WG311,WG993,WG773,WG730,WG956,WG222,WG84,WG849,WG742,WG929,WG515,2,7,4,3,7,1,3,3,3,6,4,7,0,4,2,0,2,2,1,3,2,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WG5,0.210626839,-0.004841782,0.587301587,7,4,3,WG739,WG423,WG8,WG642,WG694,WG948,WG494,WG152,WG189,WG96,WG816,WG394,WG117,WG454,WG40,WG959,WG753,WG986,WG750,1,5,1,1,2,3,5,2,2,4,3,7,7,7,1,7,2,3,7,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,1,3,3,1
WG6,0.215201331,0.2259432,0.576,3,0,3,WG244,WG343,WG736,WG170,WG709,WG534,WG692,WG895,WG759,WG614,WG539,WG883,WG154,WG958,WG830,WG626,WG957,WG468,WG544,1,0,5,4,1,7,2,5,0,2,2,7,7,6,3,1,7,5,7,3,3,3,3,3,2,3,3,3,3,3,0,2,3,3,3,2,3,2
WG7,0.268804811,0.364824974,0.572519084,5,2,3,WG330,WG13,WG427,WG717,WG417,WG315,WG826,WG938,WG767,WG19,WG239,WG695,WG563,WG106,WG21,WG957,WG1000,WG287,WG91,4,7,2,3,0,5,1,0,6,2,3,2,6,6,7,7,4,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3
WG8,0.204149578,-0.019642377,0.559055118,4,1,3,WG948,WG5,WG816,WG394,WG454,WG152,WG739,WG423,WG694,WG986,WG642,WG189,WG494,WG753,WG316,WG96,WG861,WG487,WG385,3,4,3,7,7,2,1,5,2,3,1,2,5,2,6,4,0,7,6,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WG9,0.07404606,-0.043570807,0.585185185,8,5,3,WG475,WG858,WG166,WG561,WG246,WG208,WG911,WG845,WG685,WG898,WG658,WG942,WG593,WG74,WG256,WG3,WG983,WG345,WG507,1,5,6,1,4,7,5,3,4,6,1,5,7,4,4,7,1,3,0,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,2,3,3,3
WG10,0.077605558,-0.415626961,0.571428571,5,2,3,WG195,WG236,WG18,WG844,WG451,WG988,WG698,WG81,WG693,WG233,WG20,WG788,WG255,WG250,WG426,WG949,WG70,WG794,WG953,0,0,4,7,7,0,2,3,4,4,7,0,7,3,7,4,0,6,5,3,3,3,2,2,3,3,3,3,3,1,3,2,3,2,3,3,3,3
WG11,0.139818342,-0.007461281,0.61971831,9,7,2,WG317,WG634,WG217,WG203,WG796,WG234,WG665,WG557,WG316,WG385,WG910,WG207,WG257,WG408,WG181,WG345,WG152,WG63,WG432,3,7,5,4,0,7,3,6,6,6,6,1,5,0,7,3,2,7,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,2,3
WG12,0.089037101,0.194075423,0.598425197,6,3,3,WG56,WG799,WG689,WG286,WG577,WG409,WG296,WG690,WG430,WG455,WG204,WG751,WG836,WG723,WG518,WG922,WG569,WG657,WG865,3,3,3,2,4,7,4,4,4,3,1,7,2,0,7,7,4,7,1,3,3,3,3,3,2,3,3,3,3,3,2,3,3,1,1,3,0,3
WG13,0.260995373,0.327234866,0.552,9,7,2,WG315,WG7,WG717,WG330,WG826,WG957,WG767,WG239,WG695,WG563,WG91,WG759,WG417,WG427,WG170,WG21,WG664,WG287,WG626,5,2,3,4,1,7,6,3,2,6,5,0,0,2,4,7,1,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3
WG14,0.183680091,-0.584327611,0.46728972,3,0,3,WG496,WG757,WG70,WG969,WG988,WG896,WG667,WG698,WG236,WG250,WG255,WG451,WG10,WG195,WG381,WG814,WG368,WG844,WG18,0,5,0,0,0,5,0,2,0,3,7,7,2,0,1,5,2,7,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3
WG15,-0.11698246,0.317571312,0.485981308,4,1,3,WG327,WG196,WG122,WG214,WG647,WG61,WG760,WG822,WG811,WG167,WG65,WG748,WG82,WG977,WG545,WG677,WG288,WG230,WG79,7,2,0,3,0,1,3,0,7,7,1,0,3,3,4,0,6,2,2,2,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3
WG16,-0.043260257,-0.243649482,0.597122302,5,2,3,WG479,WG415,WG238,WG477,WG586,WG921,WG876,WG536,WG909,WG413,WG596,WG240,WG59,WG505,WG752,WG747,WG548,WG231,WG285,7,5,3,2,0,4,4,7,1,7,3,7,3,6,6,4,4,4,4,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3
WG17,0.094258685,0.108394468,0.598425197,7,4,3,WG310,WG866,WG326,WG404,WG657,WG922,WG963,WG631,WG615,WG821,WG851,WG488,WG425,WG737,WG597,WG422,WG707,WG791,WG786,7,0,7,2,7,7,0,3,7,1,5,0,4,3,5,5,2,2,5,2,3,1,3,0,1,3,3,2,3,3,3,3,3,3,3,3,3,3
WG18,0.034869498,-0.422986064,0.557377049,7,4,3,WG233,WG10,WG426,WG20,WG693,WG236,WG195,WG988,WG255,WG313,WG949,WG794,WG844,WG788,WG451,WG134,WG32,WG698,WG81,4,2,7,7,4,0,0,0,7,1,4,6,7,0,7,1,2,2,3,3,3,2,1,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3
