ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WR1,-0.499008415,-0.027222862,0.421568627,8,5,3,WR870,WR381,WR64,WR37,WR809,WR981,WR987,WR847,WR835,WR902,WR956,WR527,WR181,WR388,WR893,WR702,WR615,WR833,WR606,3,0,0,3,0,5,2,1,5,1,5,7,0,2,0,2,1,1,0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WR2,0.016542798,-0.333573628,0.57480315,6,3,3,WR439,WR772,WR848,WR492,WR731,WR83,WR787,WR958,WR18,WR473,WR352,WR960,WR517,WR866,WR208,WR77,WR291,WR150,WR379,2,7,3,2,4,3,3,3,2,7,7,4,6,0,2,3,1,5,6,3,0,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3
WR3,0.114993797,0.008266729,0.595238095,5,2,3,WR303,WR312,WR178,WR722,WR869,WR972,WR445,WR912,WR218,WR900,WR704,WR589,WR406,WR844,WR988,WR607,WR268,WR838,WR325,2,5,4,3,2,7,7,2,3,7,5,4,7,1,2,1,3,6,2,3,3,3,3,3,2,0,3,3,0,3,3,1,3,3,3,3,3,3
WR4,-0.086192208,-0.118091134,0.633093525,9,6,3,WR852,WR180,WR344,WR692,WR273,WR367,WR314,WR15,WR724,WR425,WR437,WR519,WR399,WR825,WR387,WR442,WR136,WR997,WR798,3,0,1,7,2,2,5,7,3,3,7,7,3,7,7,4,4,5,5,3,3,3,2,3,3,3,2,3,3,2,1,3,0,2,3,3,3,3
WR5,0.340441702,0.163091588,0.530973451,4,1,3,WR85,WR483,WR984,WR289,WR582,WR97,WR41,WR975,WR650,WR98,WR513,WR431,WR54,WR186,WR168,WR91,WR862,WR495,WR510,3,4,4,3,2,7,2,3,0,1,2,4,1,3,0,7,2,7,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,0,3
WR6,0.085249381,-0.102095337,0.601449275,6,3,3,WR617,WR470,WR906,WR883,WR873,WR449,WR937,WR204,WR471,WR134,WR245,WR450,WR708,WR333,WR369,WR641,WR454,WR720,WR670,1,7,7,7,5,4,6,5,6,1,2,5,4,4,1,7,3,1,4,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
WR7,0.36933935,0.006175889,0.49122807,7,4,3,WR456,WR318,WR310,WR755,WR828,WR541,WR266,WR362,WR628,WR467,WR46,WR154,WR464,WR936,WR92,WR676,WR918,WR662,WR572,4,5,1,1,4,6,0,0,5,3,0,2,1,7,4,5,4,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
WR8,-0.392056108,-0.185234586,0.561538462,5,2,3,WR740,WR94,WR393,WR659,WR932,WR525,WR213,WR660,WR251,WR661,WR664,WR741,WR922,WR509,WR226,WR311,WR706,WR750,WR138,5,7,3,2,6,1,2,4,6,6,1,2,4,3,4,1,4,5,5,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR9,0.329619682,-0.274744076,0.583333333,4,1,3,WR648,WR596,WR535,WR551,WR894,WR639,WR530,WR961,WR162,WR917,WR601,WR39,WR543,WR390,WR620,WR587,WR414,WR588,WR800,2,2,6,3,7,3,2,4,4,2,7,7,6,2,7,3,6,0,3,3,3,3,3,2,3,3,3,3,3,1,2,3,3,2,3,3,3,3
WR10,-0.156904038,0.431894932,0.532786885,7,4,3,WR684,WR764,WR125,WR792,WR907,WR32,WR985,WR716,WR417,WR484,WR144,WR93,WR202,WR35,WR514,WR989,WR888,WR501,WR90,2,7,1,1,1,6,4,6,4,1,2,1,6,1,4,3,1,3,7,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
WR11,-0.205069916,0.302795782,0.545454545,8,5,3,WR17,WR824,WR246,WR801,WR746,WR989,WR714,WR796,WR144,WR716,WR570,WR415,WR417,WR202,WR976,WR586,WR832,WR783,WR718,4,1,3,2,3,3,4,2,2,6,4,5,4,6,4,1,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR12,0.329689863,0.509893854,0.461538462,4,1,3,WR293,WR548,WR199,WR43,WR771,WR891,WR939,WR565,WR941,WR231,WR216,WR331,WR441,WR339,WR668,WR632,WR277,WR396,WR112,7,3,1,3,2,2,1,0,4,7,0,0,0,2,4,0,5,1,5,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
WR13,0.049484322,0.281044292,0.611940299,4,1,3,WR80,WR153,WR100,WR758,WR729,WR687,WR651,WR60,WR327,WR511,WR590,WR532,WR149,WR191,WR635,WR111,WR550,WR322,WR691,0,1,6,7,2,7,4,4,1,7,4,4,2,4,7,7,6,5,3,3,3,3,2,3,1,3,3,3,2,3,3,3,3,1,1,3,3,3
WR14,-0.047867937,-0.37851575,0.556390977,8,5,3,WR517,WR150,WR622,WR958,WR18,WR358,WR489,WR254,WR291,WR848,WR432,WR904,WR498,WR787,WR208,WR356,WR2,WR996,WR610,6,5,5,3,2,3,5,7,1,3,6,2,2,3,2,3,3,2,6,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
WR15,-0.066803452,-0.078935518,0.627586207,9,7,2,WR437,WR273,WR692,WR959,WR730,WR193,WR314,WR908,WR180,WR466,WR399,WR4,WR139,WR724,WR455,WR173,WR520,WR804,WR31,7,2,7,7,3,4,5,4,0,1,3,6,6,3,7,5,4,5,5,2,3,2,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
WR16,-0.158641242,0.226366158,0.528455285,7,4,3,WR96,WR121,WR45,WR570,WR621,WR680,WR832,WR686,WR714,WR770,WR469,WR955,WR145,WR128,WR117,WR796,WR914,WR783,WR713,7,4,5,4,0,2,4,1,4,3,1,3,2,5,4,2,4,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR17,-0.20092364,0.315012993,0.545454545,7,4,3,WR11,WR989,WR801,WR824,WR144,WR716,WR746,WR246,WR796,WR417,WR714,WR202,WR586,WR570,WR976,WR415,WR985,WR718,WR832,5,3,2,1,2,6,3,3,2,4,4,6,1,4,4,5,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR18,-0.029827507,-0.338305698,0.56,5,2,3,WR848,WR291,WR517,WR958,WR208,WR439,WR14,WR489,WR2,WR239,WR731,WR904,WR787,WR150,WR492,WR622,WR772,WR352,WR944,3,1,6,3,2,2,5,5,3,0,4,2,3,5,2,5,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,3
WR19,-0.14575433,-0.162898926,0.572580645,5,2,3,WR302,WR997,WR867,WR979,WR210,WR425,WR887,WR397,WR523,WR926,WR578,WR682,WR852,WR157,WR344,WR748,WR66,WR825,WR430,5,5,1,3,4,3,3,2,7,4,5,7,3,4,1,4,0,7,1,3,3,3,3,3,3,3,3,0,3,3,2,3,3,3,3,3,0,3
WR20,-0.035084252,0.101910752,0.580645161,7,7,0,WR861,WR858,WR423,WR305,WR547,WR689,WR653,WR53,WR643,WR734,WR963,WR561,WR297,WR207,WR182,WR993,WR602,WR427,WR766,1,3,1,4,4,2,7,4,3,7,2,3,1,3,1,2,7,3,7,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,2,3,2
WR21,-0.365619771,0.06045758,0.548387097,6,3,3,WR105,WR468,WR477,WR214,WR460,WR702,WR721,WR956,WR615,WR240,WR719,WR78,WR803,WR849,WR527,WR811,WR761,WR166,WR854,4,1,7,5,5,2,2,5,1,1,5,3,1,3,7,2,4,7,0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3
WR22,0.232285446,0.149874135,0.563492063,7,4,3,WR488,WR348,WR656,WR103,WR371,WR542,WR286,WR307,WR429,WR495,WR962,WR233,WR862,WR110,WR821,WR54,WR24,WR479,WR431,5,3,4,2,2,6,7,4,3,7,4,1,2,3,4,1,1,4,4,3,3,3,3,3,3,1,3,3,0,3,3,3,3,3,3,3,3,3
WR23,0.141659449,0.218135137,0.616541353,9,7,2,WR502,WR966,WR50,WR57,WR365,WR410,WR723,WR52,WR654,WR81,WR343,WR863,WR957,WR496,WR191,WR999,WR142,WR194,WR536,7,5,0,2,7,0,4,1,3,2,7,5,7,1,4,5,5,7,3,2,3,3,3,1,3,3,3,3,3,2,3,1,3,3,3,3,1,3
WR24,0.24663904,0.100447363,0.581395349,4,1,3,WR573,WR566,WR103,WR429,WR579,WR307,WR700,WR962,WR453,WR619,WR22,WR440,WR155,WR656,WR645,WR172,WR862,WR971,WR431,6,7,2,3,6,4,1,4,7,4,4,4,1,4,7,1,2,3,4,3,1,3,3,3,3,3,3,2,3,3,3,3,3,0,3,3,3,3
