ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WU1,-0.15224121,-0.143314602,0.508474576,7,4,3,WU490,WU537,WU674,WU218,WU614,WU682,WU46,WU383,WU538,WU945,WU590,WU12,WU603,WU789,WU47,WU822,WU492,WU813,WU350,4,5,3,6,4,6,5,0,3,0,1,3,0,1,2,7,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
WU2,-0.243493875,-0.295989281,0.482758621,5,2,3,WU396,WU522,WU409,WU842,WU565,WU774,WU230,WU438,WU282,WU175,WU263,WU728,WU561,WU378,WU23,WU651,WU959,WU173,WU727,5,4,2,6,2,5,1,6,1,2,0,1,0,3,2,2,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU3,0.078728269,0.17569359,0.556451613,3,0,3,WU632,WU451,WU910,WU567,WU795,WU276,WU387,WU951,WU662,WU359,WU933,WU800,WU211,WU936,WU550,WU645,WU326,WU978,WU455,2,6,2,5,5,4,3,7,3,1,0,5,5,3,7,1,0,7,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,1,3
WU4,0.142460245,0.43110253,0.5859375,5,2,3,WU706,WU131,WU103,WU32,WU875,WU906,WU389,WU742,WU40,WU762,WU961,WU796,WU1000,WU123,WU693,WU767,WU998,WU506,WU425,2,7,4,2,1,0,7,2,0,4,6,5,7,1,7,3,6,6,3,3,1,3,3,3,3,0,3,3,3,3,3,2,3,2,3,3,3,3
WU5,-0.202025011,-0.198669107,0.452830189,4,1,3,WU812,WU240,WU278,WU617,WU594,WU651,WU561,WU614,WU948,WU147,WU175,WU490,WU538,WU383,WU590,WU438,WU683,WU23,WU826,2,7,2,0,2,2,0,4,4,3,2,4,3,0,1,6,3,2,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU6,-0.282451921,0.032339775,0.617647059,6,3,3,WU201,WU880,WU70,WU531,WU82,WU989,WU68,WU25,WU255,WU184,WU444,WU968,WU256,WU971,WU507,WU544,WU277,WU761,WU393,2,2,4,5,7,0,7,7,7,3,1,6,1,5,5,7,0,7,5,3,3,3,3,2,3,2,2,1,3,3,3,3,3,3,2,3,1,3
WU7,0.405862067,0.027215938,0.46728972,4,1,3,WU677,WU940,WU846,WU125,WU520,WU745,WU610,WU301,WU716,WU28,WU339,WU810,WU96,WU556,WU213,WU437,WU226,WU939,WU42,4,2,0,1,6,7,3,3,3,2,0,3,2,0,2,1,7,2,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3
WU8,-0.20058934,0.204972833,0.561538462,4,1,3,WU913,WU305,WU132,WU114,WU422,WU74,WU210,WU536,WU418,WU317,WU879,WU428,WU712,WU384,WU417,WU281,WU358,WU157,WU189,1,6,6,7,4,3,1,4,5,2,5,1,0,6,4,2,4,7,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WU9,0.144395402,-0.573969741,0.411764706,7,4,3,WU179,WU475,WU254,WU904,WU208,WU413,WU289,WU382,WU808,WU153,WU192,WU397,WU972,WU678,WU60,WU840,WU579,WU560,WU897,4,0,4,1,1,5,2,0,1,0,3,3,5,0,2,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WU10,-0.188261202,0.335307837,0.438095238,6,3,3,WU462,WU656,WU585,WU665,WU100,WU949,WU843,WU608,WU252,WU233,WU225,WU251,WU476,WU597,WU43,WU863,WU421,WU819,WU78,2,1,0,1,5,2,3,2,7,2,1,0,1,4,1,4,0,5,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
