ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BR1,-0.088506,0.210229777,0.5,4,1,3,BR310,BR215,BR728,BR200,BR227,BR305,BR345,BR42,BR529,BR546,BR545,BR723,BR632,BR856,BR23,BR99,BR983,BR411,BR337,5,2,5,6,0,7,0,5,2,1,5,0,1,2,1,7,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3
BR2,-0.089480925,-0.080688774,0.532786885,5,2,3,BR130,BR197,BR44,BR849,BR792,BR948,BR122,BR996,BR737,BR117,BR224,BR537,BR317,BR864,BR684,BR210,BR631,BR8,BR976,3,4,3,2,0,7,6,4,5,0,2,0,5,7,4,2,5,0,4,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3
BR3,-0.009898135,-0.011824946,0.595419847,8,7,1,BR429,BR300,BR87,BR987,BR959,BR163,BR258,BR793,BR536,BR694,BR805,BR796,BR913,BR626,BR38,BR618,BR496,BR719,BR744,3,4,2,4,0,2,2,1,7,5,3,4,3,5,4,7,4,4,7,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,0
BR4,-0.189986663,0.014291448,0.508928571,7,4,3,BR203,BR458,BR900,BR387,BR846,BR335,BR256,BR392,BR922,BR988,BR111,BR998,BR643,BR455,BR944,BR356,BR182,BR409,BR835,2,0,3,7,7,0,7,0,1,4,4,0,3,3,2,5,4,0,1,3,3,3,0,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
BR5,-0.023463606,-0.037738709,0.508333333,4,1,3,BR719,BR287,BR351,BR484,BR38,BR793,BR702,BR102,BR273,BR199,BR665,BR87,BR694,BR444,BR816,BR987,BR456,BR536,BR959,4,0,1,5,4,1,5,2,4,1,5,2,5,6,1,4,3,7,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
BR6,-0.218437433,0.094500663,0.428571429,7,4,3,BR398,BR265,BR893,BR66,BR990,BR209,BR459,BR146,BR790,BR615,BR390,BR191,BR673,BR495,BR561,BR84,BR885,BR63,BR732,5,2,5,1,0,1,2,1,6,2,0,1,3,1,1,2,6,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BR7,-0.031326467,0.163980622,0.512605042,7,4,3,BR119,BR611,BR23,BR701,BR994,BR619,BR68,BR529,BR99,BR32,BR329,BR817,BR546,BR217,BR31,BR215,BR164,BR519,BR204,4,4,1,3,3,4,0,2,7,3,2,2,1,3,4,2,5,5,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3
BR8,-0.080515335,-0.049915469,0.607407407,3,0,3,BR976,BR985,BR864,BR292,BR631,BR244,BR948,BR849,BR923,BR500,BR932,BR507,BR607,BR999,BR707,BR160,BR996,BR405,BR122,4,1,7,0,5,2,7,2,2,7,4,7,7,7,4,2,4,4,6,3,3,2,3,3,3,1,3,3,2,3,2,2,2,3,3,3,3,3
BR9,-0.079890336,0.044912433,0.532258065,7,4,3,BR629,BR127,BR431,BR404,BR359,BR670,BR929,BR395,BR354,BR577,BR722,BR963,BR724,BR572,BR997,BR597,BR303,BR785,BR668,4,7,1,4,3,6,2,1,3,3,0,0,7,1,6,3,4,3,4,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
BR10,0.166917872,-0.219930929,0.6,4,1,3,BR104,BR73,BR320,BR65,BR301,BR226,BR378,BR904,BR756,BR238,BR925,BR657,BR113,BR154,BR813,BR142,BR478,BR767,BR401,7,1,1,2,2,3,1,3,7,5,7,7,5,7,2,3,4,7,3,2,3,3,3,3,3,3,3,2,3,2,2,3,1,3,3,3,1,3
