ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BRG1,-0.253868885,-0.266781565,0.504201681,4,1,3,BRG825,BRG963,BRG860,BRG621,BRG714,BRG91,BRG313,BRG236,BRG604,BRG980,BRG357,BRG623,BRG400,BRG876,BRG347,BRG987,BRG82,BRG695,BRG727,1,2,4,3,0,2,5,1,6,1,2,3,4,6,3,7,2,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
BRG2,-0.246916048,-0.077731363,0.548387097,6,3,3,BRG124,BRG531,BRG926,BRG938,BRG196,BRG410,BRG107,BRG602,BRG149,BRG836,BRG881,BRG287,BRG914,BRG229,BRG21,BRG548,BRG341,BRG485,BRG41,7,1,3,1,7,2,7,6,5,3,5,4,1,3,0,1,2,3,4,1,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
BRG3,-0.063635359,-0.041429043,0.549180328,4,1,3,BRG68,BRG125,BRG793,BRG268,BRG724,BRG111,BRG408,BRG708,BRG216,BRG364,BRG500,BRG47,BRG711,BRG528,BRG187,BRG297,BRG562,BRG704,BRG165,3,2,7,3,1,6,3,7,0,3,1,7,3,3,3,4,1,4,5,3,3,2,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3
BRG4,0.335159588,0.083198389,0.520325203,6,3,3,BRG338,BRG909,BRG317,BRG681,BRG57,BRG207,BRG24,BRG228,BRG932,BRG733,BRG138,BRG526,BRG636,BRG721,BRG630,BRG835,BRG176,BRG112,BRG88,2,2,3,4,1,2,0,6,3,4,0,2,3,5,5,6,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
BRG5,0.157787247,-0.16225228,0.462264151,8,5,3,BRG539,BRG209,BRG647,BRG376,BRG73,BRG380,BRG748,BRG645,BRG484,BRG754,BRG78,BRG59,BRG450,BRG868,BRG237,BRG549,BRG174,BRG432,BRG22,1,1,2,5,0,2,4,2,2,1,0,7,0,1,5,1,7,2,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3
BRG6,0.181641299,-0.073869185,0.564885496,7,4,3,BRG339,BRG155,BRG713,BRG130,BRG312,BRG880,BRG395,BRG246,BRG626,BRG94,BRG910,BRG682,BRG912,BRG594,BRG736,BRG834,BRG122,BRG413,BRG255,6,3,0,4,7,0,4,5,2,1,7,5,3,5,6,7,2,1,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3
BRG7,0.10957183,0.040066463,0.581395349,8,5,3,BRG591,BRG774,BRG444,BRG722,BRG492,BRG674,BRG29,BRG356,BRG844,BRG554,BRG922,BRG982,BRG737,BRG646,BRG709,BRG797,BRG116,BRG343,BRG264,7,7,6,4,6,3,3,3,7,7,4,0,4,2,2,0,4,1,0,2,2,3,3,3,3,3,3,0,2,3,3,3,3,3,3,3,3,3
BRG8,0.279172814,-0.012235311,0.5,5,2,3,BRG90,BRG688,BRG775,BRG652,BRG944,BRG379,BRG906,BRG242,BRG394,BRG551,BRG740,BRG616,BRG631,BRG582,BRG573,BRG994,BRG384,BRG894,BRG650,5,6,1,0,2,2,2,0,2,2,4,7,5,2,1,2,6,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3
BRG9,-0.311092625,0.261732506,0.439252336,6,3,3,BRG878,BRG99,BRG416,BRG663,BRG948,BRG716,BRG129,BRG595,BRG694,BRG863,BRG166,BRG964,BRG371,BRG19,BRG738,BRG12,BRG950,BRG150,BRG117,2,2,6,1,1,3,3,2,4,3,2,3,1,2,1,4,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BRG10,-0.027291736,-0.160373138,0.495575221,5,2,3,BRG232,BRG725,BRG643,BRG532,BRG861,BRG238,BRG114,BRG886,BRG328,BRG696,BRG778,BRG235,BRG618,BRG883,BRG762,BRG70,BRG261,BRG191,BRG521,3,7,1,7,1,2,1,2,1,2,5,2,2,2,3,7,2,3,1,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
BRG11,-0.282357638,0.131978305,0.5,9,6,3,BRG700,BRG332,BRG23,BRG773,BRG405,BRG321,BRG212,BRG259,BRG152,BRG800,BRG291,BRG276,BRG103,BRG476,BRG830,BRG170,BRG693,BRG140,BRG950,4,1,3,2,2,3,4,5,4,3,3,2,2,5,1,5,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BRG12,-0.247991625,0.2118016,0.525423729,7,4,3,BRG617,BRG129,BRG693,BRG964,BRG863,BRG142,BRG212,BRG627,BRG678,BRG663,BRG924,BRG875,BRG23,BRG651,BRG738,BRG166,BRG276,BRG332,BRG948,3,3,2,3,3,4,4,7,7,1,4,0,3,7,1,2,2,1,1,3,3,3,3,3,3,3,1,2,3,3,3,3,2,3,3,3,3,3
BRG13,0.125081295,0.087070125,0.5703125,3,0,3,BRG309,BRG356,BRG116,BRG56,BRG471,BRG360,BRG428,BRG102,BRG774,BRG866,BRG554,BRG709,BRG872,BRG945,BRG221,BRG591,BRG445,BRG922,BRG7,1,3,4,2,5,3,2,0,7,3,7,2,5,3,3,7,7,4,5,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,1,3,3
BRG14,-0.07382269,0.381810028,0.53968254,5,2,3,BRG80,BRG358,BRG386,BRG448,BRG767,BRG597,BRG449,BRG750,BRG401,BRG252,BRG690,BRG798,BRG538,BRG769,BRG772,BRG855,BRG303,BRG816,BRG574,7,4,0,4,4,7,3,3,1,6,1,5,6,3,5,3,1,1,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
BRG15,0.047203295,0.56384102,0.5,4,1,3,BRG805,BRG667,BRG514,BRG84,BRG330,BRG147,BRG818,BRG417,BRG723,BRG798,BRG718,BRG660,BRG690,BRG449,BRG625,BRG401,BRG148,BRG25,BRG689,6,3,1,2,1,0,2,2,7,5,4,3,1,3,0,1,4,6,6,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3
BRG16,0.215174365,-0.133680416,0.538461538,4,1,3,BRG495,BRG58,BRG619,BRG820,BRG569,BRG413,BRG346,BRG59,BRG355,BRG467,BRG78,BRG39,BRG312,BRG395,BRG376,BRG255,BRG491,BRG949,BRG549,6,1,1,2,3,1,7,7,4,0,0,7,7,4,5,2,1,3,1,3,3,3,3,3,3,1,1,3,3,3,2,2,3,3,3,3,3,3
BRG17,0.083791198,-0.266068513,0.442307692,4,1,3,BRG75,BRG518,BRG564,BRG641,BRG890,BRG456,BRG698,BRG537,BRG79,BRG760,BRG53,BRG115,BRG654,BRG50,BRG126,BRG981,BRG493,BRG666,BRG706,1,2,5,2,0,7,1,6,1,2,1,5,0,1,1,1,0,6,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
BRG18,-0.345613979,-0.198339942,0.578125,4,1,3,BRG952,BRG247,BRG648,BRG902,BRG697,BRG243,BRG296,BRG585,BRG580,BRG613,BRG233,BRG623,BRG169,BRG749,BRG220,BRG347,BRG46,BRG788,BRG547,2,3,6,2,5,7,3,5,1,7,4,3,1,2,7,3,2,6,4,3,3,3,3,3,2,3,3,3,1,3,3,3,3,0,3,3,3,3
