ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
RG1,-0.206084678,0.055129906,0.58778626,5,2,3,RG682,RG521,RG834,RG444,RG306,RG749,RG921,RG947,RG591,RG897,RG765,RG279,RG443,RG233,RG228,RG463,RG111,RG933,RG374,2,3,3,5,4,4,2,2,5,7,2,7,2,7,4,4,4,1,7,3,3,3,3,3,3,3,3,3,2,3,2,3,0,3,3,3,3,2
RG2,0.253814708,-0.31496434,0.641791045,6,3,3,RG499,RG831,RG661,RG96,RG215,RG193,RG417,RG16,RG642,RG329,RG680,RG345,RG242,RG204,RG496,RG301,RG467,RG188,RG885,7,1,3,6,2,7,1,7,7,3,2,1,7,5,7,7,4,1,5,1,3,3,3,3,1,3,2,1,3,3,3,1,3,1,2,3,3,3
RG3,0.24963334,0.083311583,0.5625,9,7,2,RG726,RG658,RG798,RG466,RG502,RG620,RG891,RG408,RG753,RG707,RG504,RG800,RG395,RG991,RG822,RG163,RG610,RG282,RG599,7,0,2,4,0,2,4,5,3,0,4,4,4,5,2,2,3,7,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
RG4,0.483120578,-0.187911526,0.486725664,7,4,3,RG185,RG65,RG28,RG531,RG581,RG673,RG320,RG356,RG714,RG33,RG367,RG114,RG409,RG337,RG13,RG332,RG746,RG246,RG816,1,4,1,5,1,7,2,0,6,6,1,5,1,2,5,1,1,0,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
RG5,0.190107864,0.013006914,0.520661157,4,1,3,RG135,RG304,RG312,RG435,RG166,RG23,RG395,RG991,RG500,RG282,RG121,RG502,RG266,RG597,RG762,RG294,RG229,RG751,RG794,5,0,2,0,3,4,4,5,5,7,7,0,3,3,5,2,3,1,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3
RG6,0.295892944,0.139390961,0.544715447,3,0,3,RG504,RG891,RG139,RG705,RG408,RG130,RG936,RG882,RG163,RG116,RG798,RG36,RG726,RG755,RG249,RG845,RG769,RG599,RG30,4,4,3,1,5,4,7,5,2,2,2,2,7,0,2,6,2,7,2,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,2,3
RG7,-0.342508902,-0.01449241,0.504273504,3,0,3,RG572,RG397,RG915,RG147,RG330,RG398,RG322,RG926,RG440,RG768,RG280,RG903,RG8,RG729,RG789,RG472,RG774,RG877,RG971,5,1,3,4,4,1,1,7,3,4,3,3,2,3,2,0,2,4,7,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2
RG8,-0.346463737,0.031082182,0.512820513,5,2,3,RG398,RG322,RG789,RG717,RG330,RG624,RG971,RG692,RG702,RG432,RG729,RG915,RG7,RG801,RG572,RG99,RG926,RG748,RG437,1,1,2,1,4,2,7,1,7,4,3,3,0,0,5,1,7,5,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3
RG9,-0.169564311,-0.214621307,0.557377049,4,1,3,RG333,RG846,RG197,RG579,RG462,RG848,RG577,RG976,RG517,RG68,RG690,RG814,RG833,RG598,RG518,RG309,RG190,RG479,RG899,5,7,4,4,0,5,4,0,5,7,1,7,1,7,1,1,5,1,2,3,2,3,3,3,3,3,3,3,1,3,1,3,2,3,3,3,3,3
RG10,-0.111035383,-0.256635482,0.542372881,5,2,3,RG598,RG160,RG660,RG603,RG518,RG227,RG814,RG55,RG449,RG309,RG462,RG846,RG343,RG577,RG644,RG422,RG847,RG783,RG212,7,5,0,0,1,4,7,7,6,1,0,7,0,4,3,1,1,1,7,2,3,3,3,3,3,1,2,3,3,3,2,3,3,3,3,3,3,2
RG11,0.120501827,-0.25643694,0.553846154,4,1,3,RG423,RG323,RG426,RG830,RG796,RG694,RG760,RG767,RG428,RG64,RG898,RG544,RG708,RG611,RG969,RG791,RG181,RG643,RG250,4,4,6,6,2,3,0,1,7,5,3,3,2,4,7,6,2,5,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3
RG12,0.07441303,-0.37685946,0.495652174,6,3,3,RG218,RG389,RG72,RG735,RG829,RG54,RG67,RG594,RG554,RG639,RG256,RG403,RG400,RG303,RG772,RG901,RG564,RG424,RG870,1,7,4,1,1,4,4,1,1,7,2,2,3,6,0,0,2,2,6,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
RG13,0.385471301,-0.249184043,0.56,8,5,3,RG33,RG673,RG315,RG874,RG231,RG714,RG140,RG337,RG471,RG367,RG619,RG581,RG185,RG335,RG246,RG972,RG329,RG114,RG301,6,7,7,7,2,6,5,2,0,1,0,1,1,0,0,5,3,5,7,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
RG14,-0.161346913,-0.015391137,0.58778626,5,2,3,RG86,RG363,RG299,RG671,RG169,RG706,RG247,RG113,RG974,RG239,RG966,RG743,RG853,RG159,RG470,RG478,RG489,RG872,RG52,7,4,2,6,2,3,4,2,7,4,2,4,5,1,1,7,5,3,6,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3
RG15,0.031498858,0.313568958,0.563492063,4,1,3,RG338,RG629,RG388,RG419,RG739,RG186,RG948,RG156,RG528,RG377,RG222,RG980,RG906,RG863,RG396,RG951,RG764,RG514,RG820,7,5,5,7,3,3,5,2,1,7,0,1,2,1,5,6,5,0,5,2,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
RG16,0.275808187,-0.354259263,0.572580645,9,7,2,RG193,RG242,RG467,RG680,RG2,RG96,RG417,RG137,RG499,RG809,RG329,RG345,RG831,RG756,RG691,RG661,RG215,RG619,RG204,7,7,4,2,3,6,1,5,7,3,3,1,1,2,2,3,2,0,5,1,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3
RG17,0.230013037,0.19602063,0.549618321,5,2,3,RG799,RG609,RG845,RG110,RG882,RG547,RG420,RG30,RG599,RG473,RG670,RG989,RG163,RG206,RG942,RG57,RG610,RG249,RG408,3,0,6,1,5,5,5,2,7,3,6,4,2,5,3,3,3,2,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
RG18,-0.048671652,-0.13979336,0.579710145,5,2,3,RG336,RG359,RG172,RG46,RG902,RG259,RG434,RG317,RG905,RG792,RG191,RG410,RG183,RG965,RG908,RG80,RG92,RG60,RG392,2,4,3,7,4,6,3,7,3,4,4,4,6,2,3,4,6,4,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
RG19,-0.358131303,0.129669172,0.598484848,4,1,3,RG865,RG811,RG252,RG718,RG25,RG826,RG321,RG537,RG842,RG90,RG224,RG605,RG310,RG102,RG638,RG49,RG427,RG437,RG713,3,0,6,4,2,7,2,5,2,5,7,7,7,0,5,2,7,4,3,3,3,3,3,3,2,3,3,3,3,2,1,1,3,3,3,2,3,3
RG20,0.335117217,0.227663307,0.525423729,8,5,3,RG543,RG900,RG375,RG93,RG387,RG271,RG249,RG802,RG116,RG604,RG136,RG30,RG139,RG130,RG935,RG835,RG670,RG88,RG936,2,0,4,2,0,3,2,1,2,1,7,2,3,4,1,3,6,7,7,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,1
RG21,0.193249154,0.35736381,0.544,6,3,3,RG210,RG571,RG988,RG164,RG704,RG202,RG226,RG964,RG277,RG134,RG509,RG415,RG562,RG485,RG354,RG773,RG360,RG732,RG558,2,3,0,3,1,5,2,6,5,7,3,2,7,0,3,6,1,2,7,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2
RG22,-0.120055268,0.483257016,0.563492063,4,1,3,RG412,RG875,RG588,RG53,RG627,RG165,RG542,RG742,RG175,RG319,RG308,RG961,RG649,RG825,RG393,RG613,RG325,RG494,RG730,2,2,3,7,1,3,3,5,2,7,3,3,7,0,5,4,1,7,5,3,3,3,2,3,3,3,3,3,2,3,3,1,3,3,3,3,2,3
RG23,0.169415495,0.047365221,0.524590164,7,4,3,RG121,RG229,RG135,RG282,RG597,RG435,RG395,RG266,RG5,RG127,RG304,RG294,RG502,RG580,RG500,RG991,RG312,RG753,RG318,7,3,5,7,3,0,4,3,1,5,0,2,0,3,5,5,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG24,-0.315121264,0.201518745,0.613636364,6,3,3,RG63,RG503,RG427,RG849,RG757,RG638,RG106,RG532,RG254,RG605,RG90,RG804,RG448,RG826,RG724,RG85,RG468,RG713,RG839,0,0,7,0,7,5,3,7,4,7,5,7,1,7,2,7,0,3,6,3,3,2,3,1,3,3,2,3,1,3,2,3,2,3,2,3,3,3
RG25,-0.3382529,0.101002336,0.517241379,5,2,3,RG224,RG718,RG321,RG437,RG310,RG854,RG19,RG865,RG537,RG99,RG692,RG334,RG748,RG842,RG702,RG808,RG811,RG717,RG102,7,4,2,4,7,4,1,3,5,1,1,3,5,2,7,1,0,1,0,2,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3
RG26,-0.001999721,0.162213224,0.516393443,4,1,3,RG534,RG284,RG779,RG873,RG278,RG665,RG890,RG43,RG827,RG590,RG664,RG272,RG433,RG979,RG192,RG689,RG914,RG593,RG939,5,1,7,2,5,2,4,6,0,1,3,4,5,5,2,4,4,0,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG27,0.057853323,0.082771131,0.5,7,4,3,RG404,RG567,RG357,RG143,RG217,RG286,RG637,RG331,RG907,RG380,RG776,RG236,RG353,RG785,RG498,RG955,RG939,RG406,RG520,1,0,4,5,3,5,2,2,0,7,4,4,7,1,3,2,2,0,1,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,3
RG28,0.487820426,-0.146814379,0.467889908,4,1,3,RG531,RG4,RG65,RG356,RG185,RG320,RG581,RG746,RG747,RG816,RG114,RG561,RG332,RG630,RG714,RG673,RG37,RG655,RG33,5,4,4,0,1,2,1,1,1,2,5,0,1,2,6,7,0,2,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
RG29,-0.202395295,0.275205303,0.578947368,6,3,3,RG128,RG119,RG621,RG612,RG818,RG158,RG195,RG741,RG283,RG840,RG305,RG154,RG666,RG527,RG780,RG436,RG460,RG695,RG89,2,6,4,7,5,3,5,7,2,2,5,4,2,4,1,6,3,2,4,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
RG30,0.276253335,0.204653559,0.528,5,2,3,RG845,RG249,RG882,RG93,RG139,RG604,RG670,RG110,RG17,RG942,RG88,RG799,RG375,RG116,RG206,RG543,RG20,RG547,RG609,6,2,5,2,3,1,6,1,2,3,7,3,4,2,5,2,5,5,0,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
RG31,-0.044583561,0.291018595,0.548387097,9,6,3,RG118,RG698,RG535,RG240,RG906,RG883,RG66,RG83,RG739,RG494,RG264,RG297,RG344,RG687,RG285,RG793,RG629,RG38,RG209,4,2,7,4,2,1,1,3,3,7,2,0,5,3,0,7,5,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
RG32,-0.063117215,0.217700506,0.425742574,3,0,3,RG896,RG180,RG38,RG759,RG615,RG727,RG285,RG209,RG372,RG364,RG914,RG890,RG66,RG522,RG924,RG278,RG883,RG687,RG569,3,1,3,1,0,1,0,3,5,0,4,4,1,0,1,5,1,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
RG33,0.392341027,-0.229163003,0.548387097,9,6,3,RG673,RG13,RG714,RG874,RG231,RG581,RG315,RG140,RG185,RG246,RG337,RG114,RG65,RG367,RG471,RG335,RG270,RG619,RG4,7,5,6,7,2,1,7,5,1,0,2,5,4,1,0,0,5,0,4,1,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
RG34,-0.226449869,0.202699556,0.583333333,7,4,3,RG566,RG436,RG58,RG570,RG508,RG154,RG631,RG839,RG937,RG176,RG89,RG724,RG390,RG780,RG94,RG741,RG448,RG754,RG195,4,6,2,1,3,4,7,6,5,3,4,2,4,1,6,7,1,2,5,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,1,3,3,3
RG35,0.069879534,-0.087970423,0.521008403,3,0,3,RG945,RG641,RG832,RG545,RG429,RG379,RG889,RG909,RG178,RG929,RG540,RG149,RG399,RG144,RG884,RG497,RG552,RG525,RG693,3,1,1,4,7,1,2,7,3,4,3,2,7,3,4,4,1,3,2,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3
RG36,0.354848086,0.124851494,0.46728972,5,2,3,RG769,RG755,RG705,RG936,RG130,RG634,RG82,RG97,RG116,RG112,RG6,RG486,RG802,RG504,RG326,RG387,RG876,RG139,RG775,2,0,1,7,4,2,3,4,2,3,0,2,1,4,7,0,1,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
RG37,0.417374743,-0.052807719,0.423076923,3,0,3,RG747,RG746,RG511,RG454,RG630,RG295,RG987,RG59,RG356,RG376,RG320,RG456,RG984,RG332,RG950,RG105,RG386,RG341,RG107,1,1,2,3,2,5,4,1,0,4,2,0,4,1,2,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG38,-0.055743269,0.237622567,0.381443299,6,3,3,RG896,RG180,RG32,RG285,RG209,RG66,RG364,RG883,RG727,RG615,RG264,RG759,RG924,RG687,RG240,RG83,RG522,RG31,RG890,3,1,0,0,3,1,0,1,1,0,2,1,1,3,4,3,0,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG39,-0.334083987,-0.13877118,0.564516129,9,7,2,RG481,RG857,RG146,RG177,RG656,RG622,RG995,RG248,RG194,RG582,RG784,RG414,RG805,RG887,RG474,RG910,RG893,RG370,RG45,3,2,0,1,4,7,3,2,4,7,4,5,7,2,6,1,2,0,3,3,3,3,3,3,1,3,3,3,1,3,3,2,3,3,3,3,3,3
RG40,-0.373524002,-0.076363739,0.513274336,5,2,3,RG45,RG582,RG774,RG656,RG768,RG807,RG688,RG440,RG177,RG893,RG745,RG147,RG481,RG280,RG397,RG145,RG7,RG887,RG39,3,7,2,4,4,2,1,3,1,2,7,4,3,3,1,0,0,2,7,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2
RG41,-0.012587286,-0.203059878,0.561538462,9,6,3,RG922,RG339,RG84,RG931,RG92,RG965,RG87,RG674,RG171,RG385,RG792,RG287,RG824,RG536,RG410,RG392,RG679,RG777,RG359,1,4,5,7,6,2,0,3,4,3,4,3,4,0,4,2,7,4,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
RG42,-0.010569471,-0.334379323,0.564516129,5,2,3,RG836,RG672,RG770,RG990,RG303,RG956,RG261,RG639,RG973,RG662,RG870,RG871,RG758,RG54,RG554,RG400,RG817,RG369,RG994,2,6,4,7,6,1,1,7,2,1,6,1,3,4,1,3,7,4,2,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,0,3,3
RG43,0.010071756,0.19760002,0.544715447,9,6,3,RG664,RG873,RG272,RG788,RG918,RG593,RG924,RG779,RG26,RG890,RG278,RG595,RG263,RG534,RG665,RG524,RG514,RG209,RG433,3,2,4,7,1,0,1,7,1,4,5,7,2,5,2,2,0,3,5,3,3,3,1,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3
RG44,-0.226289444,-0.260459022,0.439252336,4,1,3,RG899,RG457,RG864,RG452,RG579,RG421,RG197,RG362,RG553,RG976,RG257,RG281,RG736,RG848,RG495,RG653,RG289,RG847,RG234,2,0,3,1,4,0,4,2,2,0,3,1,0,5,6,5,5,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG45,-0.369474087,-0.082736108,0.52173913,6,3,3,RG40,RG582,RG656,RG774,RG807,RG768,RG177,RG440,RG688,RG893,RG481,RG147,RG745,RG280,RG145,RG39,RG397,RG887,RG857,2,7,4,2,2,4,1,3,1,2,3,4,7,3,0,7,1,2,2,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3
RG46,-0.052857963,-0.103625437,0.531746032,9,7,2,RG902,RG183,RG434,RG336,RG908,RG125,RG441,RG313,RG895,RG18,RG132,RG905,RG862,RG191,RG359,RG259,RG475,RG172,RG516,4,6,3,2,3,4,4,0,2,2,1,3,5,4,4,6,0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG47,0.098230593,0.406736072,0.508196721,9,6,3,RG568,RG316,RG260,RG201,RG208,RG360,RG764,RG396,RG509,RG617,RG721,RG773,RG351,RG948,RG226,RG988,RG820,RG606,RG388,2,0,3,4,1,1,5,5,3,2,5,6,1,5,2,0,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG48,-0.404665867,0.186276523,0.546218487,5,2,3,RG223,RG713,RG252,RG605,RG447,RG90,RG811,RG19,RG865,RG826,RG63,RG427,RG638,RG24,RG849,RG503,RG842,RG537,RG102,2,3,6,7,7,5,0,1,3,7,0,7,5,3,0,0,2,5,0,3,3,3,1,1,3,3,3,3,2,3,2,3,3,3,3,3,3,3
RG49,-0.300014479,0.138521915,0.602941176,5,2,3,RG842,RG804,RG71,RG808,RG677,RG321,RG310,RG468,RG638,RG645,RG254,RG826,RG718,RG334,RG427,RG812,RG224,RG106,RG90,2,7,5,1,3,2,7,0,5,5,4,7,4,3,7,3,7,3,5,3,2,3,3,3,3,1,3,3,3,3,2,3,3,2,3,2,3,3
RG50,0.227970959,-0.103113546,0.477876106,5,2,3,RG69,RG73,RG669,RG917,RG216,RG506,RG559,RG819,RG394,RG879,RG51,RG273,RG157,RG109,RG978,RG667,RG349,RG585,RG576,2,6,1,2,4,1,1,2,2,0,6,3,4,2,0,0,6,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
RG51,0.172948092,-0.129081517,0.521008403,9,6,3,RG585,RG273,RG157,RG917,RG669,RG879,RG575,RG214,RG549,RG867,RG993,RG50,RG925,RG216,RG394,RG73,RG213,RG69,RG425,3,3,4,2,1,0,3,1,1,3,6,2,2,4,2,6,7,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3
RG52,-0.140205431,0.029084344,0.536,9,6,3,RG490,RG123,RG853,RG858,RG974,RG169,RG635,RG91,RG813,RG728,RG239,RG348,RG844,RG947,RG563,RG173,RG459,RG247,RG113,2,4,5,0,7,2,2,1,4,0,4,1,4,2,6,5,6,4,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG53,-0.024407761,0.428333161,0.563492063,9,7,2,RG542,RG319,RG175,RG961,RG412,RG649,RG820,RG528,RG980,RG208,RG588,RG201,RG793,RG308,RG325,RG948,RG396,RG568,RG906,3,7,2,3,2,7,5,1,1,1,3,4,7,3,1,5,5,2,2,3,2,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3
RG54,0.030538786,-0.356638307,0.572519084,7,4,3,RG639,RG218,RG303,RG829,RG554,RG672,RG400,RG870,RG973,RG990,RG42,RG12,RG369,RG403,RG589,RG72,RG836,RG389,RG67,7,1,6,1,1,6,3,6,2,7,2,3,4,2,3,4,2,7,4,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3
RG55,-0.071377235,-0.243172115,0.549180328,9,7,2,RG449,RG160,RG783,RG660,RG287,RG777,RG385,RG529,RG10,RG674,RG644,RG477,RG309,RG994,RG603,RG814,RG598,RG410,RG212,6,5,1,0,3,4,3,1,2,3,3,1,1,2,0,7,7,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,2
RG56,-0.0582437,-0.030421636,0.549180328,7,4,3,RG232,RG203,RG703,RG888,RG868,RG101,RG862,RG763,RG878,RG225,RG238,RG402,RG207,RG806,RG866,RG125,RG895,RG243,RG475,1,1,5,1,7,3,5,3,2,7,7,3,3,2,5,4,2,2,0,3,3,3,3,2,3,3,3,3,1,1,3,3,3,3,3,3,3,3
RG57,0.171230583,0.174329887,0.52991453,6,3,3,RG583,RG220,RG720,RG989,RG710,RG513,RG328,RG168,RG609,RG855,RG473,RG198,RG607,RG420,RG678,RG610,RG992,RG126,RG17,3,1,3,4,5,0,2,7,0,0,3,1,7,5,4,3,7,2,2,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,1,3,3
RG58,-0.242800232,0.215209986,0.614814815,5,2,3,RG154,RG436,RG724,RG34,RG839,RG754,RG532,RG741,RG566,RG448,RG195,RG631,RG508,RG151,RG570,RG757,RG527,RG106,RG89,4,6,2,4,6,2,7,7,4,1,5,7,3,4,1,7,4,3,4,3,3,3,3,3,3,2,1,3,3,3,0,3,3,3,1,3,3,3
RG59,0.453377176,-0.011234241,0.415841584,4,1,3,RG511,RG105,RG984,RG454,RG37,RG747,RG373,RG655,RG386,RG129,RG722,RG746,RG987,RG633,RG950,RG456,RG843,RG356,RG876,2,5,4,3,0,1,4,2,2,0,2,1,4,7,2,0,1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
RG60,-0.10277407,-0.131168632,0.53968254,7,4,3,RG905,RG492,RG259,RG476,RG132,RG317,RG434,RG79,RG313,RG172,RG441,RG336,RG183,RG516,RG930,RG18,RG190,RG833,RG46,3,3,6,0,1,7,3,2,0,3,4,2,6,4,5,2,5,1,7,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2
