ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UB1,-0.204165855,0.392937228,0.553719008,3,0,3,UB840,UB808,UB996,UB84,UB344,UB950,UB668,UB993,UB613,UB423,UB978,UB501,UB640,UB630,UB563,UB901,UB878,UB854,UB256,4,3,7,4,1,2,0,0,5,2,5,1,0,7,6,3,3,7,7,3,3,2,3,3,3,3,3,3,3,3,3,3,0,3,3,3,2,2
UB2,-0.059872409,-0.339474277,0.58778626,8,7,1,UB927,UB552,UB531,UB889,UB177,UB579,UB362,UB285,UB355,UB594,UB844,UB320,UB328,UB874,UB751,UB692,UB793,UB72,UB80,0,5,2,3,1,5,2,3,1,0,7,5,1,6,7,7,5,5,5,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,2,3,3,3
UB3,0.526028295,0.250118838,0.647058824,4,1,3,UB920,UB592,UB619,UB933,UB550,UB438,UB290,UB589,UB685,UB700,UB429,UB966,UB326,UB207,UB178,UB691,UB841,UB546,UB164,1,7,4,7,4,2,7,5,7,1,7,7,7,5,4,7,3,0,2,3,1,3,2,3,3,2,3,1,3,1,2,1,3,3,2,3,3,3
UB4,-0.167951566,-0.49882244,0.516666667,6,3,3,UB477,UB367,UB393,UB970,UB703,UB33,UB345,UB994,UB411,UB162,UB229,UB379,UB673,UB836,UB204,UB118,UB575,UB733,UB615,4,3,1,4,2,1,2,1,0,6,1,5,0,2,3,6,7,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2
UB5,-0.12166028,0.243653025,0.618705036,5,2,3,UB412,UB426,UB384,UB398,UB479,UB726,UB51,UB248,UB421,UB545,UB461,UB415,UB591,UB475,UB603,UB622,UB903,UB729,UB771,3,7,5,7,5,5,3,5,3,0,7,7,5,2,7,4,2,6,1,3,2,3,1,3,3,3,3,3,3,1,2,3,3,2,3,3,3,3
UB6,0.202515459,-0.01669108,0.590551181,6,3,3,UB511,UB715,UB161,UB262,UB762,UB49,UB232,UB238,UB922,UB53,UB695,UB151,UB470,UB718,UB69,UB376,UB787,UB351,UB556,3,3,3,3,2,1,5,2,7,7,7,7,1,4,0,7,6,1,3,3,3,3,3,3,3,3,3,2,1,1,1,3,3,3,2,3,3,3
UB7,0.358616744,-0.118452499,0.536,5,2,3,UB404,UB942,UB516,UB831,UB135,UB705,UB270,UB89,UB953,UB873,UB445,UB323,UB463,UB520,UB929,UB234,UB356,UB820,UB721,3,2,5,5,4,2,1,7,6,2,3,3,2,6,0,0,7,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3
UB8,0.192933371,0.056190579,0.593984962,5,2,3,UB132,UB523,UB974,UB55,UB483,UB375,UB23,UB232,UB633,UB176,UB747,UB880,UB376,UB730,UB926,UB762,UB238,UB720,UB663,7,6,4,7,4,7,1,5,0,3,4,7,7,2,1,2,2,2,6,1,3,3,2,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3
UB9,0.245072923,0.335842347,0.453703704,5,2,3,UB114,UB410,UB62,UB106,UB116,UB557,UB316,UB64,UB940,UB203,UB852,UB298,UB881,UB179,UB972,UB364,UB261,UB408,UB42,0,1,3,2,5,2,2,1,2,2,4,7,0,3,2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
UB10,-0.267358696,0.191880879,0.613636364,3,0,3,UB67,UB68,UB578,UB325,UB26,UB287,UB476,UB814,UB768,UB188,UB725,UB451,UB867,UB788,UB882,UB982,UB219,UB276,UB707,3,4,7,5,2,2,7,2,3,3,5,7,7,3,1,4,7,2,7,3,3,2,3,3,3,2,3,3,3,3,1,1,3,3,3,1,3,2
