ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WG1,-0.310719602,0.053191738,0.613636364,3,0,3,WG432,WG902,WG48,WG733,WG31,WG30,WG97,WG230,WG266,WG665,WG556,WG156,WG982,WG995,WG163,WG53,WG882,WG240,WG236,7,3,6,3,7,7,3,3,3,5,7,1,5,7,7,1,3,2,1,0,3,3,3,2,2,3,3,3,3,1,3,3,2,2,3,3,3,3
WG2,0.106419898,-0.356558628,0.573529412,6,3,3,WG814,WG796,WG789,WG329,WG197,WG36,WG750,WG861,WG325,WG544,WG349,WG300,WG751,WG765,WG869,WG682,WG445,WG716,WG746,2,5,2,4,3,6,4,2,4,7,5,1,4,4,2,7,3,4,6,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
WG3,0.224153563,-0.323194754,0.547619048,9,6,3,WG298,WG85,WG357,WG975,WG12,WG589,WG481,WG728,WG57,WG598,WG607,WG445,WG653,WG284,WG545,WG74,WG168,WG751,WG970,7,1,3,6,0,3,6,3,0,2,5,3,4,4,3,1,7,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
WG4,-0.042171246,-0.037072101,0.591240876,5,2,3,WG953,WG790,WG511,WG35,WG24,WG753,WG777,WG784,WG731,WG645,WG909,WG513,WG238,WG306,WG94,WG884,WG355,WG973,WG830,0,7,2,2,6,1,6,6,7,2,2,5,5,7,6,4,6,2,3,3,1,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3
WG5,0.047852742,-0.164408372,0.578125,4,1,3,WG566,WG150,WG964,WG535,WG23,WG137,WG423,WG792,WG484,WG165,WG904,WG262,WG719,WG353,WG186,WG754,WG573,WG632,WG913,7,3,2,2,2,7,2,2,7,6,3,4,5,7,3,0,3,1,7,2,3,3,3,3,2,3,3,2,3,3,3,3,1,3,3,3,3,2
WG6,-0.310797357,-0.264506744,0.586956522,5,2,3,WG249,WG285,WG154,WG145,WG358,WG473,WG562,WG606,WG657,WG475,WG520,WG908,WG276,WG635,WG641,WG986,WG392,WG338,WG676,3,5,6,3,4,6,1,4,5,6,2,3,4,7,4,4,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3
WG7,-0.274682729,-0.101971289,0.5859375,3,0,3,WG738,WG634,WG214,WG543,WG470,WG791,WG426,WG990,WG135,WG910,WG307,WG485,WG195,WG443,WG817,WG206,WG943,WG889,WG19,2,5,3,5,7,2,3,6,3,1,5,7,7,1,6,7,1,2,2,3,3,3,3,1,3,3,3,3,3,3,0,2,3,3,2,3,3,3
WG8,-0.01622459,0.134406004,0.56557377,6,3,3,WG572,WG987,WG88,WG747,WG743,WG100,WG825,WG740,WG95,WG508,WG442,WG68,WG755,WG726,WG517,WG308,WG914,WG41,WG503,7,3,7,0,3,3,3,5,5,0,6,3,2,7,0,2,4,3,3,2,3,0,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3
WG9,0.076288769,-0.008260647,0.605042017,7,4,3,WG878,WG90,WG406,WG366,WG548,WG326,WG638,WG449,WG991,WG139,WG66,WG269,WG38,WG248,WG849,WG567,WG885,WG498,WG924,1,7,3,1,4,2,1,7,1,2,7,3,4,7,7,4,2,3,2,3,1,3,3,3,3,3,0,3,3,0,3,3,0,1,3,3,3,3
WG10,0.218321377,-0.051029288,0.544642857,5,2,3,WG209,WG80,WG679,WG585,WG944,WG89,WG590,WG227,WG688,WG467,WG312,WG527,WG293,WG115,WG496,WG838,WG644,WG994,WG942,4,4,7,7,0,3,7,7,1,1,0,2,3,0,3,4,1,4,1,3,3,1,1,3,3,0,1,3,3,3,3,3,3,3,3,3,3,3
WG11,0.384165095,-0.140435298,0.610294118,8,5,3,WG182,WG479,WG636,WG133,WG491,WG704,WG857,WG872,WG149,WG856,WG301,WG254,WG541,WG691,WG586,WG294,WG713,WG297,WG113,7,4,5,3,3,7,7,0,6,4,3,3,3,5,2,1,2,6,7,2,3,3,3,3,2,0,3,3,3,3,3,3,3,3,3,3,3,1
WG12,0.261330193,-0.33084111,0.580152672,3,0,3,WG975,WG589,WG284,WG74,WG728,WG3,WG298,WG60,WG696,WG610,WG57,WG425,WG85,WG512,WG678,WG481,WG357,WG607,WG168,6,3,4,1,3,6,7,1,6,1,0,7,1,5,4,6,3,5,7,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,2
WG13,0.04925002,0.362629354,0.572580645,9,7,2,WG681,WG960,WG926,WG940,WG205,WG183,WG56,WG643,WG809,WG935,WG287,WG427,WG646,WG757,WG132,WG299,WG122,WG677,WG460,7,1,4,4,3,3,1,7,7,1,2,1,4,2,7,6,0,1,3,2,3,3,3,3,3,3,2,0,3,3,3,3,3,2,3,3,3,3
WG14,0.143610876,-0.140188354,0.595419847,8,7,1,WG104,WG292,WG875,WG387,WG671,WG430,WG131,WG588,WG102,WG806,WG55,WG622,WG994,WG484,WG137,WG573,WG165,WG86,WG754,5,5,1,7,2,3,2,0,4,7,0,2,4,7,7,3,6,6,0,3,3,3,1,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3
WG15,-0.227104508,-0.212537898,0.669064748,6,3,3,WG895,WG687,WG735,WG77,WG908,WG459,WG392,WG670,WG611,WG18,WG915,WG181,WG606,WG756,WG469,WG125,WG635,WG249,WG873,0,5,7,3,3,7,3,3,7,7,3,7,4,7,3,4,7,3,7,3,3,1,3,3,2,3,3,2,2,3,1,3,0,3,3,0,3,2
WG16,-0.301446137,-0.171852744,0.617647059,7,4,3,WG676,WG521,WG635,WG76,WG475,WG943,WG18,WG756,WG169,WG392,WG214,WG543,WG641,WG46,WG307,WG154,WG459,WG908,WG986,6,3,7,0,6,1,7,7,2,3,3,5,4,1,5,6,7,3,4,3,3,0,3,3,3,2,0,3,3,3,3,3,3,3,3,2,3,3
WG17,0.322350061,-0.27038648,0.568181818,7,4,3,WG167,WG512,WG597,WG678,WG219,WG60,WG207,WG509,WG112,WG284,WG932,WG586,WG551,WG168,WG728,WG610,WG999,WG74,WG607,0,5,7,4,3,1,5,7,6,4,2,2,3,7,3,1,5,1,5,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3
WG18,-0.257305636,-0.179102766,0.659574468,9,7,2,WG756,WG459,WG687,WG392,WG915,WG676,WG635,WG908,WG16,WG15,WG543,WG630,WG895,WG791,WG77,WG873,WG735,WG521,WG611,7,7,5,3,3,6,7,3,4,3,5,4,0,2,3,7,7,3,7,0,2,3,3,3,3,0,3,3,3,3,3,3,3,3,2,1,3,2
WG19,-0.327558204,-0.066996873,0.65,5,2,3,WG360,WG206,WG426,WG470,WG480,WG889,WG485,WG532,WG307,WG581,WG337,WG738,WG303,WG204,WG195,WG121,WG486,WG288,WG214,4,7,3,7,6,2,7,7,5,5,1,2,7,4,7,7,3,2,3,3,2,3,1,3,3,0,2,3,3,3,3,1,3,2,2,3,3,3
WG20,-0.172615779,0.25050677,0.61971831,9,6,3,WG934,WG379,WG569,WG594,WG605,WG667,WG129,WG488,WG886,WG502,WG422,WG698,WG123,WG822,WG166,WG877,WG693,WG378,WG434,1,4,5,5,1,7,3,5,6,7,3,7,5,1,4,5,4,7,2,3,3,3,3,3,1,3,3,3,1,3,2,3,3,3,3,3,2,3
WG21,-0.10368528,0.029932784,0.621428571,7,4,3,WG54,WG734,WG217,WG286,WG343,WG185,WG304,WG973,WG513,WG707,WG574,WG832,WG625,WG724,WG238,WG355,WG171,WG604,WG141,5,5,1,2,5,3,3,2,5,6,7,7,5,1,5,6,3,5,7,3,3,3,3,3,3,3,3,3,3,2,0,3,3,3,3,3,3,0
WG22,0.236087956,-0.201247008,0.618320611,5,2,3,WG871,WG331,WG179,WG1000,WG439,WG119,WG540,WG151,WG175,WG593,WG932,WG198,WG603,WG744,WG648,WG207,WG806,WG168,WG232,7,7,7,5,2,1,0,1,4,7,2,7,6,1,1,5,7,7,2,1,2,2,3,3,3,3,3,3,0,3,2,3,3,3,3,2,2,3
WG23,0.029526661,-0.185637871,0.5625,5,2,3,WG5,WG904,WG792,WG566,WG535,WG719,WG150,WG964,WG913,WG423,WG186,WG39,WG137,WG262,WG484,WG795,WG165,WG754,WG632,1,3,2,7,2,5,3,2,7,2,3,3,7,4,7,5,6,0,1,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3
WG24,-0.06652909,-0.006758717,0.605633803,9,6,3,WG511,WG777,WG513,WG953,WG238,WG973,WG217,WG734,WG784,WG306,WG4,WG753,WG355,WG790,WG94,WG21,WG54,WG304,WG574,2,6,5,0,5,2,1,5,6,7,2,1,6,7,6,4,5,3,7,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,2
WG25,-0.107190147,0.298575816,0.635658915,7,4,3,WG539,WG194,WG821,WG845,WG344,WG346,WG114,WG99,WG166,WG420,WG464,WG499,WG378,WG649,WG605,WG465,WG698,WG452,WG594,2,2,1,7,2,7,3,0,4,7,2,5,7,2,1,7,7,7,5,3,3,3,2,3,2,3,3,3,0,3,3,2,3,3,0,2,0,3
WG26,-0.468010748,-0.096493209,0.619402985,7,4,3,WG613,WG833,WG73,WG897,WG829,WG745,WG656,WG341,WG557,WG946,WG843,WG187,WG303,WG581,WG401,WG146,WG532,WG389,WG761,7,1,3,7,2,4,1,6,7,2,2,5,7,5,2,1,7,3,7,2,3,3,2,3,3,3,3,1,3,3,3,1,3,3,3,2,3,1
WG27,-0.447931491,-0.235740588,0.5859375,8,7,1,WG673,WG761,WG854,WG401,WG843,WG338,WG557,WG276,WG837,WG385,WG986,WG972,WG562,WG358,WG897,WG279,WG641,WG73,WG169,1,7,5,2,2,3,7,4,5,3,4,2,1,4,7,2,4,3,2,3,1,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3
WG28,-0.149593838,-0.369480785,0.659863946,9,6,3,WG282,WG831,WG83,WG257,WG322,WG563,WG927,WG462,WG444,WG239,WG939,WG196,WG372,WG336,WG974,WG860,WG629,WG159,WG805,2,0,5,6,0,7,7,6,3,7,7,6,3,2,7,5,5,7,6,3,3,3,3,3,2,1,3,3,1,1,3,3,3,1,3,3,2,3
WG29,-0.155924499,-0.184367843,0.6015625,4,1,3,WG224,WG417,WG456,WG780,WG215,WG611,WG37,WG181,WG735,WG77,WG985,WG245,WG32,WG523,WG125,WG320,WG621,WG234,WG936,5,4,1,2,3,7,0,7,7,3,2,4,7,7,4,2,3,7,1,3,3,3,3,3,2,3,1,1,3,3,3,2,2,3,3,3,1,3
WG30,-0.290232203,0.021347422,0.65942029,9,7,2,WG982,WG240,WG902,WG733,WG288,WG48,WG1,WG432,WG486,WG31,WG633,WG556,WG959,WG882,WG204,WG272,WG53,WG531,WG163,5,2,3,3,2,6,0,7,3,7,7,7,5,3,4,7,1,5,7,3,3,3,3,3,3,3,0,3,2,0,1,3,3,3,1,3,3,2
WG31,-0.295333537,0.066241017,0.678321678,9,7,2,WG432,WG733,WG902,WG1,WG995,WG97,WG230,WG163,WG48,WG30,WG906,WG191,WG477,WG959,WG665,WG116,WG982,WG633,WG236,7,3,3,0,7,3,3,7,6,7,7,3,7,5,5,4,5,7,1,0,3,3,3,2,3,3,2,3,2,2,3,0,3,3,3,3,0,3
WG32,-0.117490474,-0.225252335,0.545454545,9,7,2,WG245,WG936,WG37,WG215,WG417,WG736,WG263,WG224,WG71,WG29,WG583,WG456,WG629,WG181,WG125,WG779,WG388,WG234,WG901,4,1,0,3,4,1,6,5,3,1,3,1,5,7,4,2,1,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3
WG33,0.390608087,0.134603936,0.586466165,9,6,3,WG952,WG962,WG222,WG265,WG176,WG52,WG203,WG59,WG264,WG173,WG383,WG256,WG433,WG180,WG226,WG879,WG382,WG170,WG461,5,0,7,6,2,0,1,7,2,3,3,7,7,3,6,0,6,1,6,3,3,1,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3
WG34,-0.125097314,0.19095836,0.598425197,7,4,3,WG58,WG714,WG693,WG697,WG799,WG502,WG886,WG923,WG729,WG941,WG827,WG328,WG667,WG160,WG422,WG822,WG798,WG476,WG403,4,1,4,2,7,7,6,3,7,4,2,6,7,2,3,1,1,2,3,3,3,3,3,1,1,3,3,0,3,3,3,1,3,3,3,3,3,3
WG35,-0.051331607,-0.070922573,0.528455285,5,2,3,WG884,WG4,WG645,WG953,WG909,WG790,WG511,WG784,WG810,WG624,WG190,WG777,WG652,WG251,WG24,WG760,WG830,WG340,WG238,4,2,2,0,2,7,2,6,2,2,4,6,5,2,6,3,3,0,5,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
WG36,0.134282467,-0.32503912,0.566929134,9,6,3,WG750,WG751,WG814,WG445,WG329,WG2,WG490,WG716,WG869,WG855,WG796,WG653,WG300,WG357,WG393,WG325,WG970,WG789,WG400,4,4,2,3,4,3,6,4,2,7,5,4,1,3,0,4,1,2,7,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,1
WG37,-0.14855606,-0.224426282,0.57480315,3,0,3,WG245,WG417,WG32,WG181,WG224,WG936,WG125,WG215,WG29,WG779,WG469,WG735,WG611,WG456,WG77,WG263,WG629,WG780,WG736,4,4,7,7,5,1,4,3,1,2,3,7,7,1,3,6,5,2,1,3,3,2,1,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3
WG38,0.072143306,0.029412,0.570247934,7,4,3,WG885,WG991,WG449,WG66,WG774,WG90,WG937,WG847,WG153,WG9,WG711,WG366,WG269,WG717,WG722,WG567,WG253,WG405,WG878,2,1,7,7,3,7,2,0,3,4,6,1,3,4,2,4,4,4,1,3,3,0,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
WG39,0.037143506,-0.240563115,0.548387097,6,3,3,WG795,WG904,WG663,WG689,WG296,WG93,WG792,WG189,WG863,WG23,WG231,WG632,WG440,WG913,WG105,WG715,WG262,WG5,WG143,5,3,1,5,7,1,2,3,3,2,6,1,3,7,4,0,4,1,7,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,1
WG40,0.374938472,-0.382571008,0.555555556,7,4,3,WG302,WG968,WG999,WG536,WG695,WG610,WG696,WG597,WG74,WG60,WG321,WG284,WG425,WG17,WG12,WG512,WG589,WG167,WG776,5,2,5,4,7,1,6,7,1,1,2,4,7,4,0,5,3,0,2,3,3,3,3,2,3,3,2,3,3,3,3,1,3,3,3,3,3,3
WG41,-0.025147559,0.191785086,0.626865672,6,3,3,WG743,WG463,WG412,WG925,WG747,WG221,WG68,WG75,WG763,WG572,WG8,WG235,WG827,WG987,WG88,WG289,WG992,WG710,WG866,3,5,7,7,0,6,3,2,7,7,3,1,2,3,7,1,7,3,7,3,3,2,2,3,3,3,3,2,2,3,3,3,3,0,3,2,3,1
WG42,0.142073409,0.275726332,0.616541353,7,7,0,WG852,WG570,WG386,WG533,WG767,WG808,WG807,WG356,WG290,WG377,WG971,WG368,WG367,WG841,WG118,WG759,WG91,WG493,WG478,5,1,7,6,3,1,6,5,5,7,0,3,2,5,3,5,7,3,1,3,3,2,3,3,3,3,3,3,0,3,3,3,3,3,3,1,3,3
WG43,-0.392049291,0.27923042,0.616541353,5,2,3,WG126,WG81,WG472,WG801,WG518,WG865,WG709,WG917,WG816,WG380,WG655,WG957,WG318,WG565,WG587,WG560,WG947,WG127,WG617,6,7,6,2,2,4,6,4,2,1,7,6,2,7,7,3,7,0,1,3,0,3,3,3,3,3,3,3,3,1,3,3,2,1,3,2,3,3
WG44,0.113166431,0.114297525,0.590551181,7,7,0,WG739,WG739,WG762,WG281,WG650,WG330,WG997,WG347,WG859,WG549,WG996,WG504,WG155,WG255,WG447,WG773,WG453,WG568,WG786,2,2,0,6,2,1,7,3,5,4,2,3,1,0,6,7,7,7,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,2,2,3
WG45,-0.027087205,0.072290087,0.58778626,4,1,3,WG220,WG229,WG100,WG627,WG528,WG930,WG949,WG442,WG892,WG609,WG94,WG171,WG931,WG825,WG306,WG604,WG416,WG88,WG987,7,6,3,0,3,2,7,6,1,2,6,3,1,3,7,5,4,7,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,0,3
WG46,-0.352980891,-0.144401958,0.625,4,1,3,WG169,WG121,WG76,WG943,WG385,WG521,WG307,WG485,WG303,WG206,WG641,WG16,WG581,WG475,WG986,WG214,WG470,WG676,WG73,2,7,0,1,3,3,5,7,7,7,4,4,5,6,4,3,7,6,3,3,2,3,3,3,3,3,0,1,2,3,3,3,3,3,3,1,3,3
