ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WRG1,-0.006130347,0.03018297,0.512605042,4,1,3,WRG310,WRG215,WRG728,WRG200,WRG227,WRG305,WRG345,WRG42,WRG529,WRG546,WRG545,WRG723,WRG632,WRG856,WRG23,WRG99,WRG983,WRG411,WRG337,0,4,7,2,0,3,4,3,3,6,1,5,4,2,1,2,4,7,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WRG2,-0.336420639,-0.100022314,0.544,9,7,2,WRG130,WRG197,WRG44,WRG849,WRG792,WRG948,WRG122,WRG996,WRG737,WRG117,WRG224,WRG537,WRG317,WRG864,WRG684,WRG210,WRG631,WRG8,WRG976,0,7,2,1,1,3,2,1,4,7,6,6,4,2,0,6,6,2,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
WRG3,-0.176738753,0.05994071,0.657534247,4,1,3,WRG429,WRG300,WRG87,WRG987,WRG959,WRG163,WRG258,WRG793,WRG536,WRG694,WRG805,WRG796,WRG913,WRG626,WRG38,WRG618,WRG496,WRG719,WRG744,7,4,7,2,4,1,4,7,6,6,4,7,4,7,7,2,7,4,5,0,3,2,3,3,3,3,2,3,3,3,1,3,2,2,3,2,3,3
WRG4,0.308287513,0.189789184,0.536585366,5,2,3,WRG203,WRG458,WRG900,WRG387,WRG846,WRG335,WRG256,WRG392,WRG922,WRG988,WRG111,WRG998,WRG643,WRG455,WRG944,WRG356,WRG182,WRG409,WRG835,3,7,3,2,2,6,6,1,1,6,4,3,3,7,2,2,1,1,4,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
WRG5,0.322134141,0.237147293,0.572519084,3,0,3,WRG719,WRG287,WRG351,WRG484,WRG38,WRG793,WRG702,WRG102,WRG273,WRG199,WRG665,WRG87,WRG694,WRG444,WRG816,WRG987,WRG456,WRG536,WRG959,4,2,7,4,7,7,1,0,4,6,2,7,6,0,3,2,3,6,4,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3
WRG6,0.054802756,-0.054900018,0.47706422,6,3,3,WRG398,WRG265,WRG893,WRG66,WRG990,WRG209,WRG459,WRG146,WRG790,WRG615,WRG390,WRG191,WRG673,WRG495,WRG561,WRG84,WRG885,WRG63,WRG732,0,1,1,0,0,7,0,3,3,1,6,0,7,3,4,3,5,1,4,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3
WRG7,0.287212943,-0.192104423,0.532786885,8,5,3,WRG119,WRG611,WRG23,WRG701,WRG994,WRG619,WRG68,WRG529,WRG99,WRG32,WRG329,WRG817,WRG546,WRG217,WRG31,WRG215,WRG164,WRG519,WRG204,4,1,1,0,6,2,3,3,2,4,7,7,6,1,2,4,0,5,2,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3
WRG8,-0.255050443,-0.048142016,0.49122807,5,2,3,WRG976,WRG985,WRG864,WRG292,WRG631,WRG244,WRG948,WRG849,WRG923,WRG500,WRG932,WRG507,WRG607,WRG999,WRG707,WRG160,WRG996,WRG405,WRG122,1,4,2,4,6,5,3,1,2,4,2,1,7,0,2,7,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3
WRG9,0.289681911,0.083506191,0.487179487,6,3,3,WRG629,WRG127,WRG431,WRG404,WRG359,WRG670,WRG929,WRG395,WRG354,WRG577,WRG722,WRG963,WRG724,WRG572,WRG997,WRG597,WRG303,WRG785,WRG668,5,2,2,4,5,1,5,0,1,6,3,0,1,3,2,0,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WRG10,0.039831159,0.176451608,0.540322581,4,1,3,WRG104,WRG73,WRG320,WRG65,WRG301,WRG226,WRG378,WRG904,WRG756,WRG238,WRG925,WRG657,WRG113,WRG154,WRG813,WRG142,WRG478,WRG767,WRG401,1,3,6,6,2,2,6,3,5,1,3,5,2,3,1,7,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
