ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WU1,-0.088897745,0.055685838,0.486956522,4,1,3,WU931,WU687,WU88,WU948,WU912,WU524,WU699,WU506,WU601,WU417,WU233,WU780,WU822,WU15,WU985,WU109,WU247,WU446,WU760,4,6,4,6,2,2,3,0,4,3,0,3,3,4,1,7,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
WU2,0.407081463,-0.076467644,0.558139535,6,3,3,WU817,WU826,WU11,WU876,WU787,WU623,WU146,WU261,WU240,WU926,WU149,WU296,WU968,WU637,WU639,WU922,WU160,WU420,WU792,1,6,3,3,5,1,6,0,4,3,7,2,3,1,5,5,5,2,7,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1
WU3,-0.092482689,-0.228203538,0.664383562,7,4,3,WU346,WU788,WU683,WU800,WU384,WU958,WU751,WU730,WU442,WU465,WU741,WU159,WU992,WU97,WU344,WU859,WU919,WU612,WU881,6,2,2,4,4,5,4,7,1,1,7,4,7,7,6,7,7,5,7,3,3,3,3,3,3,3,2,3,3,2,3,1,2,3,1,1,3,1
WU4,0.184178453,-0.145079928,0.666666667,9,7,2,WU986,WU30,WU327,WU332,WU650,WU597,WU742,WU908,WU497,WU821,WU632,WU82,WU917,WU596,WU253,WU457,WU619,WU829,WU522,7,7,5,1,2,2,1,7,5,6,3,7,6,2,6,7,3,5,7,1,1,3,3,3,3,3,2,3,3,3,1,3,3,3,2,3,3,0
WU5,0.311520042,0.289702402,0.590909091,9,6,3,WU474,WU575,WU491,WU648,WU732,WU231,WU669,WU44,WU509,WU746,WU196,WU707,WU777,WU91,WU100,WU739,WU947,WU570,WU250,0,6,4,6,2,7,4,1,2,7,3,1,4,4,0,2,7,7,5,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,1,2,3
WU6,-0.189868606,0.1547711,0.673758865,5,2,3,WU659,WU978,WU469,WU867,WU32,WU813,WU706,WU317,WU175,WU773,WU783,WU832,WU896,WU805,WU719,WU976,WU33,WU624,WU748,2,7,3,7,7,7,5,2,7,1,3,6,4,5,7,3,6,6,5,3,2,3,1,0,1,3,3,0,3,3,3,3,3,0,3,3,3,3
WU7,-0.194605515,0.037160802,0.617886179,4,1,3,WU335,WU548,WU935,WU629,WU663,WU961,WU995,WU770,WU244,WU9,WU453,WU755,WU235,WU86,WU678,WU234,WU557,WU820,WU501,7,4,2,5,3,7,7,7,2,1,7,2,7,3,1,2,4,4,0,2,3,3,3,3,2,0,0,3,3,1,3,0,3,3,3,3,3,3
WU8,-0.319989549,0.004830778,0.607692308,5,2,3,WU735,WU184,WU200,WU74,WU708,WU797,WU666,WU734,WU682,WU938,WU537,WU963,WU213,WU158,WU913,WU221,WU934,WU413,WU121,7,5,7,1,5,3,3,5,2,7,0,7,3,6,3,3,3,7,0,0,3,2,3,3,3,3,3,3,1,3,1,3,3,3,3,3,2,3
WU9,-0.197314398,0.004728543,0.582677165,4,1,3,WU387,WU770,WU453,WU244,WU820,WU548,WU557,WU7,WU616,WU961,WU94,WU518,WU663,WU335,WU179,WU629,WU698,WU600,WU935,4,7,7,2,4,4,4,1,4,7,4,0,3,7,3,5,2,3,2,3,0,1,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3
WU10,-0.289846329,0.175767846,0.516666667,4,1,3,WU487,WU550,WU689,WU954,WU781,WU982,WU137,WU571,WU297,WU20,WU950,WU624,WU541,WU431,WU85,WU554,WU604,WU976,WU317,3,7,3,3,0,7,4,2,2,1,5,6,2,1,2,4,4,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
