ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WUB1,-0.003868408,-0.203749858,0.571428571,3,0,3,WUB682,WUB521,WUB834,WUB444,WUB306,WUB749,WUB921,WUB947,WUB591,WUB897,WUB765,WUB279,WUB443,WUB233,WUB228,WUB463,WUB111,WUB933,WUB374,5,5,5,1,2,7,0,3,4,7,5,5,5,6,2,2,7,0,5,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3
WUB2,-0.378779583,-0.044654173,0.566929134,3,0,3,WUB499,WUB831,WUB661,WUB96,WUB215,WUB193,WUB417,WUB16,WUB642,WUB329,WUB680,WUB345,WUB242,WUB204,WUB496,WUB301,WUB467,WUB188,WUB885,5,5,3,2,4,0,7,4,5,2,7,2,5,6,3,2,2,4,4,3,3,3,3,3,3,0,3,3,3,1,3,3,3,3,3,3,3,3
WUB3,0.129091596,0.13883242,0.561538462,3,0,3,WUB726,WUB658,WUB798,WUB466,WUB502,WUB620,WUB891,WUB408,WUB753,WUB707,WUB504,WUB800,WUB395,WUB991,WUB822,WUB163,WUB610,WUB282,WUB599,4,4,1,2,1,1,2,4,4,5,3,1,6,7,5,5,7,7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3
WUB4,-0.031834681,-0.197502765,0.552845528,9,7,2,WUB185,WUB65,WUB28,WUB531,WUB581,WUB673,WUB320,WUB356,WUB714,WUB33,WUB367,WUB114,WUB409,WUB337,WUB13,WUB332,WUB746,WUB246,WUB816,5,7,1,2,2,5,4,3,2,1,4,7,4,3,3,0,4,4,0,3,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WUB5,0.038198063,0.109664784,0.604316547,6,3,3,WUB135,WUB304,WUB312,WUB435,WUB166,WUB23,WUB395,WUB991,WUB500,WUB282,WUB121,WUB502,WUB266,WUB597,WUB762,WUB294,WUB229,WUB751,WUB794,1,5,4,7,5,2,6,7,4,7,5,1,5,5,6,2,4,4,1,3,3,3,0,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3
WUB6,0.03575452,-0.157990771,0.524193548,4,1,3,WUB504,WUB891,WUB139,WUB705,WUB408,WUB130,WUB936,WUB882,WUB163,WUB116,WUB798,WUB36,WUB726,WUB755,WUB249,WUB845,WUB769,WUB599,WUB30,3,2,3,2,4,1,1,2,5,5,1,7,4,6,4,5,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
WUB7,-0.326852612,0.096944697,0.528455285,5,2,3,WUB572,WUB397,WUB915,WUB147,WUB330,WUB398,WUB322,WUB926,WUB440,WUB768,WUB280,WUB903,WUB8,WUB729,WUB789,WUB472,WUB774,WUB877,WUB971,2,2,4,0,4,3,7,2,5,2,1,4,2,4,7,5,5,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3
WUB8,0.463151099,-0.406045994,0.547619048,5,2,3,WUB398,WUB322,WUB789,WUB717,WUB330,WUB624,WUB971,WUB692,WUB702,WUB432,WUB729,WUB915,WUB7,WUB801,WUB572,WUB99,WUB926,WUB748,WUB437,3,7,7,2,4,4,2,7,2,1,4,4,2,3,2,2,2,3,6,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
WUB9,-0.08091284,0.156037744,0.566929134,6,3,3,WUB333,WUB846,WUB197,WUB579,WUB462,WUB848,WUB577,WUB976,WUB517,WUB68,WUB690,WUB814,WUB833,WUB598,WUB518,WUB309,WUB190,WUB479,WUB899,2,2,7,4,2,5,3,3,4,4,5,7,1,2,5,1,7,2,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3
WUB10,0.255576923,0.082057359,0.524590164,5,2,3,WUB598,WUB160,WUB660,WUB603,WUB518,WUB227,WUB814,WUB55,WUB449,WUB309,WUB462,WUB846,WUB343,WUB577,WUB644,WUB422,WUB847,WUB783,WUB212,2,4,5,5,5,5,7,1,3,1,2,2,2,3,4,5,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
WUB11,0.186251449,0.087035571,0.485981308,3,0,3,WUB423,WUB323,WUB426,WUB830,WUB796,WUB694,WUB760,WUB767,WUB428,WUB64,WUB898,WUB544,WUB708,WUB611,WUB969,WUB791,WUB181,WUB643,WUB250,1,4,5,1,4,0,2,0,4,4,2,2,3,7,2,7,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,1,3,3,3
WUB12,-0.219236109,0.045201438,0.580645161,3,0,3,WUB218,WUB389,WUB72,WUB735,WUB829,WUB54,WUB67,WUB594,WUB554,WUB639,WUB256,WUB403,WUB400,WUB303,WUB772,WUB901,WUB564,WUB424,WUB870,3,1,4,3,7,4,4,2,2,7,7,2,7,1,2,6,3,3,4,3,3,3,3,0,3,3,3,3,1,2,3,1,3,3,3,3,3,3
WUB13,-0.233052906,0.083677848,0.5,6,3,3,WUB33,WUB673,WUB315,WUB874,WUB231,WUB714,WUB140,WUB337,WUB471,WUB367,WUB619,WUB581,WUB185,WUB335,WUB246,WUB972,WUB329,WUB114,WUB301,1,5,2,4,6,2,5,3,1,4,0,2,5,1,4,0,2,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
WUB14,0.401405941,-0.026586809,0.553719008,5,2,3,WUB86,WUB363,WUB299,WUB671,WUB169,WUB706,WUB247,WUB113,WUB974,WUB239,WUB966,WUB743,WUB853,WUB159,WUB470,WUB478,WUB489,WUB872,WUB52,2,2,0,4,2,6,2,6,4,3,2,3,6,2,1,4,2,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
WUB15,-0.041260899,-0.401278025,0.525,8,7,1,WUB338,WUB629,WUB388,WUB419,WUB739,WUB186,WUB948,WUB156,WUB528,WUB377,WUB222,WUB980,WUB906,WUB863,WUB396,WUB951,WUB764,WUB514,WUB820,6,2,7,1,3,6,0,2,2,3,2,4,2,4,2,6,2,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WUB16,-0.173374042,0.052241556,0.571428571,7,4,3,WUB193,WUB242,WUB467,WUB680,WUB2,WUB96,WUB417,WUB137,WUB499,WUB809,WUB329,WUB345,WUB831,WUB756,WUB691,WUB661,WUB215,WUB619,WUB204,0,5,2,7,0,2,7,6,5,4,2,2,5,1,7,3,4,0,6,3,3,3,1,3,3,0,3,3,3,3,3,3,3,2,3,3,3,3
WUB17,-0.090885867,0.30872746,0.559055118,4,1,3,WUB799,WUB609,WUB845,WUB110,WUB882,WUB547,WUB420,WUB30,WUB599,WUB473,WUB670,WUB989,WUB163,WUB206,WUB942,WUB57,WUB610,WUB249,WUB408,3,2,5,7,2,4,2,3,4,7,0,4,5,3,2,2,7,4,4,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3
