ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WUG1,-0.0882308,0.033502569,0.551724138,3,0,3,WUG142,WUG885,WUG145,WUG104,WUG386,WUG840,WUG654,WUG324,WUG861,WUG26,WUG941,WUG63,WUG684,WUG706,WUG971,WUG911,WUG940,WUG414,WUG505,4,7,3,4,1,7,7,7,1,5,2,0,0,3,1,3,1,3,5,3,1,3,3,3,1,0,2,3,3,3,3,3,3,3,3,3,3,3
WUG2,-0.031669935,-0.030725934,0.646616541,4,1,3,WUG848,WUG860,WUG988,WUG133,WUG201,WUG385,WUG158,WUG527,WUG737,WUG751,WUG225,WUG144,WUG130,WUG19,WUG766,WUG226,WUG299,WUG760,WUG979,7,2,6,2,7,2,3,4,5,7,2,7,6,2,1,7,7,1,7,0,3,3,3,2,3,3,3,3,2,3,1,3,3,3,1,0,3,2
WUG3,-0.046778882,0.104159633,0.553719008,7,4,3,WUG82,WUG667,WUG497,WUG551,WUG212,WUG735,WUG657,WUG123,WUG593,WUG966,WUG215,WUG472,WUG557,WUG559,WUG28,WUG723,WUG343,WUG465,WUG906,4,7,3,1,7,2,2,1,2,3,4,3,3,0,2,4,7,2,6,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,0,3,3
WUG4,-0.215430531,-0.109916213,0.6,3,0,3,WUG742,WUG383,WUG725,WUG755,WUG234,WUG216,WUG276,WUG320,WUG486,WUG690,WUG281,WUG600,WUG555,WUG663,WUG817,WUG110,WUG29,WUG622,WUG443,1,4,7,6,3,7,2,4,5,2,2,5,5,4,7,4,4,5,7,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2
WUG5,0.019657081,0.068261747,0.57480315,8,7,1,WUG652,WUG416,WUG535,WUG541,WUG710,WUG192,WUG274,WUG485,WUG72,WUG678,WUG519,WUG843,WUG7,WUG656,WUG306,WUG489,WUG805,WUG355,WUG534,5,1,7,3,3,5,3,4,2,7,3,4,3,1,1,3,5,3,3,3,3,2,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
WUG6,-0.116706271,0.027608072,0.593984962,7,4,3,WUG52,WUG193,WUG903,WUG683,WUG623,WUG458,WUG322,WUG608,WUG354,WUG228,WUG118,WUG412,WUG454,WUG279,WUG405,WUG265,WUG57,WUG426,WUG197,3,4,6,4,7,2,1,1,2,1,3,7,3,7,4,7,3,5,5,3,3,3,3,1,3,3,3,3,3,3,1,3,2,3,2,3,3,3
WUG7,0.015995311,0.046680344,0.593984962,6,3,3,WUG685,WUG927,WUG274,WUG833,WUG13,WUG535,WUG656,WUG863,WUG958,WUG541,WUG513,WUG534,WUG651,WUG900,WUG652,WUG843,WUG485,WUG416,WUG397,3,3,3,2,4,7,1,7,3,3,7,3,6,3,5,4,4,1,7,3,3,3,3,3,2,3,0,3,3,2,3,3,3,3,3,3,3,2
WUG8,-0.009168596,-0.075387133,0.5546875,3,0,3,WUG256,WUG423,WUG849,WUG825,WUG141,WUG714,WUG44,WUG96,WUG371,WUG109,WUG680,WUG66,WUG832,WUG947,WUG101,WUG21,WUG630,WUG347,WUG88,1,4,7,1,3,4,2,6,1,1,2,7,6,5,2,5,7,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3
WUG9,-0.145449507,-0.010202913,0.595238095,8,5,3,WUG627,WUG194,WUG195,WUG496,WUG938,WUG935,WUG795,WUG124,WUG314,WUG582,WUG411,WUG34,WUG547,WUG959,WUG45,WUG880,WUG407,WUG61,WUG103,1,2,0,0,5,1,1,5,5,4,7,6,5,5,7,7,0,2,7,3,3,3,3,3,3,3,3,3,3,1,3,3,3,0,2,3,3,0
WUG10,-0.076177706,0.070028439,0.625899281,6,3,3,WUG647,WUG418,WUG356,WUG566,WUG894,WUG542,WUG719,WUG448,WUG724,WUG362,WUG544,WUG835,WUG859,WUG112,WUG549,WUG503,WUG435,WUG27,WUG390,7,7,2,7,3,7,5,3,7,0,6,4,5,1,1,7,2,7,3,2,2,3,1,3,2,3,3,2,3,3,3,3,3,3,2,3,2,3
