Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BG1,-0.175390764,-0.414973154,43.7%,4,1,3,BG894,BG1844,BG65,BG487,BG2000,BG1736,BG1587,BG326,BG994,BG775,BG466,BG1136,BG850,BG1566,BG451,BG213,BG887,BG1288,BG1328,3,5,2,7,1,2,0,2,3,1,1,6,3,0,0,2,6,0,0,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG2,0.261102864,-0.130147436,56.2%,5,2,3,BG621,BG24,BG1214,BG1846,BG1394,BG463,BG1086,BG799,BG1345,BG320,BG913,BG1008,BG319,BG814,BG133,BG35,BG1156,BG611,BG1836,7,4,0,4,6,7,3,4,1,3,6,7,1,4,4,1,5,2,2,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3
BG3,-0.253158636,0.169637759,48.7%,9,6,3,BG1689,BG421,BG464,BG1998,BG1155,BG1051,BG1827,BG1679,BG1917,BG1284,BG1189,BG285,BG1901,BG334,BG113,BG977,BG1509,BG1455,BG1570,5,2,3,2,2,2,4,2,3,5,5,0,0,0,1,4,1,2,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
BG4,0.268359451,0.315611669,50.9%,8,5,3,BG1694,BG1041,BG354,BG1992,BG1045,BG47,BG1643,BG524,BG1920,BG1935,BG1853,BG998,BG974,BG1250,BG191,BG230,BG147,BG261,BG721,1,2,3,4,2,2,0,7,0,5,2,7,3,0,2,7,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3
BG5,0.071847095,0.091138671,46.4%,6,3,3,BG1811,BG1171,BG498,BG1601,BG535,BG399,BG1114,BG1178,BG670,BG1073,BG1191,BG557,BG1089,BG1888,BG1482,BG331,BG1467,BG282,BG76,5,1,3,3,5,4,2,6,2,3,6,1,2,1,1,1,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG6,0.338294099,0.216869733,51.3%,7,4,3,BG19,BG347,BG1530,BG672,BG1161,BG609,BG1864,BG328,BG216,BG1617,BG1094,BG1168,BG1620,BG414,BG1022,BG1819,BG1492,BG745,BG567,4,2,4,2,1,2,1,1,1,2,7,2,5,4,2,7,5,2,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3
BG7,-0.25583291,-0.20718713,46.8%,9,6,3,BG1212,BG688,BG905,BG1478,BG506,BG73,BG440,BG1450,BG566,BG1666,BG929,BG1157,BG1538,BG588,BG1437,BG448,BG829,BG587,BG628,3,2,1,3,2,0,2,7,2,5,2,1,6,2,1,2,2,0,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
BG8,-0.209961077,0.137229387,48.6%,5,2,3,BG1882,BG1884,BG1547,BG1802,BG1489,BG383,BG1754,BG860,BG285,BG1772,BG1189,BG1679,BG907,BG199,BG650,BG1827,BG455,BG1423,BG594,0,2,1,3,1,1,4,0,0,6,5,2,7,1,2,4,2,7,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3
BG9,-0.138276971,-0.063158564,57.3%,5,2,3,BG184,BG563,BG1026,BG153,BG568,BG1167,BG1286,BG1351,BG1123,BG1911,BG145,BG1826,BG473,BG714,BG1280,BG1704,BG69,BG324,BG314,3,3,7,5,6,7,2,0,6,5,5,3,7,0,3,1,4,3,3,3,3,2,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3
BG10,-0.161160954,-0.238882007,56.6%,5,2,3,BG482,BG937,BG163,BG1044,BG1807,BG1774,BG1147,BG450,BG128,BG1996,BG1486,BG1133,BG1281,BG964,BG1642,BG1234,BG159,BG928,BG1806,1,3,2,4,3,7,4,3,7,2,4,7,2,3,5,4,5,4,1,3,3,3,3,3,2,3,3,2,3,3,1,3,3,3,3,3,3,3
BG11,-0.229458996,-0.093691055,53.7%,7,4,3,BG257,BG1025,BG496,BG1654,BG59,BG1403,BG1885,BG1248,BG1074,BG298,BG185,BG981,BG172,BG1886,BG1578,BG709,BG1808,BG1038,BG936,7,5,1,7,1,2,7,0,1,4,3,0,5,2,6,1,6,1,2,2,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
BG12,0.15988418,-0.051833042,57.9%,6,3,3,BG522,BG596,BG1577,BG1646,BG84,BG1817,BG1683,BG309,BG411,BG1257,BG1383,BG1424,BG1444,BG1252,BG791,BG177,BG790,BG901,BG531,1,7,2,7,1,3,7,4,7,4,7,2,1,5,3,1,1,6,1,3,1,3,2,3,3,2,3,1,3,2,3,3,3,3,3,3,3,3
BG13,0.069120714,0.171011572,58.1%,5,2,3,BG224,BG70,BG254,BG904,BG1443,BG730,BG618,BG93,BG1760,BG857,BG629,BG307,BG134,BG1111,BG754,BG36,BG437,BG1153,BG1535,4,1,3,2,5,7,3,2,7,4,5,0,3,4,4,1,7,7,4,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,1,2,3
BG14,0.196672114,-0.225794651,52.9%,9,6,3,BG655,BG823,BG1860,BG501,BG361,BG1585,BG793,BG200,BG1841,BG516,BG193,BG376,BG539,BG30,BG1636,BG683,BG693,BG1782,BG1264,1,1,3,2,7,3,7,2,6,2,2,1,5,3,3,2,6,0,2,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3
BG15,-0.093136196,-0.27068151,48.6%,5,2,3,BG1396,BG452,BG713,BG661,BG1106,BG1830,BG532,BG565,BG1981,BG390,BG1235,BG408,BG1295,BG1815,BG1338,BG1763,BG1529,BG424,BG1642,1,3,3,1,1,4,7,6,2,0,7,0,0,0,2,3,4,3,5,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3
BG16,0.026408773,0.212883487,54.8%,4,1,3,BG201,BG132,BG1926,BG809,BG1582,BG467,BG458,BG1153,BG1466,BG237,BG1227,BG836,BG78,BG1535,BG126,BG947,BG1219,BG1105,BG93,5,2,3,4,0,4,7,7,1,7,2,4,4,4,0,4,4,4,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3
BG17,-0.104977823,0.196851326,57.8%,9,7,2,BG725,BG1137,BG818,BG1388,BG576,BG1177,BG1536,BG753,BG277,BG1755,BG1805,BG497,BG1448,BG1744,BG1320,BG1502,BG574,BG1220,BG160,7,6,2,7,3,4,1,1,7,1,1,2,2,7,0,6,7,1,2,2,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3
BG18,0.158976951,-0.264802379,50.4%,7,4,3,BG1636,BG1965,BG703,BG793,BG1585,BG1079,BG376,BG1030,BG1472,BG361,BG272,BG200,BG968,BG1782,BG1330,BG87,BG1678,BG1264,BG1392,3,5,2,7,3,0,1,4,6,7,2,2,0,0,2,3,4,2,1,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
BG19,0.322107362,0.222323341,47.7%,7,4,3,BG6,BG672,BG216,BG1161,BG328,BG1094,BG1530,BG347,BG1617,BG609,BG1946,BG745,BG1093,BG567,BG1492,BG1250,BG1174,BG657,BG1168,4,2,1,1,1,7,4,2,2,2,5,2,4,2,5,0,0,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
BG20,0.529540068,-0.185804237,51.3%,5,2,3,BG879,BG1135,BG1417,BG1889,BG1787,BG965,BG1378,BG1066,BG1899,BG1903,BG1343,BG1017,BG1680,BG1340,BG1869,BG796,BG60,BG1247,BG899,1,2,1,2,2,4,0,6,2,6,2,7,3,3,6,1,0,2,7,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,0
BG21,0.051331634,-0.46481401,54.1%,3,0,3,BG1325,BG1151,BG1404,BG465,BG993,BG136,BG1069,BG1735,BG867,BG544,BG1655,BG1591,BG921,BG1644,BG1925,BG1764,BG1516,BG317,BG1953,1,5,5,3,4,4,1,2,7,2,7,2,7,1,2,7,4,2,0,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,2,3,3,3
