Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WB1,-0.048552949,0.150924574,0.553846154,7,4,3,WB1730,WB1603,WB1350,WB1416,WB114,WB443,WB902,WB1054,WB1291,WB288,WB260,WB1404,WB383,WB26,WB954,WB1981,WB510,WB236,WB14,1,3,2,1,0,3,4,5,6,3,7,3,5,5,2,4,7,2,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3
WB2,0.183562233,-0.006144255,0.521367521,8,5,3,WB175,WB813,WB1610,WB29,WB595,WB1586,WB1752,WB259,WB530,WB565,WB1272,WB1180,WB724,WB1274,WB1050,WB253,WB746,WB1621,WB394,3,2,7,1,4,3,0,2,0,4,5,7,3,2,0,3,4,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
WB3,0.234748696,0.181066476,0.6,3,0,3,WB787,WB238,WB386,WB1922,WB396,WB972,WB876,WB1273,WB1083,WB545,WB834,WB747,WB449,WB1577,WB1748,WB190,WB1178,WB586,WB1715,2,7,7,2,4,7,2,3,3,4,6,3,3,7,2,1,2,7,3,3,0,2,3,3,2,3,3,3,3,3,3,3,1,3,3,3,0,3
WB4,-0.309315374,0.118095251,0.595588235,3,0,3,WB125,WB159,WB220,WB777,WB171,WB489,WB559,WB187,WB1703,WB767,WB1543,WB960,WB1823,WB1345,WB142,WB1405,WB43,WB445,WB1303,4,7,5,5,3,7,4,1,5,3,6,7,1,5,4,2,5,0,7,3,1,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2
WB5,0.390924993,0.0051198,0.427184466,3,0,3,WB387,WB1403,WB439,WB1876,WB1430,WB408,WB1663,WB1454,WB278,WB1249,WB1970,WB1245,WB170,WB393,WB1068,WB1185,WB1607,WB1155,WB1207,1,3,0,1,0,1,0,6,6,4,5,0,7,4,0,4,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
WB6,0.37454243,-0.419183285,0.512820513,4,1,3,WB526,WB1759,WB189,WB1429,WB497,WB1942,WB64,WB1646,WB872,WB1588,WB1778,WB1737,WB1349,WB437,WB152,WB1242,WB789,WB555,WB1191,3,3,0,1,3,2,2,1,2,1,6,4,7,7,3,5,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3
WB7,-0.070665899,-0.197315378,0.521367521,8,7,1,WB1390,WB1524,WB471,WB295,WB1323,WB243,WB1605,WB931,WB1935,WB888,WB722,WB1016,WB1492,WB354,WB913,WB1069,WB971,WB552,WB1192,1,6,4,2,4,6,6,0,7,6,1,2,1,5,1,1,0,1,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3
WB8,-0.160268146,-0.202441877,0.46728972,5,2,3,WB374,WB395,WB758,WB525,WB1010,WB1491,WB847,WB390,WB186,WB418,WB1284,WB1151,WB1441,WB1128,WB912,WB281,WB643,WB69,WB75,2,5,1,1,4,0,7,0,1,5,7,0,4,1,2,0,2,6,0,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3
WB9,0.026000537,0.305912657,0.584,4,1,3,WB1475,WB1031,WB1292,WB1583,WB290,WB622,WB631,WB11,WB1122,WB1612,WB1957,WB1002,WB1669,WB1729,WB325,WB1570,WB1236,WB177,WB821,7,5,1,7,2,5,7,4,7,0,2,3,2,1,5,2,4,6,2,1,3,3,1,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3
WB10,-0.176760818,-0.348091964,0.5,9,6,3,WB233,WB1177,WB1025,WB768,WB1334,WB1514,WB1681,WB319,WB652,WB1414,WB463,WB1290,WB887,WB1655,WB1039,WB1096,WB856,WB1898,WB93,1,3,1,2,1,7,7,2,1,0,3,0,4,2,3,0,4,7,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3
