Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
WR1,-0.054996088,-0.452498029,0.598484848,3,0,3,WR1726,WR138,WR791,WR1609,WR1274,WR1011,WR1002,WR656,WR1488,WR115,WR20,WR1892,WR1926,WR65,WR1237,WR1595,WR1047,WR193,WR1545,3,5,7,4,7,7,3,7,4,1,5,5,3,0,7,6,0,3,2,3,3,2,3,2,2,3,2,3,3,3,3,3,3,0,3,3,3,3
WR2,0.087363518,-0.177578735,0.544,3,0,3,WR1593,WR1388,WR1208,WR1596,WR1424,WR855,WR1477,WR452,WR725,WR682,WR1264,WR1846,WR1474,WR1400,WR1294,WR1174,WR1758,WR1786,WR349,2,3,3,1,6,2,7,2,2,4,0,4,5,3,1,3,7,7,6,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3
WR3,-0.256089945,-0.018096031,0.48245614,6,3,3,WR581,WR943,WR1052,WR1759,WR346,WR1871,WR907,WR1581,WR587,WR167,WR827,WR777,WR1432,WR1148,WR328,WR1922,WR190,WR483,WR1856,2,1,2,2,5,3,2,5,3,3,2,1,7,6,1,4,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
WR4,0.184810384,0.285346249,0.586466165,6,3,3,WR541,WR366,WR342,WR321,WR986,WR630,WR52,WR60,WR194,WR1065,WR1808,WR563,WR1916,WR1178,WR1395,WR1235,WR569,WR395,WR211,6,7,7,3,6,1,5,3,5,4,4,1,3,4,3,2,0,4,7,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
WR5,-0.303386062,0.053993605,0.473684211,3,0,3,WR1559,WR1752,WR188,WR423,WR310,WR1087,WR134,WR831,WR1866,WR870,WR1735,WR604,WR1247,WR1767,WR828,WR1853,WR383,WR1225,WR1425,3,1,3,4,3,6,1,2,2,4,4,1,0,4,4,2,3,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR6,-0.139997845,-0.016119463,0.58778626,4,1,3,WR94,WR271,WR1378,WR141,WR663,WR1849,WR584,WR1802,WR1157,WR765,WR1709,WR1115,WR223,WR1409,WR564,WR8,WR389,WR918,WR308,1,7,7,4,5,3,3,5,4,7,3,0,1,7,7,2,2,5,3,3,2,2,3,3,3,3,3,3,1,3,3,3,2,2,3,3,3,3
WR7,0.228443301,-0.181316084,0.602941176,6,3,3,WR1484,WR203,WR178,WR1591,WR306,WR1403,WR958,WR1604,WR1754,WR1787,WR1869,WR1492,WR1576,WR294,WR1188,WR474,WR293,WR850,WR543,7,6,3,1,3,4,4,2,1,0,6,7,5,3,6,7,4,7,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,0,3
WR8,-0.173549448,-0.022623564,0.552845528,5,2,3,WR564,WR765,WR969,WR1951,WR717,WR1628,WR440,WR476,WR1645,WR141,WR848,WR308,WR94,WR1157,WR838,WR6,WR1715,WR1205,WR663,7,7,0,4,7,4,0,4,4,4,1,3,1,4,4,1,3,3,5,2,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR9,0.086467829,0.155357245,0.576,6,3,3,WR1862,WR894,WR1463,WR315,WR872,WR413,WR1560,WR1634,WR593,WR1465,WR741,WR740,WR1024,WR1123,WR1636,WR1328,WR602,WR1692,WR1268,1,7,5,0,1,3,1,7,3,7,3,4,0,5,4,7,7,3,1,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,1,1,3,3
WR10,-0.209917811,-0.067057659,0.604316547,8,5,3,WR703,WR618,WR883,WR769,WR267,WR1034,WR670,WR1418,WR1856,WR1653,WR717,WR1791,WR1195,WR1628,WR1491,WR949,WR1951,WR623,WR738,7,6,6,4,3,4,4,0,0,5,7,6,4,4,3,4,4,1,7,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2
WR11,0.240138002,-0.407616004,0.578125,4,1,3,WR84,WR778,WR1549,WR1714,WR1538,WR356,WR370,WR818,WR121,WR35,WR18,WR432,WR1641,WR418,WR258,WR514,WR85,WR1038,WR1597,5,2,6,0,0,5,4,2,7,1,7,6,4,7,3,2,4,6,2,3,3,3,3,3,3,3,3,0,3,2,3,3,1,3,3,3,3,3
WR12,-0.44405454,-0.003768949,0.495726496,3,0,3,WR1567,WR1109,WR119,WR172,WR923,WR1668,WR603,WR151,WR1339,WR1061,WR307,WR445,WR697,WR654,WR1540,WR761,WR1939,WR1952,WR1326,0,4,5,6,2,7,1,2,1,5,1,5,3,2,5,4,0,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
WR13,0.101507255,0.053778398,0.602836879,8,5,3,WR436,WR1813,WR1675,WR955,WR1146,WR377,WR1202,WR1582,WR80,WR638,WR1504,WR1899,WR1366,WR565,WR557,WR1679,WR1840,WR250,WR857,1,1,1,5,2,3,7,7,4,4,3,7,6,0,5,6,6,7,5,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,3
WR14,-0.462353921,0.162214915,0.5,6,3,3,WR1891,WR1085,WR1732,WR1760,WR481,WR137,WR45,WR1089,WR1144,WR478,WR544,WR1622,WR773,WR1152,WR1658,WR512,WR715,WR1380,WR1472,1,0,1,3,0,3,1,4,5,1,6,6,7,4,1,6,1,5,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
WR15,0.289244953,-0.134359272,0.56097561,5,2,3,WR277,WR1967,WR387,WR691,WR1620,WR1334,WR547,WR1440,WR1476,WR75,WR592,WR354,WR1589,WR819,WR1012,WR987,WR1427,WR850,WR368,2,1,3,3,3,5,7,3,3,4,1,4,1,3,1,2,7,7,7,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,0,2
WR16,0.017671562,-0.265619243,0.569230769,6,3,3,WR860,WR947,WR1912,WR255,WR1864,WR1918,WR207,WR1806,WR748,WR372,WR1619,WR972,WR1352,WR1648,WR231,WR1828,WR560,WR1317,WR755,5,4,6,7,5,6,2,2,0,0,7,2,3,2,0,6,6,1,7,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1
WR17,0.204742553,0.01545449,0.529411765,9,6,3,WR117,WR1134,WR1906,WR1325,WR545,WR1981,WR1627,WR736,WR698,WR1386,WR282,WR1193,WR1298,WR1300,WR808,WR1728,WR247,WR279,WR1289,2,7,5,3,1,6,1,4,3,7,2,0,2,1,0,4,3,2,4,3,2,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
WR18,0.323506279,-0.450543703,0.57480315,9,7,2,WR84,WR1190,WR121,WR11,WR85,WR73,WR1549,WR778,WR356,WR432,WR1714,WR77,WR1538,WR1641,WR168,WR370,WR529,WR679,WR514,5,7,7,1,4,1,6,2,5,6,0,3,0,4,6,4,1,2,2,3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR19,0.009546834,0.231904669,0.476635514,7,4,3,WR571,WR1435,WR1277,WR1851,WR612,WR1756,WR243,WR399,WR1762,WR1234,WR1844,WR1956,WR1288,WR633,WR1506,WR1027,WR1014,WR1090,WR1990,1,3,1,2,7,2,3,0,2,0,1,5,7,7,4,2,0,0,0,3,3,3,3,2,3,3,3,3,3,3,3,1,2,3,3,3,3,3
WR20,-0.135708064,-0.441420161,0.588235294,8,5,3,WR1081,WR1011,WR193,WR746,WR742,WR138,WR1563,WR1237,WR1439,WR1,WR2000,WR1609,WR737,WR537,WR1892,WR1232,WR102,WR93,WR1699,1,7,3,3,5,5,1,7,3,0,5,4,5,6,5,1,6,6,2,3,2,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3
WR21,0.098094179,-0.348350072,0.52892562,6,3,3,WR1682,WR1214,WR1585,WR1383,WR939,WR1496,WR1537,WR1292,WR1850,WR58,WR753,WR1137,WR659,WR1836,WR1996,WR256,WR1597,WR1419,WR757,1,2,2,4,7,6,4,4,7,2,0,5,2,3,2,2,2,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3
WR22,0.589142691,-0.050553848,0.504201681,4,1,3,WR1160,WR388,WR1032,WR416,WR259,WR343,WR1662,WR1570,WR1199,WR86,WR825,WR843,WR660,WR803,WR1960,WR425,WR240,WR823,WR180,4,3,4,4,4,3,3,7,4,2,1,2,0,3,5,5,0,0,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
WR23,0.105104124,-0.105181743,0.541666667,7,7,0,WR1566,WR578,WR1338,WR1353,WR1992,WR985,WR1331,WR1271,WR199,WR26,WR198,WR601,WR532,WR201,WR1314,WR214,WR386,WR1169,WR182,6,0,2,0,6,5,7,2,0,0,1,5,1,2,6,5,0,5,5,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
WR24,-0.187661079,0.162163274,0.469026549,6,3,3,WR837,WR1774,WR1654,WR380,WR651,WR327,WR642,WR534,WR76,WR1431,WR681,WR1963,WR385,WR1211,WR1284,WR1561,WR276,WR897,WR1411,2,3,2,2,5,2,0,1,2,3,4,2,0,1,5,2,2,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR25,0.096425907,-0.042622431,0.545454545,3,0,3,WR1220,WR1448,WR550,WR643,WR1882,WR796,WR788,WR758,WR1673,WR1269,WR858,WR400,WR889,WR186,WR577,WR1885,WR1209,WR1972,WR1000,7,6,6,2,3,1,5,4,4,1,2,1,1,7,4,2,7,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3
WR26,0.080787053,-0.104626207,0.480769231,3,0,3,WR201,WR1353,WR386,WR1548,WR214,WR714,WR131,WR1368,WR23,WR532,WR318,WR1331,WR266,WR578,WR199,WR985,WR793,WR1169,WR667,2,0,0,7,5,3,1,3,7,1,0,7,1,0,0,5,2,5,1,3,3,3,2,3,3,3,3,0,3,3,1,3,3,3,3,3,3,3
WR27,0.074815805,-0.253711623,0.593984962,7,4,3,WR1016,WR1973,WR834,WR1633,WR251,WR46,WR1556,WR1619,WR1876,WR1317,WR1167,WR124,WR1592,WR748,WR408,WR1962,WR303,WR323,WR1995,5,4,7,5,1,4,5,7,2,1,3,1,7,0,4,6,7,5,1,3,3,2,3,3,3,3,2,3,3,3,3,1,3,3,3,1,3,3
WR28,0.076586341,0.038191198,0.612676056,5,2,3,WR250,WR1890,WR1999,WR1899,WR91,WR1366,WR489,WR1146,WR1582,WR1601,WR1737,WR13,WR1915,WR1202,WR436,WR1679,WR638,WR1734,WR917,7,3,1,7,6,6,7,2,7,5,4,5,1,7,1,6,4,4,2,2,3,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3
WR29,-0.133296864,-0.183266613,0.625,3,0,3,WR655,WR847,WR1845,WR406,WR562,WR1841,WR1860,WR1994,WR994,WR548,WR940,WR497,WR455,WR1961,WR1751,WR934,WR345,WR461,WR1414,1,7,7,2,3,7,6,1,7,3,7,7,0,7,3,1,2,7,2,3,1,1,3,3,2,3,3,2,3,2,2,3,1,3,3,3,1,3
WR30,0.028268109,0.087189713,0.49122807,9,6,3,WR1971,WR811,WR177,WR470,WR1098,WR629,WR1690,WR419,WR1401,WR1533,WR1579,WR1529,WR1602,WR1285,WR1678,WR1138,WR580,WR1734,WR1615,0,0,2,6,2,0,1,2,1,5,4,1,2,7,1,6,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
WR31,-0.097283348,0.14055402,0.528455285,5,2,3,WR36,WR1053,WR1928,WR1252,WR447,WR1672,WR1045,WR1691,WR616,WR309,WR1423,WR1574,WR1847,WR1375,WR1950,WR1154,WR140,WR297,WR1302,5,3,6,1,1,6,2,3,2,5,0,7,7,2,2,3,2,5,1,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3
WR32,0.064205965,-0.022975761,0.639455782,7,4,3,WR400,WR1610,WR1894,WR968,WR482,WR1107,WR858,WR666,WR730,WR577,WR550,WR1448,WR1531,WR1218,WR1885,WR1297,WR1555,WR788,WR1220,1,4,7,7,4,7,2,6,4,4,6,6,6,5,2,3,4,5,7,3,3,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1
WR33,-0.221945882,0.133057945,0.50877193,9,7,2,WR1411,WR385,WR468,WR797,WR276,WR642,WR380,WR1621,WR1408,WR953,WR64,WR1280,WR1201,WR1647,WR1798,WR327,WR24,WR1774,WR319,6,0,3,2,2,0,2,6,7,0,4,1,1,7,1,2,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3
WR34,-0.350838828,0.341828242,0.504273504,5,2,3,WR1263,WR1437,WR459,WR1744,WR504,WR1987,WR750,WR941,WR1784,WR527,WR1066,WR1616,WR912,WR480,WR1485,WR208,WR596,WR1569,WR105,4,1,7,3,7,2,1,2,1,2,3,5,3,3,3,1,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR35,0.169808591,-0.354910683,0.563492063,4,1,3,WR818,WR370,WR1407,WR1538,WR1597,WR1543,WR1038,WR472,WR778,WR1714,WR1850,WR939,WR258,WR1292,WR1483,WR356,WR1257,WR239,WR1749,2,4,2,0,2,2,6,4,2,0,7,7,3,4,7,5,0,6,7,3,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,3,3,2
WR36,-0.089548131,0.131533609,0.536,8,5,3,WR1928,WR31,WR1252,WR1672,WR1053,WR1691,WR1847,WR1375,WR1423,WR616,WR447,WR1574,WR1739,WR930,WR1059,WR1824,WR1045,WR191,WR393,6,2,1,6,3,3,7,2,0,2,1,7,3,1,6,5,2,4,1,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3
WR37,0.085956352,0.199107875,0.568,7,7,0,WR602,WR526,WR1161,WR772,WR314,WR1623,WR467,WR275,WR1560,WR576,WR413,WR1636,WR1123,WR1024,WR993,WR1862,WR1444,WR1812,WR680,7,1,6,4,4,2,5,1,1,5,3,4,5,0,2,1,5,1,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
WR38,0.517461048,0.233101879,0.557377049,8,5,3,WR1473,WR283,WR1336,WR1311,WR99,WR1327,WR1438,WR229,WR944,WR1084,WR86,WR254,WR871,WR1777,WR1487,WR617,WR1051,WR1042,WR1872,2,1,3,1,5,7,3,4,7,3,2,5,0,1,7,2,3,0,7,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,3,3,3,1
WR39,-0.497700703,-0.118291172,0.393939394,3,0,3,WR1467,WR232,WR1055,WR1667,WR568,WR1343,WR1577,WR1857,WR1493,WR1880,WR594,WR654,WR603,WR974,WR1367,WR923,WR172,WR1939,WR520,0,1,1,3,5,0,1,1,3,3,4,2,1,1,3,2,6,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WR40,-0.140824841,0.259400059,0.476635514,8,7,1,WR1708,WR1694,WR1124,WR1010,WR1730,WR1459,WR1405,WR713,WR152,WR781,WR350,WR1795,WR1910,WR1982,WR1358,WR1790,WR206,WR1243,WR892,4,1,4,0,0,0,1,3,4,4,3,1,2,3,7,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
WR41,0.338322579,0.015316804,0.664335664,8,5,3,WR832,WR676,WR488,WR173,WR1221,WR1525,WR1769,WR937,WR1078,WR647,WR971,WR795,WR421,WR874,WR1925,WR454,WR236,WR281,WR414,7,5,1,4,3,3,7,5,6,6,7,5,3,2,1,7,4,7,7,1,3,3,3,3,3,1,3,3,3,0,3,3,3,3,2,3,0,2
WR42,0.413167029,0.075039514,0.547008547,8,5,3,WR98,WR1772,WR499,WR617,WR1710,WR269,WR1777,WR1001,WR597,WR1594,WR113,WR605,WR843,WR1881,WR1327,WR236,WR1662,WR803,WR1221,2,0,7,2,7,0,1,4,0,1,5,1,2,7,7,4,3,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,0,2,3,3,3,3
WR43,-0.017161375,-0.113575428,0.6015625,5,2,3,WR1811,WR598,WR322,WR128,WR881,WR792,WR511,WR434,WR845,WR407,WR887,WR573,WR200,WR1187,WR1159,WR391,WR1550,WR600,WR840,3,0,4,0,4,3,3,6,3,4,7,3,3,7,4,5,2,7,7,3,3,3,3,3,3,3,3,3,3,0,3,3,2,3,3,3,0,1
WR44,0.214043929,0.233480861,0.512605042,7,4,3,WR1565,WR1254,WR1235,WR1406,WR1916,WR1808,WR563,WR613,WR367,WR1258,WR1165,WR1020,WR492,WR55,WR1557,WR342,WR1132,WR535,WR1517,3,4,2,0,3,4,1,4,5,1,2,1,4,5,4,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
WR45,-0.525083073,0.161659875,0.49137931,4,1,3,WR512,WR1085,WR1380,WR14,WR1891,WR583,WR478,WR1732,WR773,WR1144,WR1889,WR1760,WR1089,WR544,WR481,WR137,WR715,WR1058,WR1540,6,0,5,3,1,1,1,1,7,5,2,3,4,6,0,3,1,2,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
WR46,0.08106365,-0.229719578,0.583333333,7,4,3,WR834,WR251,WR1633,WR303,WR1294,WR27,WR1167,WR1995,WR1592,WR1016,WR323,WR1317,WR408,WR682,WR1208,WR1244,WR1210,WR1846,WR1973,7,1,5,7,1,4,3,1,7,5,5,1,4,4,3,2,5,4,4,2,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3
