Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
RG1,0.12007934,-0.091667,0.55462185,8,7,1,RG660,RG1556,RG159,RG1034,RG1581,RG1610,RG1923,RG547,RG1412,RG47,RG160,RG1439,RG615,RG120,RG1940,RG593,RG1919,RG1560,RG604,7,4,3,7,2,7,3,4,0,2,2,2,7,1,2,2,1,1,2,2,3,3,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3
RG2,-0.1147294,-0.1135464,0.51724138,6,3,3,RG1719,RG1853,RG298,RG1573,RG441,RG1899,RG25,RG582,RG1254,RG52,RG1192,RG1891,RG73,RG561,RG702,RG5,RG1772,RG1334,RG1898,2,3,3,0,1,3,7,3,5,4,1,3,7,3,2,2,6,0,2,3,3,3,3,3,3,2,3,3,3,3,3,0,3,3,3,3,3,3
RG3,0.116974,-0.1512464,0.59836066,7,4,3,RG1380,RG952,RG529,RG1496,RG902,RG1616,RG718,RG1954,RG1919,RG1056,RG1082,RG813,RG177,RG1129,RG1828,RG604,RG394,RG770,RG743,0,2,3,6,3,1,1,3,1,7,7,7,7,1,7,2,6,2,3,3,3,3,3,3,3,3,3,3,1,2,0,1,3,0,3,3,3,3
RG4,0.05345098,-0.2422396,0.60294118,4,1,3,RG1732,RG482,RG236,RG1855,RG1073,RG715,RG1445,RG239,RG795,RG1564,RG1161,RG711,RG1399,RG358,RG310,RG369,RG408,RG866,RG1197,2,3,3,3,1,6,5,6,4,7,3,1,4,7,5,4,7,6,4,3,3,3,3,3,3,3,3,3,0,3,3,3,2,3,3,1,3,3
RG5,-0.0967535,-0.1450268,0.51639344,5,2,3,RG1334,RG52,RG1772,RG1365,RG25,RG892,RG1899,RG561,RG983,RG1573,RG1052,RG708,RG1673,RG2,RG152,RG1875,RG1719,RG1029,RG442,0,4,6,5,7,2,3,3,4,0,3,4,1,3,3,5,2,5,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG6,0.16688562,0.06615491,0.53043478,9,7,2,RG105,RG43,RG1530,RG1353,RG1155,RG848,RG1653,RG85,RG75,RG1979,RG1902,RG1692,RG1555,RG1809,RG412,RG1640,RG1391,RG870,RG856,1,1,3,5,3,7,1,1,3,2,3,4,0,7,5,2,2,1,3,3,3,3,3,3,0,3,3,3,3,3,3,3,1,3,3,3,3,3
RG7,0.07171634,0.13103297,0.45714286,4,1,3,RG1464,RG780,RG1623,RG1451,RG1620,RG1143,RG1565,RG1746,RG569,RG801,RG1244,RG1837,RG1751,RG354,RG210,RG1360,RG1712,RG1586,RG1358,1,0,4,6,2,3,2,1,0,1,3,0,4,2,5,7,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
RG8,0.03705762,-0.1732483,0.5210084,8,5,3,RG1688,RG295,RG505,RG1748,RG284,RG821,RG1120,RG309,RG1427,RG1832,RG14,RG931,RG286,RG1665,RG843,RG15,RG1564,RG838,RG1408,5,1,2,0,3,1,1,1,1,6,6,5,2,6,1,5,7,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3
RG9,0.10225042,-0.0273795,0.57258065,3,0,3,RG500,RG1264,RG1643,RG1670,RG1786,RG470,RG1344,RG1841,RG615,RG1538,RG515,RG82,RG763,RG1652,RG1968,RG383,RG712,RG1622,RG730,5,7,3,1,0,0,3,3,7,4,1,2,2,7,7,3,7,2,7,3,1,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,3,2
RG10,-0.2483228,0.26275619,0.575,8,7,1,RG457,RG111,RG53,RG305,RG614,RG584,RG1343,RG115,RG1861,RG1312,RG585,RG1946,RG1246,RG74,RG42,RG923,RG143,RG1345,RG884,7,7,2,2,7,0,5,0,6,5,1,3,4,4,2,1,0,6,0,2,0,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RG11,-0.1218918,0.1698258,0.51724138,5,2,3,RG217,RG1044,RG416,RG1497,RG1493,RG1613,RG1880,RG754,RG512,RG503,RG1988,RG543,RG556,RG84,RG466,RG968,RG1632,RG989,RG1058,3,3,4,1,7,2,0,3,7,1,1,3,2,4,5,4,1,0,7,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,2
