Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UG1,-0.187447836,0.059840861,60.3%,9,7,2,UG633,UG689,UG559,UG1817,UG397,UG1608,UG363,UG822,UG1611,UG673,UG1922,UG616,UG931,UG358,UG491,UG500,UG175,UG1158,UG1896,7,4,2,3,3,3,5,3,7,4,4,4,2,4,7,1,4,3,2,1,3,3,3,3,3,3,3,0,3,3,3,3,3,2,3,3,3,3
UG2,0.208152487,-0.099070118,52.8%,4,1,3,UG1239,UG115,UG690,UG1244,UG1814,UG92,UG965,UG10,UG1129,UG636,UG1881,UG469,UG1090,UG1578,UG995,UG1620,UG652,UG1412,UG1886,1,0,3,7,1,7,5,2,3,3,4,2,2,1,7,5,5,0,5,3,3,3,2,3,2,3,3,3,3,3,3,3,3,0,3,3,3,3
UG3,0.209426753,0.195395375,50.8%,5,2,3,UG665,UG519,UG700,UG611,UG385,UG889,UG1054,UG1435,UG1980,UG1135,UG1220,UG647,UG224,UG979,UG50,UG1222,UG1785,UG1849,UG350,1,5,7,6,0,6,3,1,5,1,4,7,1,0,1,2,0,2,4,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
UG4,-0.214864989,-0.046039632,39.4%,3,0,3,UG305,UG928,UG165,UG1127,UG1096,UG752,UG96,UG1334,UG518,UG98,UG1687,UG463,UG21,UG1783,UG1143,UG1101,UG1059,UG506,UG1955,4,0,2,6,1,1,2,1,2,2,1,4,1,2,1,0,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG5,-0.158698044,0.197395537,58.1%,3,0,3,UG1635,UG203,UG120,UG1420,UG413,UG43,UG1307,UG1365,UG1301,UG1923,UG968,UG1131,UG671,UG1305,UG732,UG1155,UG1368,UG1273,UG957,0,0,5,7,3,4,7,1,1,3,4,3,5,7,3,7,4,7,1,3,3,3,2,3,3,1,3,3,3,3,3,3,1,3,0,3,2,3
UG6,-0.092837755,-0.201737201,48.8%,5,2,3,UG386,UG411,UG1973,UG1487,UG1319,UG1574,UG1043,UG535,UG1743,UG1936,UG313,UG75,UG416,UG1767,UG1591,UG421,UG362,UG1850,UG1151,4,2,1,6,3,1,3,1,3,4,1,4,1,5,5,4,3,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG7,-0.288597161,-0.08777045,47.0%,6,3,3,UG1154,UG1227,UG1801,UG504,UG186,UG132,UG1344,UG991,UG509,UG1242,UG484,UG635,UG856,UG374,UG1408,UG1019,UG809,UG1193,UG945,1,2,4,6,1,0,5,7,2,3,3,3,5,3,1,0,0,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
UG8,-0.075883911,-0.001643177,52.1%,4,1,3,UG237,UG1031,UG1441,UG621,UG557,UG365,UG126,UG253,UG1150,UG1076,UG758,UG578,UG1320,UG851,UG905,UG127,UG508,UG585,UG630,7,0,5,4,1,0,5,1,4,2,6,6,5,4,0,0,1,7,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3
UG9,0.119565244,0.104735959,57.8%,3,0,3,UG213,UG560,UG892,UG972,UG1613,UG969,UG355,UG317,UG1124,UG1706,UG251,UG936,UG939,UG109,UG1919,UG1353,UG952,UG400,UG1521,5,7,4,3,2,1,6,7,4,5,0,7,7,7,4,2,0,2,2,3,2,3,3,3,3,3,1,3,3,3,2,2,2,3,3,3,3,3
UG10,0.182678592,-0.073898737,47.8%,5,2,3,UG995,UG1244,UG115,UG1129,UG962,UG623,UG816,UG1886,UG773,UG652,UG2,UG1090,UG310,UG1822,UG1946,UG1957,UG846,UG1239,UG1528,7,7,0,3,3,1,1,5,2,5,1,2,0,1,6,1,4,1,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UG11,-0.370108957,0.000486466,56.3%,7,4,3,UG1482,UG1289,UG1396,UG1186,UG368,UG1231,UG1931,UG1878,UG1993,UG528,UG1605,UG192,UG1892,UG1300,UG78,UG766,UG1149,UG1444,UG1471,7,4,7,7,1,3,5,3,0,2,5,5,3,0,3,5,0,7,4,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
UG12,-0.084413924,-0.41528747,48.7%,5,2,3,UG1775,UG1389,UG1293,UG1494,UG84,UG1422,UG1968,UG731,UG828,UG1631,UG1992,UG94,UG177,UG1488,UG1991,UG1546,UG840,UG742,UG1410,0,1,0,4,0,0,2,1,2,4,6,2,2,7,7,0,4,7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3
UG13,0.073305182,0.201561488,56.9%,7,7,0,UG30,UG648,UG663,UG959,UG46,UG569,UG867,UG1774,UG539,UG287,UG451,UG926,UG1981,UG1472,UG482,UG810,UG1498,UG180,UG1191,2,5,0,4,5,0,7,6,4,6,0,1,1,7,0,7,4,1,4,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,2,3,3,3
UG14,0.031790361,-0.16555068,45.4%,4,1,3,UG753,UG658,UG1928,UG250,UG1836,UG1838,UG1690,UG776,UG219,UG725,UG830,UG1352,UG615,UG140,UG1133,UG383,UG1576,UG739,UG1837,2,1,1,0,2,0,3,4,0,1,4,1,5,1,6,1,1,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1
UG15,-0.040763319,-0.345085762,44.6%,4,1,3,UG1197,UG1553,UG1571,UG796,UG1546,UG364,UG731,UG1449,UG656,UG948,UG1676,UG935,UG1520,UG1488,UG803,UG1895,UG828,UG802,UG1446,5,2,0,2,0,1,1,1,3,1,3,1,5,7,6,4,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
UG16,-0.305488845,-0.044305945,50.4%,9,6,3,UG699,UG1408,UG1958,UG1932,UG1242,UG160,UG809,UG509,UG1299,UG402,UG1304,UG1612,UG1377,UG1835,UG1227,UG504,UG1854,UG1162,UG991,3,1,2,2,3,3,0,2,5,0,3,4,4,4,2,6,1,2,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
UG17,0.153280497,-0.005958675,50.0%,9,7,2,UG1355,UG303,UG596,UG1087,UG141,UG328,UG1528,UG922,UG1718,UG1889,UG1539,UG1478,UG846,UG138,UG1052,UG704,UG1397,UG962,UG918,0,4,2,5,1,1,1,5,0,4,7,4,4,0,4,2,0,3,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
UG18,-0.002139475,0.042532961,54.7%,3,0,3,UG736,UG119,UG1862,UG1359,UG566,UG434,UG372,UG178,UG1646,UG1610,UG1024,UG1911,UG263,UG685,UG801,UG501,UG1910,UG206,UG1990,6,3,1,5,7,2,7,4,4,5,2,3,4,2,2,1,2,2,3,3,3,3,3,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3
UG19,0.3390661,-0.076784069,53.6%,8,5,3,UG604,UG380,UG1616,UG954,UG593,UG1102,UG858,UG1781,UG1725,UG1641,UG187,UG709,UG1120,UG1360,UG28,UG275,UG1272,UG131,UG25,2,4,7,6,1,2,5,2,1,1,0,5,2,6,4,1,7,2,1,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3
UG20,-0.134218165,0.258764403,50.4%,5,2,3,UG1461,UG714,UG1192,UG1596,UG1383,UG157,UG167,UG999,UG409,UG1738,UG902,UG1979,UG1526,UG430,UG712,UG554,UG1643,UG1950,UG1770,4,3,2,0,2,2,1,3,4,4,4,3,3,4,2,7,0,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3
