Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UR1,-0.16072016,0.033329324,62.0%,7,4,3,UR22,UR1716,UR1848,UR1467,UR1594,UR1614,UR1325,UR1610,UR1658,UR745,UR866,UR26,UR999,UR1905,UR85,UR432,UR623,UR1576,UR1618,6,3,3,7,1,2,7,4,1,7,1,4,6,4,7,3,1,7,7,3,3,3,1,3,3,1,3,3,2,3,3,3,3,2,3,3,2,2
UR2,0.200315117,-0.066727371,48.5%,4,1,3,UR1210,UR1145,UR1862,UR313,UR1985,UR443,UR332,UR813,UR603,UR288,UR99,UR1410,UR123,UR1813,UR732,UR1326,UR1724,UR978,UR206,7,1,0,0,1,3,2,4,6,2,1,3,7,1,0,7,3,0,1,0,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2,3,3,3
UR3,-0.188884033,-0.168534396,59.3%,8,7,1,UR335,UR18,UR466,UR1828,UR490,UR1186,UR15,UR1892,UR665,UR386,UR382,UR1351,UR613,UR1395,UR772,UR789,UR372,UR1930,UR360,1,5,3,5,3,6,3,4,6,4,2,4,0,5,6,5,3,4,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
UR4,0.181660484,0.035815302,49.5%,7,4,3,UR771,UR606,UR1838,UR1544,UR532,UR1386,UR25,UR84,UR39,UR132,UR401,UR404,UR1429,UR416,UR954,UR1147,UR1052,UR263,UR1199,7,4,3,6,7,0,1,3,2,2,0,1,5,2,2,0,2,2,1,0,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR5,-0.076037101,-0.130736645,62.5%,3,0,3,UR494,UR364,UR1693,UR723,UR1257,UR209,UR842,UR1982,UR474,UR1459,UR1631,UR1304,UR746,UR1680,UR1718,UR1656,UR1589,UR1012,UR369,1,2,1,4,7,2,5,4,7,4,5,4,7,7,7,3,3,5,7,3,3,3,3,2,3,3,3,1,3,3,3,2,2,0,3,3,3,2
UR6,0.137062511,-0.263420954,52.0%,3,0,3,UR1324,UR539,UR1180,UR1437,UR223,UR589,UR983,UR1237,UR43,UR73,UR703,UR1904,UR721,UR348,UR526,UR1358,UR171,UR571,UR1067,5,4,1,2,1,2,2,4,2,5,2,4,4,1,3,7,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
UR7,-0.34657353,-0.034063461,63.6%,7,4,3,UR1033,UR854,UR1073,UR145,UR1341,UR393,UR110,UR468,UR873,UR1024,UR34,UR1626,UR835,UR850,UR1165,UR1776,UR627,UR1829,UR109,7,2,2,7,0,7,7,7,7,1,7,1,4,5,7,1,4,2,2,2,3,3,2,3,2,1,0,2,3,2,3,3,3,1,3,3,3,3
UR8,-0.430455321,-0.017407481,55.3%,6,3,3,UR594,UR1245,UR1973,UR459,UR705,UR1444,UR1375,UR199,UR1041,UR975,UR1712,UR591,UR1024,UR468,UR1109,UR109,UR1073,UR911,UR1829,5,3,3,7,1,5,1,7,6,1,2,6,1,7,4,2,2,0,2,3,3,3,2,3,3,3,2,3,3,3,3,3,0,3,3,3,3,3
UR9,-0.196589664,-0.061617572,65.7%,9,7,2,UR187,UR58,UR42,UR1928,UR325,UR839,UR498,UR1256,UR376,UR1767,UR482,UR142,UR979,UR62,UR687,UR1216,UR1184,UR1323,UR1221,4,1,4,7,6,5,5,7,7,4,1,2,1,7,1,7,6,7,5,3,3,3,1,3,3,3,1,2,3,3,3,3,1,3,1,3,2,3
UR10,0.200194844,-0.462809425,51.2%,3,0,3,UR349,UR1837,UR1775,UR358,UR823,UR486,UR88,UR1728,UR309,UR1528,UR1654,UR934,UR322,UR1474,UR1696,UR205,UR1603,UR172,UR461,1,5,4,2,0,4,5,2,1,5,2,3,6,3,7,4,0,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
UR11,0.114868511,0.154965294,48.7%,8,7,1,UR1945,UR649,UR472,UR1534,UR1725,UR1407,UR646,UR251,UR210,UR390,UR1558,UR311,UR1699,UR1663,UR1762,UR1218,UR1206,UR537,UR441,3,1,2,2,2,0,4,4,6,4,4,3,2,6,2,1,1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR12,-0.424328514,-0.406577059,58.1%,3,0,3,UR793,UR32,UR926,UR361,UR1343,UR831,UR996,UR1124,UR238,UR1365,UR1510,UR1154,UR913,UR1250,UR1964,UR1241,UR1291,UR1007,UR1522,7,2,5,3,3,4,7,0,3,5,4,2,7,0,7,7,1,3,2,2,3,3,3,3,3,1,3,3,3,3,3,1,3,1,2,3,3,3
UR13,-0.116513526,-0.229774553,50.9%,4,1,3,UR342,UR450,UR231,UR160,UR1010,UR956,UR1278,UR663,UR36,UR338,UR1037,UR567,UR534,UR391,UR396,UR1127,UR1004,UR1978,UR442,2,0,0,4,1,1,2,7,5,4,5,0,5,6,3,1,4,7,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3
UR14,-0.063513805,-0.026919698,57.1%,5,2,3,UR915,UR189,UR1768,UR1688,UR1593,UR681,UR1396,UR779,UR621,UR1319,UR1202,UR1519,UR1116,UR1857,UR1174,UR1353,UR1331,UR56,UR1899,2,7,1,5,7,4,0,3,1,1,7,7,3,7,5,0,5,0,1,3,0,3,3,2,3,3,3,3,3,2,1,3,1,3,3,3,3,3
UR15,-0.208600963,-0.172125861,63.8%,6,3,3,UR18,UR335,UR3,UR1930,UR1532,UR360,UR782,UR1828,UR662,UR1186,UR490,UR466,UR329,UR665,UR931,UR208,UR939,UR789,UR1395,5,1,7,4,7,7,2,5,7,6,3,3,5,6,6,5,3,5,5,3,3,1,3,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3
UR16,-0.111442776,-0.459833753,50.0%,8,7,1,UR1293,UR1484,UR1949,UR719,UR1364,UR1634,UR1027,UR679,UR478,UR1606,UR1421,UR67,UR625,UR1853,UR1251,UR181,UR1909,UR655,UR59,1,1,3,1,3,0,3,3,2,3,2,2,4,2,5,3,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR17,0.224234635,0.084706356,51.3%,5,2,3,UR1390,UR647,UR969,UR668,UR416,UR1417,UR954,UR1030,UR107,UR1847,UR404,UR1497,UR1540,UR1298,UR1297,UR1858,UR25,UR1270,UR1299,5,7,4,3,2,7,2,0,3,1,1,5,1,4,4,0,1,3,5,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
UR18,-0.194865303,-0.170121575,62.1%,8,5,3,UR335,UR3,UR15,UR1828,UR466,UR1186,UR490,UR665,UR1892,UR1930,UR386,UR360,UR382,UR789,UR1351,UR1395,UR1532,UR931,UR372,1,7,3,5,3,6,3,6,4,4,4,7,2,5,4,5,7,6,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3
